"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"17001","county",2020,110.93,106.15,88.28,92.87,"economic_score",111.49
"17003","county",2020,70.21,106.05,128.7,90.78,"economic_score",78.97
"17005","county",2020,101.3,105.09,107.9,82.95,"economic_score",102.79
"17007","county",2020,115.97,123.9,79.68,85.89,"economic_score",122.23
"17009","county",2020,107.89,98.9,94.1,70.67,"economic_score",106.5
"17011","county",2020,109.17,104.49,107.13,76.71,"economic_score",107.01
"17013","county",2020,113.17,106.35,102.11,68.6,"economic_score",112.24
"17015","county",2020,111.83,100.04,115.21,90.63,"economic_score",105.14
"17017","county",2020,101.03,99.66,106.73,74.51,"economic_score",100.2
"17019","county",2020,110.09,118.05,59.87,106.57,"economic_score",120.58
"17021","county",2020,106.9,105.47,103.34,74.51,"economic_score",106.91
"17023","county",2020,109.23,103.05,99.45,66.53,"economic_score",109.44
"17025","county",2020,99.59,95.55,107.49,88.3,"economic_score",97.94
"17027","county",2020,126.62,109.4,85.37,78.39,"economic_score",122.66
"17029","county",2020,101.62,105,94.15,103.82,"economic_score",102.77
"17031","county",2020,112.13,137.3,67.16,128.46,"economic_score",126.99
"17033","county",2020,107.28,100.41,101.36,86.82,"economic_score",103
"17035","county",2020,112.25,96.12,105.66,74.55,"economic_score",105.74
"17037","county",2020,113.27,129.4,74.15,82.39,"economic_score",122.77
"17039","county",2020,111.73,107.52,102.37,71.16,"economic_score",110.57
"17041","county",2020,112.57,105.37,96.09,92.98,"economic_score",106.23
"17043","county",2020,143.47,137.26,56.93,100.94,"economic_score",146.46
"17045","county",2020,106.29,101.05,111.56,79.71,"economic_score",101.81
"17047","county",2020,107.43,92.37,99.45,66.24,"economic_score",100.95
"17049","county",2020,119.71,104.63,86.96,95.54,"economic_score",115.04
"17051","county",2020,95.81,102.61,111.64,91.01,"economic_score",94.81
"17053","county",2020,106.19,105.77,92.22,88.06,"economic_score",106.75
"17055","county",2020,85.91,103.85,116.73,90.03,"economic_score",90.06
"17057","county",2020,107.11,104.2,106.57,88.58,"economic_score",104.78
"17059","county",2020,93.16,97.8,126.9,107.43,"economic_score",85.63
"17061","county",2020,100.86,98.2,110.81,81.11,"economic_score",97.63
"17063","county",2020,129.15,122.42,79.32,66.4,"economic_score",130.23
"17065","county",2020,104.7,94.32,108.37,82.95,"economic_score",99.64
"17067","county",2020,105.67,95.25,111.67,84.04,"economic_score",100.2
"17069","county",2020,87.89,93.74,110.59,83.83,"economic_score",91.92
"17071","county",2020,113.06,95.36,119.72,72.76,"economic_score",102.5
"17073","county",2020,115.54,105.86,93.93,80.36,"economic_score",113.52
"17075","county",2020,103.9,108.92,105.29,82.35,"economic_score",104.38
"17077","county",2020,90.98,107.86,86.47,112.94,"economic_score",99.03
"17079","county",2020,108.59,102.32,100.59,77.07,"economic_score",105.36
"17081","county",2020,100.1,105.1,106.14,87.92,"economic_score",101.37
"17083","county",2020,115.51,110.53,96.65,72.3,"economic_score",116.25
"17085","county",2020,121.33,113.62,110.39,86.76,"economic_score",115.03
"17087","county",2020,100.14,108.57,122.88,77.11,"economic_score",98.53
"17089","county",2020,124.78,137.55,67.3,92.41,"economic_score",132.8
"17091","county",2020,102.69,122.71,90.3,85.29,"economic_score",112.89
"17093","county",2020,135.54,145.55,50.82,57.55,"economic_score",148.51
"17095","county",2020,94.65,108.73,104.17,86.75,"economic_score",100.52
"17097","county",2020,136.51,138.05,61.56,114.16,"economic_score",141.71
"17099","county",2020,110.53,110.51,101.82,78.27,"economic_score",110.16
"17101","county",2020,103.01,95.5,109.33,85.33,"economic_score",97.85
"17103","county",2020,113.58,108.2,92.22,81.22,"economic_score",113.76
"17105","county",2020,109.31,107.92,101.19,80.86,"economic_score",109.57
"17107","county",2020,112.48,103.09,103.64,77.03,"economic_score",109.04
"17109","county",2020,100.54,109.6,101.39,103.27,"economic_score",100.38
"17111","county",2020,138.67,136.35,68.75,77.82,"economic_score",140.73
"17113","county",2020,121.43,114.97,60.25,92.32,"economic_score",126.39
"17115","county",2020,100.04,103.76,95.12,92.58,"economic_score",104.73
"17117","county",2020,103.29,104.73,108.52,70.74,"economic_score",103.35
"17119","county",2020,113.76,114.25,83.03,83.2,"economic_score",117.9
"17121","county",2020,97.56,103.31,108.76,85.68,"economic_score",99.75
"17123","county",2020,108.24,106.67,110.4,72.09,"economic_score",105.93
"17125","county",2020,103.72,101.96,118.23,85.99,"economic_score",99.24
"17127","county",2020,91.31,107.83,114.8,75.35,"economic_score",95.94
"17129","county",2020,125.41,102.01,95.03,67.43,"economic_score",120.5
"17131","county",2020,112.83,107.01,102.48,70.62,"economic_score",110.67
"17133","county",2020,149.33,118.59,77.57,70.62,"economic_score",138.69
"17135","county",2020,105.1,101.91,106.13,78.73,"economic_score",102.7
"17137","county",2020,103.75,104.54,101.28,85.94,"economic_score",105.84
"17139","county",2020,113.02,100.26,96.2,87.24,"economic_score",107.68
"17141","county",2020,116.99,110.09,89.48,71.8,"economic_score",116.62
"17143","county",2020,106.77,114.22,79.01,101.9,"economic_score",114.56
"17145","county",2020,96.48,102.67,113.08,73.3,"economic_score",97.71
"17147","county",2020,132.09,108.53,89.52,68.9,"economic_score",125.43
"17149","county",2020,96.3,103.82,111.48,94.7,"economic_score",97.65
"17151","county",2020,84.34,96.94,117.56,76.33,"economic_score",88.22
"17153","county",2020,77.57,94.11,129.35,89.28,"economic_score",81.97
"17155","county",2020,122.2,105.29,116.18,65.05,"economic_score",112.11
"17157","county",2020,104.01,99.26,112.77,74.72,"economic_score",100.69
"17159","county",2020,106.57,91.77,109.21,72.27,"economic_score",100.32
"17161","county",2020,107,110.53,96.24,82.71,"economic_score",110.72
"17163","county",2020,105.02,118.05,82.65,93.24,"economic_score",113.92
"17165","county",2020,89.12,101.5,102.48,103.56,"economic_score",94.37
"17167","county",2020,114.65,114.19,80.97,88.11,"economic_score",120.29
"17169","county",2020,108.84,102.42,115.34,74.46,"economic_score",102.56
"17171","county",2020,107.55,94.75,110.11,68.24,"economic_score",105.26
"17173","county",2020,109.2,96.12,109.9,63.48,"economic_score",104.26
"17175","county",2020,101.9,101.33,101.46,84.58,"economic_score",102.42
"17177","county",2020,102.12,109.63,102.7,88.11,"economic_score",105.35
"17179","county",2020,119.84,111.33,86.9,74.76,"economic_score",120.79
"17181","county",2020,100.32,104.7,106.56,89.26,"economic_score",100.99
"17183","county",2020,92.93,99.63,113.73,88.24,"economic_score",94.16
"17185","county",2020,106.63,98.95,109.73,86.56,"economic_score",99.75
"17187","county",2020,108.65,100.42,105.48,77.82,"economic_score",104.62
"17189","county",2020,123.95,106.76,98.24,74.59,"economic_score",117.95
"17191","county",2020,99.23,99.24,113.62,78.18,"economic_score",95.81
"17193","county",2020,93.05,100.68,110.18,92.71,"economic_score",94.05
"17195","county",2020,113.01,106.61,104.88,82.9,"economic_score",109.38
"17197","county",2020,131.26,138.33,63.79,77.41,"economic_score",138.69
"17199","county",2020,106.64,107.55,93.17,88.77,"economic_score",108.51
"17201","county",2020,100.32,114.9,90.57,89.43,"economic_score",108.41
"17203","county",2020,133.57,112.07,78.43,78.24,"economic_score",128.58
"17001","county",2020,110.93,106.15,88.28,92.87,"economic_rnk",74.7975
"17003","county",2020,70.21,106.05,128.7,90.78,"economic_rnk",13.5826
"17005","county",2020,101.3,105.09,107.9,82.95,"economic_rnk",57.4766
"17007","county",2020,115.97,123.9,79.68,85.89,"economic_rnk",87.8193
"17009","county",2020,107.89,98.9,94.1,70.67,"economic_rnk",65.8255
"17011","county",2020,109.17,104.49,107.13,76.71,"economic_rnk",67.0093
"17013","county",2020,113.17,106.35,102.11,68.6,"economic_rnk",76.1371
"17015","county",2020,111.83,100.04,115.21,90.63,"economic_rnk",62.5234
"17017","county",2020,101.03,99.66,106.73,74.51,"economic_rnk",51.5576
"17019","county",2020,110.09,118.05,59.87,106.57,"economic_rnk",86.2305
"17021","county",2020,106.9,105.47,103.34,74.51,"economic_rnk",66.729
"17023","county",2020,109.23,103.05,99.45,66.53,"economic_rnk",71.5265
"17025","county",2020,99.59,95.55,107.49,88.3,"economic_rnk",46.729
"17027","county",2020,126.62,109.4,85.37,78.39,"economic_rnk",88.2243
"17029","county",2020,101.62,105,94.15,103.82,"economic_rnk",57.3209
"17031","county",2020,112.13,137.3,67.16,128.46,"economic_rnk",91.3084
"17033","county",2020,107.28,100.41,101.36,86.82,"economic_rnk",58.0997
"17035","county",2020,112.25,96.12,105.66,74.55,"economic_rnk",64.1121
"17037","county",2020,113.27,129.4,74.15,82.39,"economic_rnk",88.3801
"17039","county",2020,111.73,107.52,102.37,71.16,"economic_rnk",73.1776
"17041","county",2020,112.57,105.37,96.09,92.98,"economic_rnk",65.1402
"17043","county",2020,143.47,137.26,56.93,100.94,"economic_rnk",98.1308
"17045","county",2020,106.29,101.05,111.56,79.71,"economic_rnk",55.0156
"17047","county",2020,107.43,92.37,99.45,66.24,"economic_rnk",53.2087
"17049","county",2020,119.71,104.63,86.96,95.54,"economic_rnk",80
"17051","county",2020,95.81,102.61,111.64,91.01,"economic_rnk",40.0312
"17053","county",2020,106.19,105.77,92.22,88.06,"economic_rnk",66.4798
"17055","county",2020,85.91,103.85,116.73,90.03,"economic_rnk",31.838
"17057","county",2020,107.11,104.2,106.57,88.58,"economic_rnk",61.8069
"17059","county",2020,93.16,97.8,126.9,107.43,"economic_rnk",23.8318
"17061","county",2020,100.86,98.2,110.81,81.11,"economic_rnk",45.919
"17063","county",2020,129.15,122.42,79.32,66.4,"economic_rnk",92.6791
"17065","county",2020,104.7,94.32,108.37,82.95,"economic_rnk",50.3115
"17067","county",2020,105.67,95.25,111.67,84.04,"economic_rnk",51.5576
"17069","county",2020,87.89,93.74,110.59,83.83,"economic_rnk",35.296
"17071","county",2020,113.06,95.36,119.72,72.76,"economic_rnk",56.5732
"17073","county",2020,115.54,105.86,93.93,80.36,"economic_rnk",77.9439
"17075","county",2020,103.9,108.92,105.29,82.35,"economic_rnk",60.9969
"17077","county",2020,90.98,107.86,86.47,112.94,"economic_rnk",48.785
"17079","county",2020,108.59,102.32,100.59,77.07,"economic_rnk",63.2399
"17081","county",2020,100.1,105.1,106.14,87.92,"economic_rnk",54.1121
"17083","county",2020,115.51,110.53,96.65,72.3,"economic_rnk",81.4019
"17085","county",2020,121.33,113.62,110.39,86.76,"economic_rnk",79.9065
"17087","county",2020,100.14,108.57,122.88,77.11,"economic_rnk",47.9439
"17089","county",2020,124.78,137.55,67.3,92.41,"economic_rnk",93.676
"17091","county",2020,102.69,122.71,90.3,85.29,"economic_rnk",77.1651
"17093","county",2020,135.54,145.55,50.82,57.55,"economic_rnk",98.4112
"17095","county",2020,94.65,108.73,104.17,86.75,"economic_rnk",52.2118
"17097","county",2020,136.51,138.05,61.56,114.16,"economic_rnk",96.8224
"17099","county",2020,110.53,110.51,101.82,78.27,"economic_rnk",72.648
"17101","county",2020,103.01,95.5,109.33,85.33,"economic_rnk",46.4486
"17103","county",2020,113.58,108.2,92.22,81.22,"economic_rnk",78.2866
"17105","county",2020,109.31,107.92,101.19,80.86,"economic_rnk",71.7445
"17107","county",2020,112.48,103.09,103.64,77.03,"economic_rnk",70.6542
"17109","county",2020,100.54,109.6,101.39,103.27,"economic_rnk",51.9315
"17111","county",2020,138.67,136.35,68.75,77.82,"economic_rnk",96.4174
"17113","county",2020,121.43,114.97,60.25,92.32,"economic_rnk",90.9969
"17115","county",2020,100.04,103.76,95.12,92.58,"economic_rnk",61.7445
"17117","county",2020,103.29,104.73,108.52,70.74,"economic_rnk",58.9097
"17119","county",2020,113.76,114.25,83.03,83.2,"economic_rnk",83.5514
"17121","county",2020,97.56,103.31,108.76,85.68,"economic_rnk",50.3738
"17123","county",2020,108.24,106.67,110.4,72.09,"economic_rnk",64.5483
"17125","county",2020,103.72,101.96,118.23,85.99,"economic_rnk",49.4393
"17127","county",2020,91.31,107.83,114.8,75.35,"economic_rnk",42.4922
"17129","county",2020,125.41,102.01,95.03,67.43,"economic_rnk",86.0748
"17131","county",2020,112.83,107.01,102.48,70.62,"economic_rnk",73.3333
"17133","county",2020,149.33,118.59,77.57,70.62,"economic_rnk",95.7009
"17135","county",2020,105.1,101.91,106.13,78.73,"economic_rnk",56.9159
"17137","county",2020,103.75,104.54,101.28,85.94,"economic_rnk",64.3925
"17139","county",2020,113.02,100.26,96.2,87.24,"economic_rnk",68.162
"17141","county",2020,116.99,110.09,89.48,71.8,"economic_rnk",81.9315
"17143","county",2020,106.77,114.22,79.01,101.9,"economic_rnk",79.4081
"17145","county",2020,96.48,102.67,113.08,73.3,"economic_rnk",46.1682
"17147","county",2020,132.09,108.53,89.52,68.9,"economic_rnk",90.3427
"17149","county",2020,96.3,103.82,111.48,94.7,"economic_rnk",46.0125
"17151","county",2020,84.34,96.94,117.56,76.33,"economic_rnk",28.3489
"17153","county",2020,77.57,94.11,129.35,89.28,"economic_rnk",17.6636
"17155","county",2020,122.2,105.29,116.18,65.05,"economic_rnk",75.919
"17157","county",2020,104.01,99.26,112.77,74.72,"economic_rnk",52.7103
"17159","county",2020,106.57,91.77,109.21,72.27,"economic_rnk",51.8692
"17161","county",2020,107,110.53,96.24,82.71,"economic_rnk",73.4891
"17163","county",2020,105.02,118.05,82.65,93.24,"economic_rnk",78.5358
"17165","county",2020,89.12,101.5,102.48,103.56,"economic_rnk",39.1277
"17167","county",2020,114.65,114.19,80.97,88.11,"economic_rnk",85.8255
"17169","county",2020,108.84,102.42,115.34,74.46,"economic_rnk",56.6355
"17171","county",2020,107.55,94.75,110.11,68.24,"economic_rnk",62.9283
"17173","county",2020,109.2,96.12,109.9,63.48,"economic_rnk",60.8411
"17175","county",2020,101.9,101.33,101.46,84.58,"economic_rnk",56.324
"17177","county",2020,102.12,109.63,102.7,88.11,"economic_rnk",63.1776
"17179","county",2020,119.84,111.33,86.9,74.76,"economic_rnk",86.5109
"17181","county",2020,100.32,104.7,106.56,89.26,"economic_rnk",53.271
"17183","county",2020,92.93,99.63,113.73,88.24,"economic_rnk",38.6293
"17185","county",2020,106.63,98.95,109.73,86.56,"economic_rnk",50.3738
"17187","county",2020,108.65,100.42,105.48,77.82,"economic_rnk",61.5576
"17189","county",2020,123.95,106.76,98.24,74.59,"economic_rnk",83.5826
"17191","county",2020,99.23,99.24,113.62,78.18,"economic_rnk",42.243
"17193","county",2020,93.05,100.68,110.18,92.71,"economic_rnk",38.5358
"17195","county",2020,113.01,106.61,104.88,82.9,"economic_rnk",71.4019
"17197","county",2020,131.26,138.33,63.79,77.41,"economic_rnk",95.7009
"17199","county",2020,106.64,107.55,93.17,88.77,"economic_rnk",69.6573
"17201","county",2020,100.32,114.9,90.57,89.43,"economic_rnk",69.5639
"17203","county",2020,133.57,112.07,78.43,78.24,"economic_rnk",92.0561
"17001","county",2020,110.93,106.15,88.28,92.87,"economic_state_rnk",68.3168
"17003","county",2020,70.21,106.05,128.7,90.78,"economic_state_rnk",0
"17005","county",2020,101.3,105.09,107.9,82.95,"economic_state_rnk",37.6238
"17007","county",2020,115.97,123.9,79.68,85.89,"economic_state_rnk",86.1386
"17009","county",2020,107.89,98.9,94.1,70.67,"economic_state_rnk",53.4653
"17011","county",2020,109.17,104.49,107.13,76.71,"economic_state_rnk",56.4356
"17013","county",2020,113.17,106.35,102.11,68.6,"economic_state_rnk",70.297
"17015","county",2020,111.83,100.04,115.21,90.63,"economic_state_rnk",45.5446
"17017","county",2020,101.03,99.66,106.73,74.51,"economic_state_rnk",23.2673
"17019","county",2020,110.09,118.05,59.87,106.57,"economic_state_rnk",84.1584
"17021","county",2020,106.9,105.47,103.34,74.51,"economic_state_rnk",55.4455
"17023","county",2020,109.23,103.05,99.45,66.53,"economic_state_rnk",62.3762
"17025","county",2020,99.59,95.55,107.49,88.3,"economic_state_rnk",15.8416
"17027","county",2020,126.62,109.4,85.37,78.39,"economic_state_rnk",87.1287
"17029","county",2020,101.62,105,94.15,103.82,"economic_state_rnk",36.6337
"17031","county",2020,112.13,137.3,67.16,128.46,"economic_state_rnk",91.0891
"17033","county",2020,107.28,100.41,101.36,86.82,"economic_state_rnk",38.6139
"17035","county",2020,112.25,96.12,105.66,74.55,"economic_state_rnk",49.505
"17037","county",2020,113.27,129.4,74.15,82.39,"economic_state_rnk",88.1188
"17039","county",2020,111.73,107.52,102.37,71.16,"economic_state_rnk",65.3465
"17041","county",2020,112.57,105.37,96.09,92.98,"economic_state_rnk",52.4752
"17043","county",2020,143.47,137.26,56.93,100.94,"economic_state_rnk",99.0099
"17045","county",2020,106.29,101.05,111.56,79.71,"economic_state_rnk",31.6832
"17047","county",2020,107.43,92.37,99.45,66.24,"economic_state_rnk",28.7129
"17049","county",2020,119.71,104.63,86.96,95.54,"economic_state_rnk",77.2277
"17051","county",2020,95.81,102.61,111.64,91.01,"economic_state_rnk",8.9109
"17053","county",2020,106.19,105.77,92.22,88.06,"economic_state_rnk",54.4554
"17055","county",2020,85.91,103.85,116.73,90.03,"economic_state_rnk",3.9604
"17057","county",2020,107.11,104.2,106.57,88.58,"economic_state_rnk",44.5545
"17059","county",2020,93.16,97.8,126.9,107.43,"economic_state_rnk",1.9802
"17061","county",2020,100.86,98.2,110.81,81.11,"economic_state_rnk",11.8812
"17063","county",2020,129.15,122.42,79.32,66.4,"economic_state_rnk",93.0693
"17065","county",2020,104.7,94.32,108.37,82.95,"economic_state_rnk",19.802
"17067","county",2020,105.67,95.25,111.67,84.04,"economic_state_rnk",23.2673
"17069","county",2020,87.89,93.74,110.59,83.83,"economic_state_rnk",4.9505
"17071","county",2020,113.06,95.36,119.72,72.76,"economic_state_rnk",33.6634
"17073","county",2020,115.54,105.86,93.93,80.36,"economic_state_rnk",72.2772
"17075","county",2020,103.9,108.92,105.29,82.35,"economic_state_rnk",41.5842
"17077","county",2020,90.98,107.86,86.47,112.94,"economic_state_rnk",17.8218
"17079","county",2020,108.59,102.32,100.59,77.07,"economic_state_rnk",48.5149
"17081","county",2020,100.1,105.1,106.14,87.92,"economic_state_rnk",30.6931
"17083","county",2020,115.51,110.53,96.65,72.3,"economic_state_rnk",78.2178
"17085","county",2020,121.33,113.62,110.39,86.76,"economic_state_rnk",76.2376
"17087","county",2020,100.14,108.57,122.88,77.11,"economic_state_rnk",16.8317
"17089","county",2020,124.78,137.55,67.3,92.41,"economic_state_rnk",94.0594
"17091","county",2020,102.69,122.71,90.3,85.29,"economic_state_rnk",71.2871
"17093","county",2020,135.54,145.55,50.82,57.55,"economic_state_rnk",100
"17095","county",2020,94.65,108.73,104.17,86.75,"economic_state_rnk",26.7327
"17097","county",2020,136.51,138.05,61.56,114.16,"economic_state_rnk",98.0198
"17099","county",2020,110.53,110.51,101.82,78.27,"economic_state_rnk",64.3564
"17101","county",2020,103.01,95.5,109.33,85.33,"economic_state_rnk",14.8515
"17103","county",2020,113.58,108.2,92.22,81.22,"economic_state_rnk",73.2673
"17105","county",2020,109.31,107.92,101.19,80.86,"economic_state_rnk",63.3663
"17107","county",2020,112.48,103.09,103.64,77.03,"economic_state_rnk",60.396
"17109","county",2020,100.54,109.6,101.39,103.27,"economic_state_rnk",25.7426
"17111","county",2020,138.67,136.35,68.75,77.82,"economic_state_rnk",97.0297
"17113","county",2020,121.43,114.97,60.25,92.32,"economic_state_rnk",90.099
"17115","county",2020,100.04,103.76,95.12,92.58,"economic_state_rnk",43.5644
"17117","county",2020,103.29,104.73,108.52,70.74,"economic_state_rnk",39.604
"17119","county",2020,113.76,114.25,83.03,83.2,"economic_state_rnk",80.198
"17121","county",2020,97.56,103.31,108.76,85.68,"economic_state_rnk",21.2871
"17123","county",2020,108.24,106.67,110.4,72.09,"economic_state_rnk",51.4851
"17125","county",2020,103.72,101.96,118.23,85.99,"economic_state_rnk",18.8119
"17127","county",2020,91.31,107.83,114.8,75.35,"economic_state_rnk",10.8911
"17129","county",2020,125.41,102.01,95.03,67.43,"economic_state_rnk",83.1683
"17131","county",2020,112.83,107.01,102.48,70.62,"economic_state_rnk",66.3366
"17133","county",2020,149.33,118.59,77.57,70.62,"economic_state_rnk",95.5446
