"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"26001","county",2020,93.71,98.9,151.14,76.79,"economic_score",89.58
"26003","county",2020,104.24,98.22,142.99,74.4,"economic_score",95.55
"26005","county",2020,115.97,104.8,89.61,79.84,"economic_score",114.45
"26007","county",2020,96.27,93.8,116.69,85.77,"economic_score",95.66
"26009","county",2020,113.59,104.12,125.33,91.91,"economic_score",105.6
"26011","county",2020,94.6,95.02,128.37,74.6,"economic_score",92.68
"26013","county",2020,99.01,90.18,122.55,84.14,"economic_score",94.39
"26015","county",2020,119.73,104.52,94.93,84.83,"economic_score",115.15
"26017","county",2020,105.38,97.42,106.55,83.85,"economic_score",102.09
"26019","county",2020,115.72,107.06,119.84,83.92,"economic_score",110.04
"26021","county",2020,102.4,102.83,91.9,104.21,"economic_score",105.46
"26023","county",2020,99.41,100.49,107.92,86.05,"economic_score",99.35
"26025","county",2020,99.79,101.48,96.43,83.87,"economic_score",102.96
"26027","county",2020,109.66,101.03,96.72,98.29,"economic_score",108.35
"26029","county",2020,124.13,103.32,109.55,101.64,"economic_score",113.24
"26031","county",2020,104.66,99.46,134.4,93.22,"economic_score",97.87
"26033","county",2020,104.19,94.35,108.05,97.78,"economic_score",99.21
"26035","county",2020,83.85,101.41,121.48,94.54,"economic_score",86.36
"26037","county",2020,131.22,105.4,80.8,79.23,"economic_score",126.24
"26039","county",2020,95.86,100.37,127.58,71.29,"economic_score",95.92
"26041","county",2020,101.56,94.09,117.32,83.12,"economic_score",97.8
"26043","county",2020,111.41,93.08,105.07,73.6,"economic_score",105.03
"26045","county",2020,120.85,102.05,93.63,72.26,"economic_score",118.64
"26047","county",2020,123.79,106.68,100.08,111.33,"economic_score",115.63
"26049","county",2020,96.18,106.09,99.08,96.1,"economic_score",103
"26051","county",2020,87.89,100.54,131.68,87.99,"economic_score",90.28
"26053","county",2020,98.76,90.22,127.12,100.79,"economic_score",89.33
"26055","county",2020,125.32,109.51,86.64,100.56,"economic_score",122.13
"26057","county",2020,99.18,100.81,99.75,101.31,"economic_score",102.42
"26059","county",2020,96.5,98.33,101.57,79.13,"economic_score",100.68
"26061","county",2020,107.86,95.66,88.14,95.04,"economic_score",103
"26063","county",2020,104.29,90.71,119.98,83.49,"economic_score",95.52
"26065","county",2020,108.22,107.73,73.08,95.08,"economic_score",114.79
"26067","county",2020,108.22,99.84,91.01,70.1,"economic_score",109.89
"26069","county",2020,92.2,93.98,140.67,75.8,"economic_score",88.95
"26071","county",2020,100.72,94.34,133.39,80.59,"economic_score",91.34
"26073","county",2020,96.89,105.66,87.88,100.75,"economic_score",100.81
"26075","county",2020,106.05,101.91,96.7,88.58,"economic_score",106.69
"26077","county",2020,113.83,104.64,73.65,96.95,"economic_score",116.91
"26079","county",2020,95.64,104.97,116.25,89.05,"economic_score",97.49
"26081","county",2020,117.79,105.01,67.05,103.18,"economic_score",120.91
"26083","county",2020,119.42,86.69,113.7,84.72,"economic_score",107.62
"26085","county",2020,76.44,105,142.28,88.94,"economic_score",81.06
"26087","county",2020,114.95,109.01,98.57,84.64,"economic_score",113.08
"26089","county",2020,130.93,107.93,119.85,103.88,"economic_score",117.81
"26091","county",2020,108.93,104,102.05,79.8,"economic_score",109.13
"26093","county",2020,145.77,112.12,76.38,75.32,"economic_score",136.62
"26095","county",2020,100.29,90.86,129.96,71.39,"economic_score",96.97
"26097","county",2020,108.72,98.09,126.87,96.23,"economic_score",98.95
"26099","county",2020,116.98,109.33,85.52,82.27,"economic_score",117.83
"26101","county",2020,107.51,98.6,125.54,84.74,"economic_score",99.89
"26103","county",2020,113.08,98.12,98.44,75.92,"economic_score",108.64
"26105","county",2020,104.9,101.6,113.01,88.25,"economic_score",101.37
"26107","county",2020,93.24,98.33,108.79,87.99,"economic_score",96.03
"26109","county",2020,107.37,91.24,116.95,81.88,"economic_score",97.26
"26111","county",2020,120.08,99.66,87.44,87.95,"economic_score",115.75
"26113","county",2020,95.84,100.61,102.88,79.47,"economic_score",98.6
"26115","county",2020,117.87,106.77,94.1,73.61,"economic_score",115.38
"26117","county",2020,99.53,101.42,111.17,78.65,"economic_score",99.8
"26119","county",2020,94.09,105.7,145.78,68.41,"economic_score",90.98
"26121","county",2020,100.33,101.04,101.22,85.32,"economic_score",103.12
"26123","county",2020,94.62,103.61,109.95,85.68,"economic_score",98.03
"26125","county",2020,139.51,112.08,64.81,104.54,"economic_score",136.65
"26127","county",2020,95.1,98.22,117.93,85.57,"economic_score",95.1
"26129","county",2020,87.14,104.93,136.56,78.96,"economic_score",89.27
"26131","county",2020,95.31,90.56,157.65,65.82,"economic_score",85.22
"26133","county",2020,92.58,97.86,108.85,77.98,"economic_score",94.47
"26135","county",2020,89.38,98.39,123.12,84.9,"economic_score",89.58
"26137","county",2020,109.03,104.49,103.17,82.31,"economic_score",107.31
"26139","county",2020,131.29,104.99,73.34,79.68,"economic_score",126.52
"26141","county",2020,101.1,93.55,134.43,95.22,"economic_score",93.91
"26143","county",2020,93.35,97.65,146.56,87.95,"economic_score",88.52
"26145","county",2020,96.95,99.35,103.19,94.72,"economic_score",100.13
"26147","county",2020,110.04,105.84,101.32,85.49,"economic_score",109.21
"26149","county",2020,99.66,98.52,105.73,89.74,"economic_score",100.46
"26151","county",2020,100.59,97.24,107.65,91.97,"economic_score",99.42
"26153","county",2020,97.47,93.52,124.12,80.29,"economic_score",93.8
