"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"33001","county",2020,123.5,130.82,102.52,100.86,"economic_score",123.71
"33003","county",2020,127,122.04,113.85,124.54,"economic_score",118.59
"33005","county",2020,121.45,131.65,93.14,93.02,"economic_score",125.03
"33007","county",2020,102.05,114.01,124.16,86.65,"economic_score",101.02
"33009","county",2020,127.35,129.9,90.59,120.52,"economic_score",126.12
"33011","county",2020,135.69,138.15,69.02,89.36,"economic_score",139.52
"33013","county",2020,131.29,133.95,81.4,89,"economic_score",133.28
"33015","county",2020,154.74,141.27,72.24,89.31,"economic_score",149.9
"33017","county",2020,127.06,134.36,78.29,85.82,"economic_score",132.16
"33019","county",2020,112.17,128.33,98.5,98.91,"economic_score",116.56
"33001","county",2020,123.5,130.82,102.52,100.86,"economic_rnk",89.19
"33003","county",2020,127,122.04,113.85,124.54,"economic_rnk",84.2679
"33005","county",2020,121.45,131.65,93.14,93.02,"economic_rnk",89.9065
"33007","county",2020,102.05,114.01,124.16,86.65,"economic_rnk",53.3333
"33009","county",2020,127.35,129.9,90.59,120.52,"economic_rnk",90.7788
"33011","county",2020,135.69,138.15,69.02,89.36,"economic_rnk",96.1059
"33013","county",2020,131.29,133.95,81.4,89,"economic_rnk",93.8006
"33015","county",2020,154.74,141.27,72.24,89.31,"economic_rnk",98.5358
"33017","county",2020,127.06,134.36,78.29,85.82,"economic_rnk",93.5202
"33019","county",2020,112.17,128.33,98.5,98.91,"economic_rnk",81.838
"33001","county",2020,123.5,130.82,102.52,100.86,"economic_state_rnk",33.3333
"33003","county",2020,127,122.04,113.85,124.54,"economic_state_rnk",22.2222
"33005","county",2020,121.45,131.65,93.14,93.02,"economic_state_rnk",44.4444
"33007","county",2020,102.05,114.01,124.16,86.65,"economic_state_rnk",0
"33009","county",2020,127.35,129.9,90.59,120.52,"economic_state_rnk",55.5556
"33011","county",2020,135.69,138.15,69.02,89.36,"economic_state_rnk",88.8889
"33013","county",2020,131.29,133.95,81.4,89,"economic_state_rnk",77.7778
"33015","county",2020,154.74,141.27,72.24,89.31,"economic_state_rnk",100
"33017","county",2020,127.06,134.36,78.29,85.82,"economic_state_rnk",66.6667
"33019","county",2020,112.17,128.33,98.5,98.91,"economic_state_rnk",11.1111
