"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"49001","county",2020,107.38,92.48,68.16,60.85,"economic_score",113.54
"49003","county",2020,108.02,106.8,72.19,69.87,"economic_score",116.33
"49005","county",2020,109.72,112.85,51.45,85.82,"economic_score",122.38
"49007","county",2020,94.78,95.95,95.95,80.08,"economic_score",96.8
"49009","county",2020,121.43,53.14,94.99,58.04,"economic_score",101.7
"49011","county",2020,127.81,128.49,49.61,71.34,"economic_score",139.43
"49013","county",2020,92.61,98.91,67.68,89.68,"economic_score",104.2
"49015","county",2020,104.36,74,98.36,66.01,"economic_score",97.23
"49017","county",2020,102.99,89.36,106.71,106.52,"economic_score",94.15
"49019","county",2020,115.42,85.8,99.06,102.06,"economic_score",97.1
"49021","county",2020,92.9,111.15,70.05,87.56,"economic_score",107.64
"49023","county",2020,102.1,102.49,67.37,69.98,"economic_score",113.51
"49025","county",2020,110.52,104.39,97.46,96.18,"economic_score",105.8
"49027","county",2020,100.14,89.27,86.02,72.67,"economic_score",102.46
"49029","county",2020,133.77,115.66,45.41,74.83,"economic_score",143.83
"49031","county",2020,73.05,93.66,127.52,116.54,"economic_score",79.33
"49033","county",2020,109.09,70.37,99.28,71.71,"economic_score",98.79
"49035","county",2020,120.48,165.35,54.41,100.82,"economic_score",141.26
"49037","county",2020,71.07,80.35,89.58,107.33,"economic_score",77.6
"49039","county",2020,93.53,104.68,76.34,89.62,"economic_score",104.57
"49041","county",2020,98.37,100.1,79.72,81.54,"economic_score",106.66
"49043","county",2020,158.78,126.54,54.48,153.87,"economic_score",152.79
"49045","county",2020,114.41,117.27,59.02,53.86,"economic_score",127.08
"49047","county",2020,90.39,103.02,71.64,92.92,"economic_score",101.2
"49049","county",2020,115.96,145.94,36.43,90.97,"economic_score",139.58
"49051","county",2020,131.89,122.99,57.87,108.76,"economic_score",134.53
"49053","county",2020,109.28,118.13,89.49,102.81,"economic_score",114.08
"49055","county",2020,102.19,90.64,96.93,90.31,"economic_score",96.14
"49057","county",2020,112.72,121.21,67.38,76.18,"economic_score",124.67
"49001","county",2020,107.38,92.48,68.16,60.85,"economic_rnk",78.3489
"49003","county",2020,108.02,106.8,72.19,69.87,"economic_rnk",81.7445
"49005","county",2020,109.72,112.85,51.45,85.82,"economic_rnk",87.8505
"49007","county",2020,94.78,95.95,95.95,80.08,"economic_rnk",44.0498
"49009","county",2020,121.43,53.14,94.99,58.04,"economic_rnk",55.6698
"49011","county",2020,127.81,128.49,49.61,71.34,"economic_rnk",95.8879
"49013","county",2020,92.61,98.91,67.68,89.68,"economic_rnk",61.6199
"49015","county",2020,104.36,74,98.36,66.01,"economic_rnk",44.891
"49017","county",2020,102.99,89.36,106.71,106.52,"economic_rnk",39.0343
"49019","county",2020,115.42,85.8,99.06,102.06,"economic_rnk",44.6729
"49021","county",2020,92.9,111.15,70.05,87.56,"economic_rnk",68.4112
"49023","county",2020,102.1,102.49,67.37,69.98,"economic_rnk",78.2243
"49025","county",2020,110.52,104.39,97.46,96.18,"economic_rnk",64.5171
"49027","county",2020,100.14,89.27,86.02,72.67,"economic_rnk",57.5389
"49029","county",2020,133.77,115.66,45.41,74.83,"economic_rnk",97.2274
"49031","county",2020,73.05,93.66,127.52,116.54,"economic_rnk",14.081
"49033","county",2020,109.09,70.37,99.28,71.71,"economic_rnk",49.19
"49035","county",2020,120.48,165.35,54.41,100.82,"economic_rnk",96.4798
"49037","county",2020,71.07,80.35,89.58,107.33,"economic_rnk",11.5576
