"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"50001","county",2020,126.19,141.87,86.01,84.31,"economic_score",132.29
"50003","county",2020,110.7,142.49,96.67,104.34,"economic_score",121.6
"50005","county",2020,104.94,134.85,98.23,91.31,"economic_score",115.43
"50007","county",2020,133.89,181.84,61.7,89.08,"economic_score",152.96
"50009","county",2020,99.26,125.67,118.34,85.33,"economic_score",103.64
"50011","county",2020,114.12,151.93,83.5,76.15,"economic_score",130.72
"50013","county",2020,131.12,147.71,92.7,86.17,"economic_score",137.13
"50015","county",2020,122.07,142.91,77.45,113.07,"economic_score",130.83
"50017","county",2020,116.35,137.37,98.18,78.58,"economic_score",122.69
"50019","county",2020,102.41,136.15,103.98,89.24,"economic_score",114.61
"50021","county",2020,111.11,144.78,100.13,88.79,"economic_score",122.02
"50023","county",2020,121.7,149.46,79.46,84.16,"economic_score",135.57
"50025","county",2020,110.08,150,97.49,98.99,"economic_score",122.72
"50027","county",2020,122.82,148.24,94.86,101.62,"economic_score",129.22
"50001","county",2020,126.19,141.87,86.01,84.31,"economic_rnk",93.3333
"50003","county",2020,110.7,142.49,96.67,104.34,"economic_rnk",87.1651
"50005","county",2020,104.94,134.85,98.23,91.31,"economic_rnk",80.405
"50007","county",2020,133.89,181.84,61.7,89.08,"economic_rnk",98.972
"50009","county",2020,99.26,125.67,118.34,85.33,"economic_rnk",60.2181
"50011","county",2020,114.12,151.93,83.5,76.15,"economic_rnk",92.7726
"50013","county",2020,131.12,147.71,92.7,86.17,"economic_rnk",95.1402
"50015","county",2020,122.07,142.91,77.45,113.07,"economic_rnk",92.9283
"50017","county",2020,116.35,137.37,98.18,78.58,"economic_rnk",88.1931
"50019","county",2020,102.41,136.15,103.98,89.24,"economic_rnk",79.4081
"50021","county",2020,111.11,144.78,100.13,88.79,"economic_rnk",87.6324
"50023","county",2020,121.7,149.46,79.46,84.16,"economic_rnk",94.4237
"50025","county",2020,110.08,150,97.49,98.99,"economic_rnk",88.2243
"50027","county",2020,122.82,148.24,94.86,101.62,"economic_rnk",92.1807
"50001","county",2020,126.19,141.87,86.01,84.31,"economic_state_rnk",76.9231
"50003","county",2020,110.7,142.49,96.67,104.34,"economic_state_rnk",23.0769
"50005","county",2020,104.94,134.85,98.23,91.31,"economic_state_rnk",15.3846
"50007","county",2020,133.89,181.84,61.7,89.08,"economic_state_rnk",100
"50009","county",2020,99.26,125.67,118.34,85.33,"economic_state_rnk",0
"50011","county",2020,114.12,151.93,83.5,76.15,"economic_state_rnk",61.5385
"50013","county",2020,131.12,147.71,92.7,86.17,"economic_state_rnk",92.3077
"50015","county",2020,122.07,142.91,77.45,113.07,"economic_state_rnk",69.2308
"50017","county",2020,116.35,137.37,98.18,78.58,"economic_state_rnk",38.4615
"50019","county",2020,102.41,136.15,103.98,89.24,"economic_state_rnk",7.6923
"50021","county",2020,111.11,144.78,100.13,88.79,"economic_state_rnk",30.7692
"50023","county",2020,121.7,149.46,79.46,84.16,"economic_state_rnk",84.6154
"50025","county",2020,110.08,150,97.49,98.99,"economic_state_rnk",46.1538
"50027","county",2020,122.82,148.24,94.86,101.62,"economic_state_rnk",53.8462
