"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"56001","county",2020,117.51,114.78,64.75,93.37,"economic_score",120.66
"56003","county",2020,100.78,91.75,108.01,106.5,"economic_score",98.34
"56005","county",2020,118.93,113.54,69.37,83.48,"economic_score",121.54
"56007","county",2020,110.42,91.71,89.08,90.49,"economic_score",103.39
"56009","county",2020,120.69,96.14,92.4,98.94,"economic_score",114.51
"56011","county",2020,117.46,101.49,96.1,81.92,"economic_score",110.4
"56013","county",2020,98.44,92.46,102.92,109.18,"economic_score",95.29
"56015","county",2020,100.55,97.51,109.11,93.48,"economic_score",100.21
"56017","county",2020,106.96,87.52,106.36,81.39,"economic_score",99.01
"56019","county",2020,119,96.36,96.38,121.78,"economic_score",106.63
"56021","county",2020,121.41,112.98,84.79,90.82,"economic_score",122.4
"56023","county",2020,120.49,98.2,91.96,113.91,"economic_score",117.44
"56025","county",2020,115.68,104.42,82.62,103.12,"economic_score",114.74
"56027","county",2020,96.83,90.43,109.9,95.84,"economic_score",91.65
"56029","county",2020,121.72,100.57,99.39,115.2,"economic_score",115.88
"56031","county",2020,110.03,96.15,114.58,103.19,"economic_score",99.22
"56033","county",2020,123.84,114.53,88.88,102.46,"economic_score",119.66
"56035","county",2020,137.12,97.67,97.13,136.89,"economic_score",117.85
"56037","county",2020,116.78,93.33,85.29,82.89,"economic_score",109.34
"56039","county",2020,161.42,108.47,78.01,248.12,"economic_score",149.54
"56041","county",2020,110.33,93.57,84.08,74.84,"economic_score",110.03
"56043","county",2020,111.49,98.93,89.05,91.85,"economic_score",112.63
"56045","county",2020,108.17,101.3,98.88,89.74,"economic_score",103.24
"56001","county",2020,117.51,114.78,64.75,93.37,"economic_rnk",86.324
"56003","county",2020,100.78,91.75,108.01,106.5,"economic_rnk",47.4766
"56005","county",2020,118.93,113.54,69.37,83.48,"economic_rnk",87.2586
"56007","county",2020,110.42,91.71,89.08,90.49,"economic_rnk",59.0343
"56009","county",2020,120.69,96.14,92.4,98.94,"economic_rnk",79.2835
"56011","county",2020,117.46,101.49,96.1,81.92,"economic_rnk",72.9907
"56013","county",2020,98.44,92.46,102.92,109.18,"economic_rnk",41.1838
"56015","county",2020,100.55,97.51,109.11,93.48,"economic_rnk",51.6511
"56017","county",2020,106.96,87.52,106.36,81.39,"economic_rnk",48.6916
"56019","county",2020,119,96.36,96.38,121.78,"economic_rnk",66.1371
"56021","county",2020,121.41,112.98,84.79,90.82,"economic_rnk",87.9751
"56023","county",2020,120.49,98.2,91.96,113.91,"economic_rnk",82.9283
"56025","county",2020,115.68,104.42,82.62,103.12,"economic_rnk",79.595
"56027","county",2020,96.83,90.43,109.9,95.84,"economic_rnk",34.7975
"56029","county",2020,121.72,100.57,99.39,115.2,"economic_rnk",81.1215
"56031","county",2020,110.03,96.15,114.58,103.19,"economic_rnk",49.3146
"56033","county",2020,123.84,114.53,88.88,102.46,"economic_rnk",85.0467
"56035","county",2020,137.12,97.67,97.13,136.89,"economic_rnk",83.5202
"56037","county",2020,116.78,93.33,85.29,82.89,"economic_rnk",71.3084
"56039","county",2020,161.42,108.47,78.01,248.12,"economic_rnk",98.5047
"56041","county",2020,110.33,93.57,84.08,74.84,"economic_rnk",72.243
"56043","county",2020,111.49,98.93,89.05,91.85,"economic_rnk",76.7913
"56045","county",2020,108.17,101.3,98.88,89.74,"economic_rnk",58.6293
"56001","county",2020,117.51,114.78,64.75,93.37,"economic_state_rnk",86.3636
"56003","county",2020,100.78,91.75,108.01,106.5,"economic_state_rnk",9.0909
"56005","county",2020,118.93,113.54,69.37,83.48,"economic_state_rnk",90.9091
"56007","county",2020,110.42,91.71,89.08,90.49,"economic_state_rnk",31.8182
"56009","county",2020,120.69,96.14,92.4,98.94,"economic_state_rnk",59.0909
"56011","county",2020,117.46,101.49,96.1,81.92,"economic_state_rnk",50
"56013","county",2020,98.44,92.46,102.92,109.18,"economic_state_rnk",4.5455
"56015","county",2020,100.55,97.51,109.11,93.48,"economic_state_rnk",22.7273
"56017","county",2020,106.96,87.52,106.36,81.39,"economic_state_rnk",13.6364
"56019","county",2020,119,96.36,96.38,121.78,"economic_state_rnk",36.3636
"56021","county",2020,121.41,112.98,84.79,90.82,"economic_state_rnk",95.4545
"56023","county",2020,120.49,98.2,91.96,113.91,"economic_state_rnk",72.7273
"56025","county",2020,115.68,104.42,82.62,103.12,"economic_state_rnk",63.6364
"56027","county",2020,96.83,90.43,109.9,95.84,"economic_state_rnk",0
"56029","county",2020,121.72,100.57,99.39,115.2,"economic_state_rnk",68.1818
"56031","county",2020,110.03,96.15,114.58,103.19,"economic_state_rnk",18.1818
"56033","county",2020,123.84,114.53,88.88,102.46,"economic_state_rnk",81.8182
"56035","county",2020,137.12,97.67,97.13,136.89,"economic_state_rnk",77.2727
"56037","county",2020,116.78,93.33,85.29,82.89,"economic_state_rnk",40.9091
"56039","county",2020,161.42,108.47,78.01,248.12,"economic_state_rnk",100
"56041","county",2020,110.33,93.57,84.08,74.84,"economic_state_rnk",45.4545
"56043","county",2020,111.49,98.93,89.05,91.85,"economic_state_rnk",54.5455
"56045","county",2020,108.17,101.3,98.88,89.74,"economic_state_rnk",27.2727
