"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"15001020100","tract",2020,110.05,105.96,119.16,100.55,"economic_score",93.46
"15001020202","tract",2020,NA,NA,NA,NA,"economic_score",NA
"15001020300","tract",2020,133,112.3,113.81,103.11,"economic_score",83.8
"15001020400","tract",2020,114.59,118.98,119.44,98.92,"economic_score",95.16
"15001020500","tract",2020,140.43,102.76,126.13,103.04,"economic_score",72.02
"15001020600","tract",2020,110.85,105.12,125,95.98,"economic_score",91.64
"15001020701","tract",2020,105.9,104.73,134.68,103.88,"economic_score",90.3
"15001020702","tract",2020,93.91,113.41,122.3,87.58,"economic_score",108.62
"15001020801","tract",2020,94.35,113.86,121.07,94.85,"economic_score",108.9
"15001020802","tract",2020,96.44,110.76,117.91,93.15,"economic_score",108.39
"15001020900","tract",2020,101.57,121.23,126.75,95.69,"economic_score",103.51
"15001021003","tract",2020,120.73,121.97,107.26,101.43,"economic_score",85.21
"15001021011","tract",2020,119.66,109.58,119.8,95.87,"economic_score",92.26
"15001021013","tract",2020,116.8,112.96,128.29,95.65,"economic_score",93.35
"15001021014","tract",2020,99.77,123.82,112.63,91.95,"economic_score",106.96
"15001021015","tract",2020,93.91,113.54,113.47,95.74,"economic_score",103.19
"15001021016","tract",2020,112.6,98.25,133.84,99.27,"economic_score",86.75
"15001021017","tract",2020,112.93,103.98,126.17,97.94,"economic_score",91.54
"15001021101","tract",2020,118.68,106.05,115.19,108.89,"economic_score",83.78
"15001021107","tract",2020,131.94,117.76,116.45,107.94,"economic_score",78.67
"15001021108","tract",2020,115.24,114.27,133.47,103.12,"economic_score",83.79
"15001021203","tract",2020,118.7,108.14,133.28,106.56,"economic_score",78.81
"15001021204","tract",2020,111.26,109.41,133.22,98.02,"economic_score",85.77
"15001021300","tract",2020,97.98,103.24,128.24,105.53,"economic_score",93.86
"15001021402","tract",2020,97.88,117.66,137.1,96.05,"economic_score",98.94
"15001021502","tract",2020,103.66,122.63,113.14,96.76,"economic_score",100.94
"15001021504","tract",2020,115.3,116.06,109.68,100.34,"economic_score",93.72
"15001021510","tract",2020,95.41,132.58,133.5,95.73,"economic_score",104.63
"15001021511","tract",2020,94.66,128.25,127.02,94.2,"economic_score",105.46
"15001021512","tract",2020,95.19,130.57,103.83,95.6,"economic_score",107.35
"15001021513","tract",2020,91.91,134,110.21,99.72,"economic_score",108.68
"15001021605","tract",2020,96.43,123.56,112.31,100.02,"economic_score",100.61
"15001021606","tract",2020,107.84,133.02,112.69,104.34,"economic_score",100.56
