"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"19001960100","tract",2020,100.59,87.21,108.86,108.3,"economic_score",96.65
"19001960200","tract",2020,96.83,79.17,132.55,105.47,"economic_score",93.01
"19001960300","tract",2020,102.06,81.31,113.9,112.91,"economic_score",92.46
"19003950100","tract",2020,98.24,88.08,113.01,122.3,"economic_score",93.24
"19003950200","tract",2020,104.58,77.67,121,116.91,"economic_score",87.91
"19005960100","tract",2020,96.52,94.49,115.32,104.43,"economic_score",100.39
"19005960200","tract",2020,96.61,85.06,108.43,107.12,"economic_score",99.1
"19005960300","tract",2020,99.6,86.08,111.65,105.25,"economic_score",93.34
"19005960400","tract",2020,102.16,81.47,126.29,117.16,"economic_score",87.5
"19005960500","tract",2020,105.09,81.85,102.5,114.3,"economic_score",88.89
"19007950100","tract",2020,102.19,81.1,122.98,93.47,"economic_score",85.98
"19007950200","tract",2020,99.35,83.01,126.98,85.01,"economic_score",90.64
"19007950300","tract",2020,116.43,88.69,131.35,90.4,"economic_score",79.08
"19007950400","tract",2020,120.08,89.18,115.86,98.47,"economic_score",80.68
"19007950500","tract",2020,116.81,86.79,121.72,96.95,"economic_score",75.64
"19009070100","tract",2020,93.76,76.79,114.09,108.7,"economic_score",97.12
"19009070200","tract",2020,104.7,80.99,115.74,109.11,"economic_score",90.06
"19009070300","tract",2020,102.79,76.71,115.45,108.29,"economic_score",89.92
"19011960100","tract",2020,89.54,90.32,89.78,66.65,"economic_score",109.22
"19011960200","tract",2020,85.95,86.37,94.24,71.6,"economic_score",105.82
"19011960300","tract",2020,94.05,96.54,114.57,73.16,"economic_score",97.06
"19011960400","tract",2020,81.7,87.76,100.5,69.83,"economic_score",108.97
"19011960500","tract",2020,86.94,89.52,92.19,68.74,"economic_score",110.33
"19011960600","tract",2020,88.09,86.71,105.41,69.88,"economic_score",101.31
"19011960700","tract",2020,96.09,87.16,101.31,72.72,"economic_score",94.16
"19013000100","tract",2020,135.88,82.72,117.15,98.35,"economic_score",63.99
"19013000200","tract",2020,120.89,79.96,81.19,88.21,"economic_score",82.87
"19013000300","tract",2020,124.02,101.09,93,94.27,"economic_score",77.69
"19013000400","tract",2020,98.88,85.88,80.04,82.78,"economic_score",98.81
"19013000500","tract",2020,108.67,90.48,94.1,85.57,"economic_score",89.49
"19013000700","tract",2020,117.88,96.84,97.43,94.84,"economic_score",73.98
"19013000800","tract",2020,120.8,86.03,117.8,88.78,"economic_score",78.16
"19013000900","tract",2020,134.9,88.98,97.5,88.12,"economic_score",79.25
"19013001000","tract",2020,100.61,93,98.02,84.31,"economic_score",99.52
"19013001100","tract",2020,99.34,92.91,89.88,81.2,"economic_score",101.41
"19013001200","tract",2020,84.44,87.78,106.59,79.95,"economic_score",110.32
"19013001301","tract",2020,97.3,90.41,99.62,84.12,"economic_score",103.63
"19013001302","tract",2020,90.02,93.18,96.69,87.52,"economic_score",105.31
"19013001400","tract",2020,88.93,90.57,99.97,82.75,"economic_score",107.46
"19013001501","tract",2020,104.12,87.08,101.22,92.12,"economic_score",94.3
"19013001502","tract",2020,105.9,95.75,98.84,87.43,"economic_score",95.23
"19013001503","tract",2020,93.63,87.1,99.63,81.1,"economic_score",106.29
"19013001600","tract",2020,118.96,93.59,97.18,92.7,"economic_score",83.01
"19013001701","tract",2020,138.05,100.29,101.06,92.41,"economic_score",66.92
"19013001702","tract",2020,121.49,90.1,108.19,84.84,"economic_score",83.37
"19013001800","tract",2020,129.63,121.07,102.8,91.11,"economic_score",76.56
"19013001900","tract",2020,115.89,83.26,112.62,85.25,"economic_score",84.49
"19013002000","tract",2020,101.29,89.37,118.27,80.2,"economic_score",96.63
"19013002200","tract",2020,91.08,90.09,97.05,88.79,"economic_score",105.03
"19013002301","tract",2020,104.4,94.7,80.08,85.17,"economic_score",98.83
"19013002303","tract",2020,NA,NA,NA,NA,"economic_score",NA
"19013002304","tract",2020,105.4,90.29,85.93,93.27,"economic_score",89.26
"19013002400","tract",2020,86.58,87.13,93.52,83.88,"economic_score",108.9
"19013002500","tract",2020,97,94.48,96.6,85.7,"economic_score",104.53
