"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"21001970100","tract",2020,117.69,83.27,117.7,92.94,"economic_score",77.79
"21001970200","tract",2020,107.54,80.11,124.31,88.37,"economic_score",88.12
"21001970300","tract",2020,135.87,79.08,122.39,85.61,"economic_score",71.99
"21001970401","tract",2020,130.13,77.25,102.39,95.73,"economic_score",75.9
"21001970402","tract",2020,112.18,78.74,123.61,88.97,"economic_score",89.25
"21001970500","tract",2020,123.29,76.15,123.03,89.84,"economic_score",80.29
"21001970600","tract",2020,117.85,75.13,121.23,89.56,"economic_score",77.48
"21003920100","tract",2020,112.53,83.49,118.88,96.21,"economic_score",87.85
"21003920200","tract",2020,105.87,84.57,119.52,106.57,"economic_score",84.44
"21003920300","tract",2020,111.58,82.85,118.8,95.62,"economic_score",86.22
"21003920400","tract",2020,123.16,82.59,109.53,98.19,"economic_score",81.02
"21003920500","tract",2020,113.61,76.88,140.72,105.27,"economic_score",73.66
"21003920600","tract",2020,117.3,77.9,107.38,106.98,"economic_score",80.29
"21005950101","tract",2020,99.11,85.85,131.86,66.38,"economic_score",98.66
"21005950102","tract",2020,105.15,85.97,95.06,75.67,"economic_score",95.18
"21005950201","tract",2020,104.96,86.28,115.09,72.62,"economic_score",92.53
"21005950202","tract",2020,111.24,89.05,111.02,72.88,"economic_score",90.99
"21005950300","tract",2020,93.26,84.12,104.25,75.58,"economic_score",100.16
"21005950400","tract",2020,100.1,83.89,103.21,72.51,"economic_score",99.47
"21007950100","tract",2020,110.2,75.79,128.66,79.91,"economic_score",85.89
"21007950200","tract",2020,102.56,69.28,117.61,79.12,"economic_score",86.61
"21007950300","tract",2020,126.77,79.91,125.14,81.85,"economic_score",76.07
"21009950100","tract",2020,112.59,82.42,110.17,92.85,"economic_score",88.78
"21009950200","tract",2020,127.99,85.63,112.38,94.54,"economic_score",74.42
"21009950300","tract",2020,130.25,84.43,102.35,94.53,"economic_score",72.42
"21009950401","tract",2020,136.01,91.83,101.79,88.97,"economic_score",67.35
"21009950402","tract",2020,134.55,90.43,103.54,93.32,"economic_score",76.98
"21009950500","tract",2020,110.29,83.03,111.92,93.57,"economic_score",86.19
"21009950601","tract",2020,151.12,90.86,95.16,90.7,"economic_score",66.25
"21009950602","tract",2020,117.8,90.49,112.44,88.7,"economic_score",84.29
"21009950701","tract",2020,109.81,98.54,106.71,81.96,"economic_score",97.67
"21009950702","tract",2020,103.39,76.76,120.29,83.23,"economic_score",94.29
"21009950800","tract",2020,116.63,78.28,110.54,87.75,"economic_score",84.37
