"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"26001000100","tract",2020,98.25,83.25,168.19,68.44,"economic_score",89.15
"26001970100","tract",2020,108.64,83.85,157.97,71.42,"economic_score",81.87
"26001970400","tract",2020,113.99,82.02,142.64,70.13,"economic_score",78.22
"26001970500","tract",2020,119.18,89.91,156.82,71.88,"economic_score",73.68
"26001970600","tract",2020,111.08,84.99,145.04,68.3,"economic_score",83
"26001990000","tract",2020,NA,NA,NA,NA,"economic_score",NA
"26003000100","tract",2020,105.62,82.89,151.97,80.29,"economic_score",82.65
"26003000200","tract",2020,96.45,88.24,127.7,75.07,"economic_score",96.21
"26003000300","tract",2020,95.43,81.56,161.79,76.31,"economic_score",83
"26003990000","tract",2020,NA,NA,NA,NA,"economic_score",NA
"26005030200","tract",2020,81.07,89.72,108.31,80.44,"economic_score",110.72
"26005030301","tract",2020,94.2,89.14,89.21,78.83,"economic_score",101.62
"26005030302","tract",2020,85.14,83.73,102.25,78.84,"economic_score",100.64
"26005030402","tract",2020,89.81,90.59,78.87,77.4,"economic_score",108.16
"26005030403","tract",2020,93.27,84.82,85.04,75.95,"economic_score",101.86
"26005030404","tract",2020,85.31,85.55,82.64,78.39,"economic_score",107.27
"26005030501","tract",2020,86.38,81.87,117.68,77.67,"economic_score",104.29
"26005030502","tract",2020,98.1,89.82,88.99,82.45,"economic_score",97.41
"26005030600","tract",2020,90.75,87.97,100.8,82.5,"economic_score",98.69
"26005030702","tract",2020,89.64,89.58,93.65,80.54,"economic_score",104.59
"26005030703","tract",2020,105.58,86.63,96.42,87.82,"economic_score",90.35
"26005030704","tract",2020,91.55,89.57,93.9,86.49,"economic_score",99.55
"26005030801","tract",2020,77.67,84.65,113.1,86.41,"economic_score",107.33
"26005030802","tract",2020,81.59,89.06,113,85.22,"economic_score",106.56
"26005030901","tract",2020,83.25,84.41,129.66,91.37,"economic_score",99.15
"26005030902","tract",2020,95.05,90.74,115.78,89.83,"economic_score",92.45
"26005031001","tract",2020,127.55,86.05,114.73,100.03,"economic_score",65.79
"26005031002","tract",2020,99.11,79.77,109.09,82.69,"economic_score",90.08
"26005031101","tract",2020,95.94,85.11,113.11,81.78,"economic_score",96.94
"26005031102","tract",2020,97.24,81.44,122.58,83.52,"economic_score",94.41
"26005031200","tract",2020,108.43,92.39,98.09,84.33,"economic_score",94.87
"26005031300","tract",2020,99.62,83.68,107.67,84.72,"economic_score",92.87
"26005031800","tract",2020,93.13,86.57,111.92,83.08,"economic_score",99.06
"26005031900","tract",2020,95.49,85.61,96.65,84.65,"economic_score",94.84
"26005032000","tract",2020,97.78,88.1,116.74,83.8,"economic_score",100.08
"26005032100","tract",2020,88.29,86.23,104.71,81.61,"economic_score",102.91
"26005032200","tract",2020,93.45,92.69,102.09,86.86,"economic_score",96.89
"26005032401","tract",2020,93.87,83.5,99.02,79.46,"economic_score",91.4
"26005032402","tract",2020,86.36,85.22,102.41,79.06,"economic_score",100.71
"26005032600","tract",2020,92.59,88.72,122.87,79.94,"economic_score",97.43
"26005990000","tract",2020,NA,NA,NA,NA,"economic_score",NA
"26007000101","tract",2020,102.67,81.34,135.68,78.18,"economic_score",87.8
"26007000102","tract",2020,111.63,83.55,128.82,76.75,"economic_score",85.71
"26007000200","tract",2020,98.81,80.87,133.4,79.64,"economic_score",86.4
"26007000300","tract",2020,102.41,83.75,121.39,78.82,"economic_score",89.35
"26007000400","tract",2020,119.88,89.69,107.25,77.02,"economic_score",81.8
"26007000500","tract",2020,136.66,82.18,108.23,82.24,"economic_score",74.41
"26007000600","tract",2020,101.79,83.1,126.14,79.18,"economic_score",90.29
"26007000700","tract",2020,116.04,79.03,128.94,79.3,"economic_score",81.64
"26007000800","tract",2020,100.03,83.81,122.36,77.04,"economic_score",90.1
"26007000900","tract",2020,103.56,79.78,145.2,79.19,"economic_score",84.4
"26007990000","tract",2020,NA,NA,NA,NA,"economic_score",NA
"26009960100","tract",2020,91.74,86.2,128.23,92.07,"economic_score",95.94
"26009960200","tract",2020,99.02,84.51,130.31,88.83,"economic_score",90.1
"26009960300","tract",2020,98.16,85.01,143.5,90.99,"economic_score",89.6
