"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"30001000100","tract",2020,90.08,73.58,129.54,100.17,"economic_score",93
"30001000200","tract",2020,91.23,78.68,111.62,104.92,"economic_score",95
"30001000300","tract",2020,105.52,85.13,103.41,102.24,"economic_score",87.95
"30003000100","tract",2020,116.97,80.32,101.39,103.21,"economic_score",78.58
"30003940400","tract",2020,136.26,70.66,106.31,113.64,"economic_score",60.56
"30003940500","tract",2020,118.95,74.21,128.86,100.28,"economic_score",72.13
"30003940600","tract",2020,141.52,73.71,122.72,113.84,"economic_score",54.39
"30003940700","tract",2020,123.11,69.22,118.8,115.29,"economic_score",63.89
"30005000100","tract",2020,109.31,81.13,96.59,83.33,"economic_score",88.4
"30005000200","tract",2020,110.37,81.71,95.87,84.07,"economic_score",88.71
"30005940100","tract",2020,138.85,69.42,104.01,94.68,"economic_score",66.38
"30005940200","tract",2020,144.12,71.36,102.98,100.49,"economic_score",61.83
"30007000100","tract",2020,104.83,88.96,111.24,89.44,"economic_score",89.56
"30007000200","tract",2020,92.8,85.91,128.11,91.05,"economic_score",94.67
"30009000100","tract",2020,91.77,81.92,117.77,98.69,"economic_score",101.4
"30009000200","tract",2020,98.93,83.93,127.2,103.51,"economic_score",89.71
"30009000300","tract",2020,96.91,86.65,106.93,102.09,"economic_score",92.58
"30009000400","tract",2020,84.96,78.64,130.93,97.2,"economic_score",98.17
"30009000500","tract",2020,96.73,82.87,126.96,98.79,"economic_score",98.05
"30011000300","tract",2020,100.47,79.16,108.83,114.17,"economic_score",88.59
"30013000100","tract",2020,108.07,83.79,110.7,80.18,"economic_score",87.4
"30013000200","tract",2020,103.53,85.36,114.3,83.89,"economic_score",91.38
"30013000300","tract",2020,100.35,87.88,89.59,82.65,"economic_score",95.32
"30013000400","tract",2020,98.65,90.1,94.75,88.86,"economic_score",91.23
"30013000700","tract",2020,121.72,88.68,87.93,91.71,"economic_score",78.45
"30013000800","tract",2020,114.25,84.19,98.03,85.03,"economic_score",83
"30013000900","tract",2020,128.88,89.17,105.02,81.45,"economic_score",81.11
"30013001000","tract",2020,92.83,86.93,102.06,78.79,"economic_score",99.03
"30013001100","tract",2020,100.65,83.77,114.21,77.5,"economic_score",91.15
"30013001201","tract",2020,99.7,83.84,52.25,70.71,"economic_score",106.3
"30013001202","tract",2020,96.92,83.48,48.89,70.01,"economic_score",106.25
"30013001600","tract",2020,109.96,80.36,110.67,87.38,"economic_score",81.12
"30013001700","tract",2020,93.07,78.97,117.85,78.93,"economic_score",92.6
