"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"31001965400","tract",2020,86.22,83.75,101.58,89.34,"economic_score",105.07
"31001965500","tract",2020,99.83,87.53,86.84,93.04,"economic_score",100.39
"31001965600","tract",2020,99.13,82.18,108.36,87.68,"economic_score",93.71
"31001965700","tract",2020,113.04,84.77,89.15,93.78,"economic_score",88.51
"31001965800","tract",2020,107.83,84.65,84.38,93.79,"economic_score",89.13
"31001965900","tract",2020,86.01,84.73,101.55,86.92,"economic_score",105.41
"31001966000","tract",2020,108.95,86.79,93.49,97.31,"economic_score",86.42
"31001966100","tract",2020,120.3,89.68,121.71,101.82,"economic_score",68.67
"31001966200","tract",2020,86.97,79.92,98.31,92.89,"economic_score",99.94
"31003979600","tract",2020,101.89,77.95,110.15,131.35,"economic_score",90.15
"31003979700","tract",2020,102.88,79.29,116,129.75,"economic_score",87.94
"31003979800","tract",2020,99.8,76.41,123.03,130.11,"economic_score",89.24
"31005958300","tract",2020,111.3,83.25,127.61,81.01,"economic_score",79.08
"31007954000","tract",2020,103.96,81.79,116.24,106.91,"economic_score",92.26
"31009972400","tract",2020,98.14,74.97,116.79,75.31,"economic_score",89.08
"31011960100","tract",2020,96.7,76.96,107.87,102.16,"economic_score",90.55
"31011960200","tract",2020,88.15,77.86,116.72,102.4,"economic_score",93.32
"31013951100","tract",2020,98.61,81.93,113.71,88.79,"economic_score",88.14
"31013951200","tract",2020,95.27,82.93,108.41,84.07,"economic_score",96.25
"31013951300","tract",2020,103.92,81.04,106.71,88.83,"economic_score",86.54
"31015975800","tract",2020,99.49,79.54,118.67,130.28,"economic_score",87.37
"31017975000","tract",2020,102.5,82.48,117.71,101.7,"economic_score",87.27
"31019968900","tract",2020,96.38,82.05,100.22,93.33,"economic_score",95.88
"31019969000","tract",2020,88.31,87.36,85.39,90.85,"economic_score",104.81
"31019969100","tract",2020,94.6,86.31,96.23,93.54,"economic_score",98.8
"31019969202","tract",2020,87.91,85.73,91.86,98.26,"economic_score",104.87
"31019969203","tract",2020,82.97,92.05,91.48,89.26,"economic_score",110.36
"31019969204","tract",2020,83.33,90.02,96.79,94.95,"economic_score",107.36
"31019969300","tract",2020,106.3,87.55,97.06,91.1,"economic_score",87.91
"31019969400","tract",2020,104.05,93.27,96.89,96.78,"economic_score",95.27
"31019969500","tract",2020,101.08,87.1,87.54,101.86,"economic_score",87.97
"31019969600","tract",2020,114.96,91.37,72.22,100.35,"economic_score",89.27
"31019969700","tract",2020,95.21,86.94,81.73,98.66,"economic_score",98.62
"31021963200","tract",2020,99.94,79.4,112.48,89.66,"economic_score",84.45
"31021963300","tract",2020,98.4,83.2,101.98,83.92,"economic_score",92.15
"31021963400","tract",2020,99.08,83.99,119.1,86.36,"economic_score",85.67
"31023967600","tract",2020,91.33,81.84,104.07,76.78,"economic_score",95.93
"31023967700","tract",2020,97.24,82.76,104.38,78.3,"economic_score",92.38
"31023967800","tract",2020,85.49,77.86,98,77.37,"economic_score",99.12
"31025965600","tract",2020,86.82,85.71,119.23,87.46,"economic_score",99.2
"31025965700","tract",2020,81.29,90.05,100.11,81.99,"economic_score",111.33
"31025965800","tract",2020,80.62,90.03,99.75,80.02,"economic_score",114.1
"31025965900","tract",2020,82.45,90.46,89.84,87.73,"economic_score",107.24
"31025966000","tract",2020,85.12,93.47,101.02,81.33,"economic_score",108.36
"31025966100","tract",2020,101.01,92.49,92.31,87.71,"economic_score",97.15
"31027977100","tract",2020,86.92,79.82,103.44,116.57,"economic_score",99.98
"31027977200","tract",2020,87.4,78.51,99.59,120.31,"economic_score",98.96
"31029961900","tract",2020,96.34,83.85,103.06,114.49,"economic_score",95.15
"31031955800","tract",2020,106.08,82.35,108.04,101.22,"economic_score",86.19
"31031955900","tract",2020,92.56,77.01,119.31,111.43,"economic_score",90.24
"31033954800","tract",2020,97.51,82.6,105.24,110.19,"economic_score",91.87
"31033954900","tract",2020,99.59,86.77,92.3,105.75,"economic_score",96.66
"31033955000","tract",2020,104.49,89.39,94.63,108.4,"economic_score",95.97
"31035962100","tract",2020,97.4,80.09,110.76,112.62,"economic_score",91.93
"31035962200","tract",2020,99.77,79.29,114.19,110.52,"economic_score",89.87
"31037964600","tract",2020,94.68,76.94,108.91,97.52,"economic_score",94.56
"31037964700","tract",2020,101.34,76.21,96.15,100.25,"economic_score",91.5
"31037964800","tract",2020,104.24,76.5,98.59,102.92,"economic_score",84.75
"31039972700","tract",2020,87.99,80.62,95.67,122.18,"economic_score",100.49
"31039972800","tract",2020,91.09,80.09,95.19,127.06,"economic_score",96.03
"31039972900","tract",2020,90.78,77.79,112.54,126.19,"economic_score",93.35
"31041971700","tract",2020,98.65,78.63,110.39,107.47,"economic_score",90.25
"31041971800","tract",2020,96.18,78.69,101.28,109.72,"economic_score",93.79
"31041971900","tract",2020,104.43,85.91,98.56,110.5,"economic_score",92.66
"31041972000","tract",2020,97.16,79.73,111.72,108.8,"economic_score",90.26
"31043010101","tract",2020,108.2,82.12,89.04,118.87,"economic_score",83.05
"31043010102","tract",2020,99.83,77.7,122.14,118.21,"economic_score",80.81
"31043010200","tract",2020,95.13,84.52,102.04,104.15,"economic_score",99.89
"31043010300","tract",2020,110.81,87.14,99.44,110.55,"economic_score",88.27
"31043010400","tract",2020,99.64,80.6,118.81,106.41,"economic_score",94.61
"31045950600","tract",2020,98.9,78.98,116.57,84.21,"economic_score",90.17
"31045950700","tract",2020,101.11,86.59,98.34,85.8,"economic_score",91.94
"31047968000","tract",2020,96.27,79.06,97.97,89.49,"economic_score",93.06
"31047968100","tract",2020,99.09,83.91,104.55,92.79,"economic_score",93.76
"31047968200","tract",2020,97,82.36,91.62,96.34,"economic_score",94.21
"31047968300","tract",2020,88.7,82.9,102.84,100.01,"economic_score",93.4
"31047968400","tract",2020,111.43,85.14,92.81,90.12,"economic_score",86.68
"31047968500","tract",2020,96.97,77.92,91.57,92.89,"economic_score",90.7
"31047968600","tract",2020,85.87,81.53,118.06,92.18,"economic_score",97.86
"31049955400","tract",2020,108.92,82.99,117.1,120.26,"economic_score",85.54
"31051977600","tract",2020,90.19,78.06,110.4,105.26,"economic_score",93.92
"31051977800","tract",2020,96.55,81.33,102.64,97.89,"economic_score",90.9
"31053963600","tract",2020,96.5,80.51,104.82,81.06,"economic_score",92.33
"31053963700","tract",2020,90.48,80.86,104.63,84.48,"economic_score",97.53
"31053963800","tract",2020,107.52,82.82,114.43,89.33,"economic_score",83.94
"31053963900","tract",2020,102.76,83.21,106.97,83.94,"economic_score",90.81
"31053964000","tract",2020,103.59,84.93,94.65,82.18,"economic_score",90.92
"31053964100","tract",2020,91.15,86.3,100.68,78.95,"economic_score",102.36
"31053964200","tract",2020,108.51,85,91.99,87.57,"economic_score",85.36
"31053964300","tract",2020,104.91,90.5,104.59,83.34,"economic_score",96.87
"31053964400","tract",2020,104.68,78.32,108.45,91.33,"economic_score",84.13
"31055000200","tract",2020,109.78,90.84,97.61,104.86,"economic_score",90.56
"31055000300","tract",2020,123.54,88.64,92.63,112.92,"economic_score",68.15
"31055000400","tract",2020,137.91,84.58,92.91,124.04,"economic_score",58.84
"31055000500","tract",2020,NA,NA,NA,NA,"economic_score",NA
"31055000600","tract",2020,129.78,83.69,85.96,117.33,"economic_score",64.01
"31055000700","tract",2020,141.83,87.03,101.56,113.35,"economic_score",61.32
"31055000800","tract",2020,114.75,82.86,112.23,105.13,"economic_score",78.28
"31055001100","tract",2020,124.75,97.24,80.49,114.38,"economic_score",76.85
"31055001200","tract",2020,130.04,93.23,96.01,113.91,"economic_score",75.31
"31055001600","tract",2020,NA,NA,NA,NA,"economic_score",NA
"31055001800","tract",2020,84.08,98.75,51.48,96.24,"economic_score",124.48
"31055001900","tract",2020,104.66,84.67,66.45,107.52,"economic_score",91.08
"31055002000","tract",2020,108.83,75.12,107.56,121.81,"economic_score",70.99
"31055002100","tract",2020,133.18,89.11,88.61,108.14,"economic_score",74.3
"31055002200","tract",2020,100.71,78.09,81.34,100.68,"economic_score",96.88
"31055002300","tract",2020,112.91,89.17,91.51,108.8,"economic_score",83.25
"31055002400","tract",2020,119.04,88.82,94.59,117.05,"economic_score",72.64
"31055002500","tract",2020,113.66,84.32,95.35,115.34,"economic_score",76.42
"31055002600","tract",2020,109.57,88.96,91.76,105.1,"economic_score",85.55
"31055002700","tract",2020,110.73,86.2,88.87,106.86,"economic_score",82.39
"31055002800","tract",2020,98.86,86.13,108.8,100.25,"economic_score",91.75
"31055002900","tract",2020,121.65,97.85,72.06,118.41,"economic_score",80.02
"31055003000","tract",2020,105.9,90.68,103.84,117.66,"economic_score",82.82
"31055003100","tract",2020,105.36,90.76,84.31,105.29,"economic_score",87.95
"31055003200","tract",2020,108.69,85.92,91.81,115.16,"economic_score",78.13
"31055003300","tract",2020,118.9,91.58,85.13,116.49,"economic_score",75.95
"31055003401","tract",2020,108.87,94.31,84.44,104.08,"economic_score",90.04
"31055003402","tract",2020,90.9,89.29,75.01,102.21,"economic_score",101.61
"31055003500","tract",2020,96.05,89.58,89.75,92,"economic_score",102.42
"31055003600","tract",2020,88.73,92.35,81.58,93.15,"economic_score",112.08
"31055003700","tract",2020,86.9,87.24,87.71,98.69,"economic_score",111.64
