"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"44001030100","tract",2020,69.42,116.76,83.4,93.39,"economic_score",127.49
"44001030200","tract",2020,68.52,115.65,84.03,87.63,"economic_score",130.83
"44001030300","tract",2020,64.9,109.57,87.06,90.49,"economic_score",133.42
"44001030400","tract",2020,37.99,123.27,83.54,93.9,"economic_score",147.81
"44001030500","tract",2020,100.25,103.82,100.57,93.94,"economic_score",101.13
"44001030601","tract",2020,69.27,105.05,93.31,91.26,"economic_score",118.61
"44001030602","tract",2020,89.96,102.91,107.34,93.63,"economic_score",108.59
"44001030700","tract",2020,92.76,103.77,92.24,97.36,"economic_score",111.27
"44001030800","tract",2020,NA,NA,NA,NA,"economic_score",NA
"44001030901","tract",2020,77.24,107.19,107.53,89.16,"economic_score",116.35
"44001030902","tract",2020,74.75,108.43,107.41,92.41,"economic_score",121.11
"44003020101","tract",2020,83.06,101.26,105.27,75.9,"economic_score",109.66
"44003020102","tract",2020,86.51,107.49,100.89,78.94,"economic_score",106.75
"44003020200","tract",2020,94.47,106.74,83.45,77.18,"economic_score",106.89
"44003020300","tract",2020,113.15,112.11,95.44,76.91,"economic_score",101
"44003020400","tract",2020,86.62,105.75,95.11,81.35,"economic_score",106.56
"44003020500","tract",2020,92.39,109.08,100.92,78.14,"economic_score",106.7
"44003020601","tract",2020,81.1,106.49,85.79,74.06,"economic_score",116.96
"44003020602","tract",2020,87.31,102.59,106.7,81.01,"economic_score",105.9
"44003020603","tract",2020,95.36,108.81,101.11,80.35,"economic_score",105.55
"44003020604","tract",2020,113,105.1,91.03,77.78,"economic_score",101.17
"44003020701","tract",2020,80.37,105.85,124.85,72.14,"economic_score",110.63
"44003020702","tract",2020,76.9,109.77,110.45,74.02,"economic_score",115.57
"44003020703","tract",2020,73.66,107.09,92.95,73.89,"economic_score",124.83
"44003020800","tract",2020,70.89,112.19,96.07,72.29,"economic_score",126.73
"44003020901","tract",2020,76.14,112.65,81.18,80.08,"economic_score",126.26
"44003020903","tract",2020,65.28,123.04,90.66,78.53,"economic_score",136.44
"44003020904","tract",2020,66.74,119.47,94.18,73.83,"economic_score",136.72
"44003021001","tract",2020,82.54,108.63,108.11,75.36,"economic_score",114.91
"44003021002","tract",2020,85.35,107.38,95.23,79.97,"economic_score",115.8
"44003021100","tract",2020,92.64,107.59,89.91,77.85,"economic_score",110.99
"44003021200","tract",2020,81.22,109.22,101.19,83.06,"economic_score",114.32
"44003021300","tract",2020,77.85,108.83,99.42,79.11,"economic_score",113.66
"44003021401","tract",2020,82.18,105.72,100.76,76.17,"economic_score",114.47
"44003021402","tract",2020,85.56,108.67,81.2,73.17,"economic_score",117.61
"44003021501","tract",2020,86.23,102.93,98.81,76.99,"economic_score",113.01
"44003021502","tract",2020,94.57,110.21,98.63,77.35,"economic_score",107.59
"44003021600","tract",2020,56.45,104.82,116.1,81.56,"economic_score",130.93
"44003021700","tract",2020,87.34,98.73,109.67,75.34,"economic_score",105.24
"44003021800","tract",2020,90.84,111.13,107.42,79.59,"economic_score",110.85
"44003021901","tract",2020,84,111.34,95.29,73.62,"economic_score",113.95
"44003021902","tract",2020,78.45,98.81,105.2,78.06,"economic_score",109.42
"44003021903","tract",2020,78.78,105.83,111.83,77.94,"economic_score",116.26
"44003022000","tract",2020,77.12,106.38,91.4,82.55,"economic_score",116.1
"44003022100","tract",2020,83.18,113.48,106.14,75.7,"economic_score",109.37
"44003022201","tract",2020,74.77,113.03,82.7,81.65,"economic_score",123.6
"44003022202","tract",2020,90.52,112.7,108.49,77.2,"economic_score",114.1
"44003022300","tract",2020,105.42,111.37,115.98,82.34,"economic_score",101.3
"44003022400","tract",2020,76.84,109.09,116.55,80.65,"economic_score",114.81
"44003980000","tract",2020,NA,NA,NA,NA,"economic_score",NA
"44005040101","tract",2020,70.59,108.04,113.95,92.4,"economic_score",120.24
"44005040102","tract",2020,66.07,111.67,116.45,95.21,"economic_score",122.68
"44005040104","tract",2020,76.63,111.44,112.37,93.05,"economic_score",118.52
"44005040105","tract",2020,67.7,112.7,124.39,101.03,"economic_score",126.82
"44005040200","tract",2020,89.41,104,63.14,93.88,"economic_score",111.85
"44005040302","tract",2020,84.15,108.88,112.67,95.66,"economic_score",111.21
"44005040303","tract",2020,80.46,111.08,95.53,91.62,"economic_score",118.99
"44005040304","tract",2020,75.14,117.54,101.57,95.45,"economic_score",125.41
"44005040400","tract",2020,73.25,103.16,114.89,92.67,"economic_score",118.93
"44005040500","tract",2020,111.3,109.8,92.71,100.78,"economic_score",98.9
"44005040600","tract",2020,82.74,106.95,93.47,96.6,"economic_score",113.43
"44005040700","tract",2020,70.6,106.84,117.42,98.26,"economic_score",118.35
"44005040800","tract",2020,77.34,105.42,105.69,97.79,"economic_score",117.91
"44005040900","tract",2020,73.11,119.32,112.67,102.57,"economic_score",117.64
