"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"35004","zcta",2020,100.84,89.69,87.2,90.86,"economic_score",100.47
"35005","zcta",2020,87.11,98.76,97.75,105.96,"economic_score",97
"35006","zcta",2020,92.05,98.03,123.51,98.55,"economic_score",86.46
"35007","zcta",2020,111.01,92.97,79.05,103.84,"economic_score",110.26
"35010","zcta",2020,84.7,80.74,116.57,103.66,"economic_score",81.06
"35013","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"35014","zcta",2020,81.32,102.43,116.06,94.3,"economic_score",83.15
"35016","zcta",2020,91.61,86.13,102.88,106.34,"economic_score",91.15
"35019","zcta",2020,83.44,84.05,108.75,106.63,"economic_score",76.02
"35020","zcta",2020,65.58,100.33,106.4,123.57,"economic_score",78.97
"35022","zcta",2020,107.38,98.52,86.65,106.59,"economic_score",107.89
"35023","zcta",2020,90.59,97.21,94.2,106.64,"economic_score",99.44
"35031","zcta",2020,80.48,77.5,106.11,121.41,"economic_score",80.79
"35032","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"35033","zcta",2020,89.92,79.16,118.2,93.69,"economic_score",82.84
"35034","zcta",2020,65.54,88.25,126.34,94.23,"economic_score",62.76
"35035","zcta",2020,108.86,71.01,72.24,104.96,"economic_score",101.47
"35036","zcta",2020,67.4,99.78,93.43,135.89,"economic_score",76.51
"35040","zcta",2020,107.34,97.13,68.93,99.04,"economic_score",112.46
"35042","zcta",2020,89.83,81.14,116.96,108.56,"economic_score",83.58
"35043","zcta",2020,109.96,99.06,77.7,91.78,"economic_score",116.52
"35044","zcta",2020,86.22,83.52,107.89,94.08,"economic_score",83.77
"35045","zcta",2020,85.16,83.13,103.05,120.46,"economic_score",85.21
"35046","zcta",2020,90.15,83.09,111.56,85.67,"economic_score",82.48
"35049","zcta",2020,66.08,84.22,82.18,118.82,"economic_score",81.38
"35051","zcta",2020,95.82,90.19,93.7,116.19,"economic_score",97.97
"35052","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"35053","zcta",2020,99.11,84.41,111.73,124.99,"economic_score",94.54
"35054","zcta",2020,99.02,86.16,99.31,109.43,"economic_score",99.81
"35055","zcta",2020,94.59,86.98,96.19,106.17,"economic_score",93.2
"35057","zcta",2020,97.97,85.98,107,100.78,"economic_score",89.4
"35058","zcta",2020,91.27,86.9,101.79,108.83,"economic_score",89.81
"35060","zcta",2020,101.67,106.53,92.76,104.38,"economic_score",105.49
"35061","zcta",2020,99.02,82.47,115.91,104.75,"economic_score",93.14
"35062","zcta",2020,85.25,91.17,107.71,114.6,"economic_score",94.44
"35063","zcta",2020,82.37,93.99,95.02,121.1,"economic_score",84.21
"35064","zcta",2020,81.3,98.94,95.67,113.56,"economic_score",91
"35068","zcta",2020,96.62,96.81,81.96,107.9,"economic_score",106.37
"35070","zcta",2020,86.46,76.65,129.08,100.57,"economic_score",75.01
"35071","zcta",2020,104.9,99.85,79.85,103.75,"economic_score",112.7
"35072","zcta",2020,80.94,93.27,120.78,88.2,"economic_score",80.32
"35073","zcta",2020,77.74,90.29,101.07,106.3,"economic_score",89.99
"35074","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"35077","zcta",2020,85.22,85.5,113.47,105.05,"economic_score",83.53
"35078","zcta",2020,109.71,87.38,85.91,106.66,"economic_score",107.02
"35079","zcta",2020,90.32,90.95,97.77,98.31,"economic_score",93.99
"35080","zcta",2020,108.59,102.61,69.67,104.87,"economic_score",118.81
"35082","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"35083","zcta",2020,85.71,90.77,112.34,115.3,"economic_score",81.08
"35085","zcta",2020,86.8,84.24,107.78,108.97,"economic_score",83.16
