"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"06001","zcta",2020,137.64,147.52,76.16,99.34,"economic_score",147.15
"06002","zcta",2020,119.76,143.95,95.36,93.8,"economic_score",129.77
"06010","zcta",2020,112.33,142.71,85.22,93.2,"economic_score",125.22
"06013","zcta",2020,129.62,146.64,74.64,88,"economic_score",140.24
"06016","zcta",2020,109.52,139.74,83.71,87.54,"economic_score",129.74
"06018","zcta",2020,115.83,129.56,93.17,121.85,"economic_score",121.8
"06019","zcta",2020,125.27,147.59,85.63,93.46,"economic_score",135.08
"06020","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"06021","zcta",2020,130.38,121.95,103.07,85.71,"economic_score",128.09
"06022","zcta",2020,141.15,117.66,41.81,50.41,"economic_score",139.53
"06023","zcta",2020,107.13,152.74,106.62,85.57,"economic_score",124.95
"06024","zcta",2020,94.83,135.41,103.42,97.58,"economic_score",113.34
"06026","zcta",2020,126.3,136.42,90.44,83.6,"economic_score",129.35
"06027","zcta",2020,127.59,123.67,88.79,85.23,"economic_score",126.23
"06029","zcta",2020,133.8,122.03,75.32,83.42,"economic_score",132.57
"06031","zcta",2020,127.2,139.16,93.81,129.97,"economic_score",132.58
"06032","zcta",2020,126.98,143.47,83.82,99.87,"economic_score",135.81
"06033","zcta",2020,130.32,144.82,82.43,92.48,"economic_score",140.35
"06035","zcta",2020,127.77,141.55,87.58,91.05,"economic_score",134.89
"06037","zcta",2020,124.79,143.07,90.41,89.42,"economic_score",131.63
"06039","zcta",2020,128,119.48,108.29,123.18,"economic_score",121.69
"06040","zcta",2020,105.76,140.34,82.23,97.15,"economic_score",123.56
"06042","zcta",2020,118.68,139.3,71.79,86.28,"economic_score",132.87
"06043","zcta",2020,134.54,123.09,85,78.95,"economic_score",131.79
"06051","zcta",2020,81.42,147.37,81.65,97.66,"economic_score",110.1
"06052","zcta",2020,108.53,142.27,82.27,96.18,"economic_score",124.33
"06053","zcta",2020,100.43,141.85,82.61,94.91,"economic_score",117.97
"06057","zcta",2020,139.9,127.69,84.46,115.32,"economic_score",139.26
