"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"01001","zcta",2020,111.85,125.95,94.08,84.72,"economic_score",118.84
"01002","zcta",2020,109.88,135.45,86.48,101.53,"economic_score",122.52
"01003","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"01005","zcta",2020,119.9,125.48,82.36,81.04,"economic_score",127.5
"01007","zcta",2020,126.09,131.56,81.45,82.06,"economic_score",132.35
"01008","zcta",2020,111.97,125.4,91.35,78.28,"economic_score",120.63
"01009","zcta",2020,101.27,150.82,54.44,79.78,"economic_score",129.29
"01010","zcta",2020,118.35,136.79,86,96.01,"economic_score",128.13
"01011","zcta",2020,113.28,130.21,91.96,84.15,"economic_score",117.01
"01012","zcta",2020,128.13,129.02,109.38,81.98,"economic_score",118.83
"01013","zcta",2020,84.43,129.09,86.79,91.4,"economic_score",107.85
"01020","zcta",2020,100.04,125.88,96.44,85.3,"economic_score",111.34
"01022","zcta",2020,102.12,137.7,102.05,76.09,"economic_score",115.75
"01026","zcta",2020,111.04,116.37,114.99,89.94,"economic_score",113.02
"01027","zcta",2020,121.18,129.76,90.37,82.41,"economic_score",125.62
"01028","zcta",2020,114.83,131.89,93.24,85.83,"economic_score",124.51
"01029","zcta",2020,104.01,120.61,93.56,92.78,"economic_score",114.91
"01030","zcta",2020,112.6,124.64,86.24,84.1,"economic_score",122.25
"01031","zcta",2020,100.82,123.02,84.3,87.4,"economic_score",111.41
"01032","zcta",2020,128.32,127.22,87.75,77.07,"economic_score",129.55
"01033","zcta",2020,128.67,131.92,90.69,87.81,"economic_score",127.9
"01034","zcta",2020,114.92,125.34,84.43,80.37,"economic_score",123.52
"01035","zcta",2020,132.98,131.79,93.47,95.58,"economic_score",131.66
"01036","zcta",2020,119.54,126.52,106.41,75.24,"economic_score",120.07
"01037","zcta",2020,123.27,118.07,105.94,76.31,"economic_score",118.01
"01038","zcta",2020,127.13,121.13,97.55,82.58,"economic_score",124.17
"01039","zcta",2020,130.99,123.78,84.63,81.54,"economic_score",130.7
"01040","zcta",2020,73.71,127.51,82.65,95.89,"economic_score",104.6
"01050","zcta",2020,107.81,122.14,94.48,79.14,"economic_score",115.15
"01053","zcta",2020,114.21,153.46,88.88,91.13,"economic_score",130.62
"01054","zcta",2020,119.61,133.25,109.56,91.34,"economic_score",122.26
"01056","zcta",2020,108.24,125.29,97.71,83.73,"economic_score",115.12
"01057","zcta",2020,116.04,125.93,95.82,86.35,"economic_score",120.83
"01060","zcta",2020,115.28,130.87,76.64,91.85,"economic_score",127.92
"01062","zcta",2020,123.77,131.25,92.42,89.76,"economic_score",127.96
"01063","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"01066","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"01068","zcta",2020,122.19,125.85,85.65,80.39,"economic_score",126.52
"01069","zcta",2020,117.69,125.07,97.46,84.98,"economic_score",119.95
"01070","zcta",2020,112.41,130.1,107.1,88.29,"economic_score",119.59
"01071","zcta",2020,112.76,126.29,94.02,74.92,"economic_score",118.8
"01072","zcta",2020,115.97,132.53,94.55,79.64,"economic_score",126.64
"01073","zcta",2020,128.58,126.5,101.59,85.6,"economic_score",124.6
