"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"55001","zcta",2020,148.58,113.96,92.59,86.32,"economic_score",134.78
"55003","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"55005","zcta",2020,125.57,115.67,69.85,71.87,"economic_score",125.82
"55006","zcta",2020,101.81,113.09,96.57,85.03,"economic_score",103
"55007","zcta",2020,102.31,109.2,94.91,85.43,"economic_score",103.52
"55008","zcta",2020,113.91,115.72,89.97,82.72,"economic_score",115.33
"55009","zcta",2020,121.79,111.06,84.45,82.17,"economic_score",118.89
"55011","zcta",2020,126.69,116.86,76.16,68.06,"economic_score",126.13
"55012","zcta",2020,119.68,110.32,101.77,71.66,"economic_score",114.3
"55013","zcta",2020,128.11,121.52,85.22,73.93,"economic_score",126.79
"55014","zcta",2020,123.46,118.07,75.86,75.27,"economic_score",124.6
"55016","zcta",2020,134.7,117.55,73.18,72.24,"economic_score",132.4
"55017","zcta",2020,111.96,120.26,92.68,79.35,"economic_score",111.41
"55018","zcta",2020,124.86,120.8,96.8,81.8,"economic_score",117.83
"55019","zcta",2020,123.97,115.14,75.28,79.09,"economic_score",125.76
"55020","zcta",2020,141.4,126.87,63.46,79.38,"economic_score",142.95
"55021","zcta",2020,108.44,109.17,92.22,90.14,"economic_score",107.71
"55024","zcta",2020,128.47,124.35,64.3,77.08,"economic_score",131.76
"55025","zcta",2020,134.5,118.14,78.51,81.56,"economic_score",128.65
"55026","zcta",2020,133.87,103.47,99.49,88.31,"economic_score",117.09
"55027","zcta",2020,118.12,114.29,77.39,94.99,"economic_score",118.65
"55029","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"55030","zcta",2020,113.98,100.73,99.02,79.81,"economic_score",104.66
"55031","zcta",2020,130.14,115.41,79.75,78.74,"economic_score",125.21
"55032","zcta",2020,126.64,119.13,78.71,71.41,"economic_score",125.02
"55033","zcta",2020,123.6,110.81,90.36,80.84,"economic_score",118.59
"55036","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"55037","zcta",2020,99.25,104.47,104.67,91.09,"economic_score",98.04
"55038","zcta",2020,123.4,122.65,73.48,86.93,"economic_score",130.04
"55040","zcta",2020,115.79,113.2,86.08,80.54,"economic_score",116.87
"55041","zcta",2020,121.78,107.71,99.79,98.55,"economic_score",113.53
"55042","zcta",2020,148.6,125.73,71.98,85.47,"economic_score",141.32
"55043","zcta",2020,136.98,115.27,85.26,83,"economic_score",130.07
"55044","zcta",2020,132.53,126.68,63.62,81.04,"economic_score",137.19
"55045","zcta",2020,125.79,116.85,81.38,72.27,"economic_score",127.11
"55046","zcta",2020,119.08,126.09,69.27,72.05,"economic_score",126.51
"55047","zcta",2020,149.3,119.12,97.58,91.44,"economic_score",131.43
"55049","zcta",2020,111.22,107.32,77.91,81.69,"economic_score",112.71
"55051","zcta",2020,101.91,107.24,99.86,88.48,"economic_score",104.5
"55052","zcta",2020,116.1,101.42,97.07,83.71,"economic_score",107.67
"55053","zcta",2020,122.59,119.96,78.01,76.52,"economic_score",121.77
"55054","zcta",2020,141.28,117.25,50.42,64.93,"economic_score",142.25
"55055","zcta",2020,123.95,125.02,87.83,86.11,"economic_score",123.65
"55056","zcta",2020,120.4,119.23,83.77,78.1,"economic_score",121.51
"55057","zcta",2020,123.77,118.43,81.57,89,"economic_score",123.08
"55060","zcta",2020,114.75,106.61,86.07,87.19,"economic_score",112.86
"55063","zcta",2020,104.39,115.09,95.11,85.17,"economic_score",107.09
"55065","zcta",2020,126.98,114.73,72.23,74.35,"economic_score",126.61
"55066","zcta",2020,115.67,110.68,90.53,86.35,"economic_score",112.3
"55068","zcta",2020,133.05,117.45,69,79.05,"economic_score",132.09
"55069","zcta",2020,114.05,118.24,88.76,83.27,"economic_score",113.74
"55070","zcta",2020,121.02,121.1,69.73,75.52,"economic_score",124.65
"55071","zcta",2020,129.53,112.16,78.4,77.07,"economic_score",124.32
"55072","zcta",2020,96.04,105.09,105.65,94.41,"economic_score",97.16
"55073","zcta",2020,138.3,130.07,84.83,79.14,"economic_score",134.41
"55074","zcta",2020,125.2,113.06,82.09,72.75,"economic_score",121.63
"55075","zcta",2020,114.41,120.86,76.93,83.46,"economic_score",118.89
"55076","zcta",2020,120.88,118.15,87.2,84.18,"economic_score",120.13
"55077","zcta",2020,131.23,120.71,70.17,95.86,"economic_score",130.82
"55079","zcta",2020,125.26,112.56,86.38,75.25,"economic_score",119.41
"55080","zcta",2020,119.37,118.98,94.5,82.84,"economic_score",119
"55082","zcta",2020,139.59,118.95,80.22,84.94,"economic_score",133.43
"55084","zcta",2020,122.23,119.83,89.23,78.93,"economic_score",118.65
"55085","zcta",2020,123.85,107.06,93.03,76.45,"economic_score",114.68
"55087","zcta",2020,126.7,83.86,79.75,71.69,"economic_score",112.95
"55088","zcta",2020,137.97,120.39,80.73,88.21,"economic_score",132.42
"55089","zcta",2020,122.89,111.99,88.16,91.74,"economic_score",116.22
"55090","zcta",2020,125.26,97.8,110.38,81.35,"economic_score",106.01
"55092","zcta",2020,124.06,114.79,87.24,76.47,"economic_score",120.65
"55101","zcta",2020,117.1,126.8,59.62,98.01,"economic_score",132.57
