"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"38601","zcta",2020,86.44,91.14,112.09,107.3,"economic_score",85.07
"38603","zcta",2020,89.34,77.93,118.97,119.3,"economic_score",85.46
"38606","zcta",2020,75.45,86.01,103.66,115.47,"economic_score",84.17
"38610","zcta",2020,78.76,76.54,123.3,123.79,"economic_score",79.88
"38611","zcta",2020,84.1,90.37,105.99,109.72,"economic_score",83.95
"38614","zcta",2020,55.48,84.13,110.85,106.6,"economic_score",68.94
"38617","zcta",2020,48.44,86.46,113.56,123.28,"economic_score",62.12
"38618","zcta",2020,86.32,97.82,98.53,99.47,"economic_score",89.48
"38619","zcta",2020,71.58,82.56,116.65,113.82,"economic_score",72.71
"38620","zcta",2020,69.28,94.44,115.91,112.09,"economic_score",76.34
"38621","zcta",2020,61.88,84.09,116.56,121.17,"economic_score",59.64
"38622","zcta",2020,45.13,94.65,119.15,123.95,"economic_score",57.18
"38623","zcta",2020,36.74,80.26,158.1,120.18,"economic_score",42.48
"38625","zcta",2020,98.5,79.65,110.41,97.57,"economic_score",88.23
"38626","zcta",2020,87,92.93,109.13,106.4,"economic_score",83.19
"38627","zcta",2020,89.67,107.75,105.1,111.62,"economic_score",93.51
"38629","zcta",2020,79.44,73.04,111.76,114.16,"economic_score",81.52
"38631","zcta",2020,48.13,94.52,107.39,123.22,"economic_score",59.51
"38632","zcta",2020,104.95,97.5,90.08,96.62,"economic_score",104.52
"38633","zcta",2020,72.64,84.13,101.03,104.7,"economic_score",80.21
"38635","zcta",2020,76.21,94.36,98.2,110,"economic_score",82.45
"38637","zcta",2020,88.81,96.89,77.56,92.6,"economic_score",97.31
"38639","zcta",2020,38.62,78.14,109.92,129.17,"economic_score",52.47
"38641","zcta",2020,100.11,86.38,97.42,95.58,"economic_score",93.52
"38642","zcta",2020,64.83,78.55,129.96,103.78,"economic_score",67.03
"38643","zcta",2020,39,80.28,139.39,128.81,"economic_score",51.19
"38644","zcta",2020,89.4,71.71,115.08,150.96,"economic_score",69.81
"38645","zcta",2020,71.37,77.69,106.28,110.59,"economic_score",72.28
"38646","zcta",2020,65.2,82.77,105.24,115.44,"economic_score",70.33
"38647","zcta",2020,37.8,98.2,109,130.48,"economic_score",49.12
"38650","zcta",2020,81.53,73.89,114.4,106.72,"economic_score",77.46
"38651","zcta",2020,108.47,102.09,80.48,92.03,"economic_score",109.06
"38652","zcta",2020,88.76,81.71,101.04,102.05,"economic_score",86.69
"38654","zcta",2020,103.15,94.99,90.04,93.8,"economic_score",103.8
"38655","zcta",2020,98.49,93.96,79.88,114.57,"economic_score",102.36
"38658","zcta",2020,66.46,98.89,118.43,87.25,"economic_score",76.94
"38659","zcta",2020,79.89,88.47,127.06,108.64,"economic_score",73.57
"38661","zcta",2020,76.85,102.77,120.45,95.78,"economic_score",83.75
"38663","zcta",2020,72.64,87.43,115.08,108.14,"economic_score",75.1
"38664","zcta",2020,76.13,85.09,86.76,85.66,"economic_score",83.94
"38665","zcta",2020,97.16,89.97,112.85,95.64,"economic_score",91.36
"38666","zcta",2020,69.89,87.92,114.17,137.85,"economic_score",75.32
"38668","zcta",2020,93.96,98.69,88.83,98.4,"economic_score",97.77
"38670","zcta",2020,59.92,88.96,116.87,112.64,"economic_score",65.64
"38671","zcta",2020,96.3,96.4,77.77,93.02,"economic_score",100.71
"38672","zcta",2020,111.65,97.1,80.91,80.1,"economic_score",113.82
"38673","zcta",2020,118.45,85.37,90.79,79.48,"economic_score",112.91
"38674","zcta",2020,66.83,73.37,107.5,134.36,"economic_score",67.4
"38676","zcta",2020,60.5,95.75,109.45,103.07,"economic_score",70.18
"38677","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"38680","zcta",2020,99.51,97.01,77.43,93.9,"economic_score",101.51
"38683","zcta",2020,71.11,81.64,126.51,106.52,"economic_score",70.02
"38685","zcta",2020,104.2,84.19,122.83,108.98,"economic_score",95.37
"38701","zcta",2020,61.79,94.07,101.53,123.48,"economic_score",75.92
"38703","zcta",2020,59.53,86.42,116.97,104.34,"economic_score",67.65
"38720","zcta",2020,64.23,89.67,126.01,115.15,"economic_score",63.44
"38721","zcta",2020,74.35,88.08,126.21,104.05,"economic_score",73.97
"38722","zcta",2020,52.34,95.65,141.93,118.76,"economic_score",55.28
"38723","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"38725","zcta",2020,70.84,88.64,93.36,96.53,"economic_score",80.64
"38726","zcta",2020,56.91,94.8,114.29,107.83,"economic_score",65.07
"38730","zcta",2020,80.1,86.9,95.49,99.12,"economic_score",83.44
"38731","zcta",2020,92.76,80.07,102.54,141.59,"economic_score",74.25
"38732","zcta",2020,66.63,86.96,98.67,111.48,"economic_score",77.41
"38736","zcta",2020,47.8,84.55,97.52,89.22,"economic_score",75.15
"38737","zcta",2020,42.77,87.57,102.69,113.01,"economic_score",66.28
"38738","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"38740","zcta",2020,61.31,98.58,101.2,121.65,"economic_score",81.48
"38744","zcta",2020,71.14,107,114.88,128.82,"economic_score",86.2
"38745","zcta",2020,66.88,129.71,153.55,118.35,"economic_score",75.99
"38746","zcta",2020,43.89,83.07,120.36,112.8,"economic_score",58.36
"38748","zcta",2020,68.5,95.18,103.72,121.93,"economic_score",76.94
"38751","zcta",2020,69.58,89.99,107.08,118.28,"economic_score",80.35
"38753","zcta",2020,81.89,86.06,114.03,115.1,"economic_score",82.69
"38754","zcta",2020,80.47,82.97,129.1,149.83,"economic_score",77
"38756","zcta",2020,82.31,80.68,108.52,121.07,"economic_score",79.88
"38759","zcta",2020,91.29,92.93,94.26,124.27,"economic_score",94.75
"38760","zcta",2020,72.11,98.04,100.89,113.56,"economic_score",79.28
"38761","zcta",2020,48.52,93.1,105.98,144.46,"economic_score",69.5
"38762","zcta",2020,47.24,83.66,105.3,116.3,"economic_score",67.56
"38764","zcta",2020,79.64,90.6,132.7,89.86,"economic_score",71.98
"38765","zcta",2020,78.23,82.13,124.48,176.85,"economic_score",37.56
"38767","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"38768","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"38769","zcta",2020,33.64,91.84,119.06,136.79,"economic_score",47.26
"38771","zcta",2020,70.27,89.33,105.02,121.13,"economic_score",79.98
"38772","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"38773","zcta",2020,61.58,92.13,118.64,102.15,"economic_score",68.72
"38774","zcta",2020,54.96,97.64,99.46,111.42,"economic_score",69.93
"38778","zcta",2020,54.22,78.22,109.55,127.45,"economic_score",64.88
"38781","zcta",2020,34.93,83.44,127.32,131.99,"economic_score",44.62
"38801","zcta",2020,94.58,88.83,88.98,106.57,"economic_score",96.46
"38804","zcta",2020,93.45,91.81,92.23,107.47,"economic_score",93.17
"38821","zcta",2020,88.74,85.96,106.04,97.73,"economic_score",86.36
"38824","zcta",2020,73.72,87.49,110.43,98.44,"economic_score",77.47
"38826","zcta",2020,95.15,90.98,78.37,103.89,"economic_score",99.8
"38827","zcta",2020,85.57,94.03,92.36,105.46,"economic_score",83.28
"38828","zcta",2020,94.42,80.04,109.72,103.67,"economic_score",86.16
"38829","zcta",2020,73.57,83.19,103.24,98.32,"economic_score",78.4
"38833","zcta",2020,80.32,71.84,107.46,95.37,"economic_score",75.18
"38834","zcta",2020,77.38,82.91,105.11,109.25,"economic_score",80.41
"38838","zcta",2020,65.94,85.97,116.13,97.09,"economic_score",68.84
"38841","zcta",2020,83.08,80.11,94.01,120.58,"economic_score",77.48
"38843","zcta",2020,88.53,84.49,100.53,109.69,"economic_score",88.12
"38844","zcta",2020,93.88,71.47,112.15,99.25,"economic_score",75.32
"38846","zcta",2020,95.37,81.51,108.3,85.99,"economic_score",90.73
"38847","zcta",2020,82.94,70.84,109.53,87.04,"economic_score",77.31
"38848","zcta",2020,92.11,83.26,99.58,78.73,"economic_score",88.56
"38849","zcta",2020,94.83,87.1,90.57,97.6,"economic_score",93.16
"38850","zcta",2020,74.97,83.29,114.21,103.78,"economic_score",72.82
"38851","zcta",2020,76.08,86.53,112.8,109.7,"economic_score",76.5
"38852","zcta",2020,79.06,79.31,121.73,103.9,"economic_score",72.57
"38855","zcta",2020,94.61,79.32,110.07,106.07,"economic_score",86.6
"38856","zcta",2020,97.49,88.29,96.42,98.19,"economic_score",88.57
"38857","zcta",2020,97.3,93.06,75.97,102.81,"economic_score",102.97
"38858","zcta",2020,91.4,76.44,101.61,101.91,"economic_score",85.02
"38859","zcta",2020,78.69,74.25,113.3,86.75,"economic_score",75.52
"38860","zcta",2020,76.98,87.9,107.16,102.12,"economic_score",77.48
"38862","zcta",2020,97.46,75.41,99.74,99.52,"economic_score",87.83
"38863","zcta",2020,85.52,83.6,104.45,93.02,"economic_score",83.58
"38864","zcta",2020,96.66,88.58,100.53,99.69,"economic_score",92.02
"38865","zcta",2020,82.1,82.06,107.53,98.98,"economic_score",80.09
"38866","zcta",2020,100.83,90.53,91.63,101.83,"economic_score",102.51
"38868","zcta",2020,84.18,79.82,102.55,95.73,"economic_score",79.43
"38869","zcta",2020,86.93,81.81,123.24,106.45,"economic_score",76.53
"38870","zcta",2020,93.78,88.53,99.31,86.06,"economic_score",92.96
