"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"79837","zcta",2020,85.36,100.44,107.42,99.71,"economic_score",84.29
"86515","zcta",2020,71.54,71.63,108.65,97.72,"economic_score",65.37
"87001","zcta",2020,77.59,85.67,109.1,124.65,"economic_score",69.7
"87002","zcta",2020,83.25,89.04,126.27,84.34,"economic_score",80.21
"87004","zcta",2020,88.48,87.83,111.67,89.84,"economic_score",83.21
"87005","zcta",2020,75.3,76.19,119.87,120.4,"economic_score",75.05
"87006","zcta",2020,65.54,89.76,138.41,97.58,"economic_score",72.22
"87007","zcta",2020,71.06,75.72,149.79,78.43,"economic_score",59.47
"87008","zcta",2020,114.17,94.99,88.21,81.67,"economic_score",113.09
"87010","zcta",2020,98.83,90.26,116.29,129.63,"economic_score",85.56
"87011","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"87012","zcta",2020,64.87,103.86,135.5,67.48,"economic_score",75.62
"87013","zcta",2020,42.55,77.54,110.59,101.27,"economic_score",57.14
"87014","zcta",2020,91.93,84.52,163.87,100.66,"economic_score",61.22
"87015","zcta",2020,95.26,100.43,112.56,86.13,"economic_score",94.56
"87016","zcta",2020,90.79,87.67,140.87,87.17,"economic_score",79.42
"87017","zcta",2020,98.78,87.32,137.32,68.89,"economic_score",89.59
"87018","zcta",2020,21.59,74.84,92.14,147.72,"economic_score",30.37
"87020","zcta",2020,76.89,90.22,112.49,83.58,"economic_score",80.86
"87021","zcta",2020,80.36,77.46,107.48,78.47,"economic_score",74.46
"87022","zcta",2020,93.27,75.29,119.95,100.17,"economic_score",78
"87023","zcta",2020,71.91,96.28,132.13,72.09,"economic_score",78.72
"87024","zcta",2020,78.17,79.21,122.21,105.23,"economic_score",65.96
"87025","zcta",2020,112.66,99.39,101.88,84.98,"economic_score",108.25
"87026","zcta",2020,69.44,73.33,116.25,111.3,"economic_score",65.22
"87027","zcta",2020,55.25,93.35,103.73,80.52,"economic_score",86.34
"87028","zcta",2020,45.19,75.64,124,85.51,"economic_score",56.25
"87029","zcta",2020,82.4,79.72,120.46,71.71,"economic_score",66.8
"87031","zcta",2020,83.66,92.55,105.82,89.73,"economic_score",88.82
"87032","zcta",2020,19.23,85.59,58.86,62.03,"economic_score",76.13
"87034","zcta",2020,72.3,79.99,127.14,80.65,"economic_score",66.92
"87035","zcta",2020,72.31,95.05,119.03,88.84,"economic_score",77.81
"87036","zcta",2020,92.48,81.34,140.46,80.1,"economic_score",76.91
"87037","zcta",2020,55.53,81.39,121.43,145.09,"economic_score",52.87
"87038","zcta",2020,59.21,72.93,128.59,97.17,"economic_score",55.41
"87040","zcta",2020,33.46,75.84,140.21,95.86,"economic_score",46.29
"87041","zcta",2020,74.69,89.81,101.54,93.47,"economic_score",76.94
"87042","zcta",2020,93.69,94.87,108.61,96.88,"economic_score",95.48
"87043","zcta",2020,119.12,90.66,116.98,74.77,"economic_score",106.47
"87044","zcta",2020,91.14,78.63,116.35,98.85,"economic_score",80.55
"87045","zcta",2020,50.04,71.03,133.41,97.44,"economic_score",50.68
"87046","zcta",2020,32.94,82.83,132.38,95.77,"economic_score",46.18
"87047","zcta",2020,118.54,93.61,112.42,102.88,"economic_score",109.41
"87048","zcta",2020,119.54,101.49,103.14,91.2,"economic_score",113.33
"87049","zcta",2020,80.89,74.75,118.68,91.6,"economic_score",65.9
"87051","zcta",2020,71.65,77.39,172.42,60.17,"economic_score",59.24
"87052","zcta",2020,84.3,71.59,102.78,117.3,"economic_score",64.32
"87053","zcta",2020,72.34,83.1,100.24,107.3,"economic_score",69.29
"87056","zcta",2020,108.42,104.39,102.69,104.27,"economic_score",110.55
"87059","zcta",2020,109.31,100.44,102.31,89.66,"economic_score",107.56
"87061","zcta",2020,94.08,86.01,171.41,69.48,"economic_score",72.17
"87062","zcta",2020,67.34,81.61,118.9,90.08,"economic_score",65.54
"87063","zcta",2020,75.38,84.79,92.54,77.27,"economic_score",82.48
"87064","zcta",2020,66.72,80.71,161.23,54.92,"economic_score",59.44
"87068","zcta",2020,101.26,89.09,119.52,90.68,"economic_score",93.24
"87070","zcta",2020,82.51,86.3,98.36,78.73,"economic_score",87.63
"87072","zcta",2020,90.88,73.01,103.98,122.81,"economic_score",71.34
"87083","zcta",2020,110.98,85.27,129.42,82.19,"economic_score",95.45
"87102","zcta",2020,81.22,95.66,85.79,105.38,"economic_score",91.27
"87104","zcta",2020,98.3,101.69,92.02,100.75,"economic_score",103.55
"87105","zcta",2020,83.59,97.54,106.02,99.42,"economic_score",88.64
"87106","zcta",2020,94.61,94.91,81.01,107.17,"economic_score",100.29
"87107","zcta",2020,96.21,98.08,99.24,109.37,"economic_score",98.16
"87108","zcta",2020,77.93,93.96,91.58,107.9,"economic_score",88.83
"87109","zcta",2020,98.05,94.33,95.23,98.07,"economic_score",100.8
"87110","zcta",2020,97.25,97,92.39,98.55,"economic_score",101.64
"87111","zcta",2020,110.8,97.38,95.8,97.21,"economic_score",108.68
"87112","zcta",2020,100.94,96.28,94.32,94.61,"economic_score",102.69
"87113","zcta",2020,105.9,101.05,79.07,95.54,"economic_score",112
