"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"82001","zcta",2020,109.43,98.89,88.47,89,"economic_score",108.38
"82005","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82007","zcta",2020,98.79,99.29,91.49,97.34,"economic_score",98.35
"82009","zcta",2020,121.17,99.65,98.56,89.5,"economic_score",115.32
"82050","zcta",2020,116.28,99.23,83.18,76.22,"economic_score",112.88
"82051","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82052","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82053","zcta",2020,120.02,92.09,95.36,115.15,"economic_score",108.87
"82054","zcta",2020,99.81,103.52,89.7,98.21,"economic_score",100.51
"82055","zcta",2020,126.05,77.69,134.02,72.74,"economic_score",98.22
"82058","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82059","zcta",2020,90.33,89.17,118.22,92.56,"economic_score",82.09
"82060","zcta",2020,119.91,87.01,90.44,68.98,"economic_score",102.09
"82061","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82070","zcta",2020,110.93,100.85,80.06,86.03,"economic_score",108.98
"82072","zcta",2020,107.61,100.71,83,94.03,"economic_score",105.37
"82073","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82081","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82082","zcta",2020,104.46,99.94,114.31,81.61,"economic_score",97.25
"82083","zcta",2020,116.3,79.33,101.94,98.56,"economic_score",107.4
"82084","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82190","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82201","zcta",2020,102.46,89.23,109.89,104.29,"economic_score",92.99
"82210","zcta",2020,111.88,93.53,145.02,90.16,"economic_score",91.98
"82212","zcta",2020,106.98,86.76,130.04,102.82,"economic_score",93.09
"82213","zcta",2020,77.85,112.72,141.73,106.51,"economic_score",79.39
"82214","zcta",2020,102.98,86.91,117.37,96.61,"economic_score",88.85
"82215","zcta",2020,101.98,110.74,100.05,88.9,"economic_score",102.23
"82217","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82219","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82221","zcta",2020,70.61,88.43,119.66,103.86,"economic_score",76.66
"82222","zcta",2020,114.12,131.13,94.12,58.06,"economic_score",115.15
"82223","zcta",2020,102.28,93.01,114.8,103.76,"economic_score",93.01
"82224","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82225","zcta",2020,87.27,88.07,112.86,101.12,"economic_score",83.12
"82227","zcta",2020,111.5,81.73,140.76,106.16,"economic_score",85.69
"82229","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82240","zcta",2020,96.17,91.43,111.6,105.6,"economic_score",92.25
"82242","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82243","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82244","zcta",2020,98.94,81.36,100.69,97.53,"economic_score",89.57
"82301","zcta",2020,101.75,89.79,85.77,89.48,"economic_score",98.24
"82321","zcta",2020,106.7,79.15,102.39,87.64,"economic_score",85.65
"82322","zcta",2020,92.58,76.02,109.02,95.87,"economic_score",80.23
"82323","zcta",2020,82.7,89.58,128.02,123.01,"economic_score",63.26
"82324","zcta",2020,90.4,78.27,99.94,74.03,"economic_score",85.02
"82325","zcta",2020,103.86,95.9,107.63,113.26,"economic_score",91.98
"82327","zcta",2020,97.82,84.51,90.96,91.88,"economic_score",89.15
"82329","zcta",2020,97.65,93.1,126.07,97.45,"economic_score",83.52
"82331","zcta",2020,110.2,89.21,97.38,96.28,"economic_score",96.99
"82332","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82334","zcta",2020,114.59,83.63,84.83,91.29,"economic_score",102.33
"82335","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82336","zcta",2020,105.08,80.15,108.55,70.88,"economic_score",88.15
"82401","zcta",2020,104.61,91.94,96.63,103.56,"economic_score",101.39
"82410","zcta",2020,96.73,85.53,112.22,123.66,"economic_score",89.23
"82411","zcta",2020,102.38,85.06,87.31,96.13,"economic_score",102.26
"82412","zcta",2020,107.28,81.39,123.89,106.14,"economic_score",94.35
"82414","zcta",2020,111.91,94.52,105.67,127.35,"economic_score",107.04
"82420","zcta",2020,100.83,89.63,96.79,114.82,"economic_score",101.51
"82421","zcta",2020,90.25,83.38,109.83,140.02,"economic_score",86.19
"82422","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82423","zcta",2020,90.32,81.28,125.43,144.02,"economic_score",81.21
"82426","zcta",2020,91.16,96.4,107.78,119.41,"economic_score",93.21
"82428","zcta",2020,98.36,76.59,122.81,125.54,"economic_score",78.84
"82430","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82431","zcta",2020,96.05,88.45,99.78,119.66,"economic_score",95.79
"82432","zcta",2020,89.79,94.85,113.67,110.7,"economic_score",84.87
"82433","zcta",2020,103.22,86.06,124.87,116.41,"economic_score",95.44
"82434","zcta",2020,65.61,84.13,114.78,108.59,"economic_score",84.02
"82435","zcta",2020,105.9,92.18,96.87,124.25,"economic_score",102.07
"82440","zcta",2020,114.42,85.29,86.83,110.82,"economic_score",99.42
"82441","zcta",2020,107.57,85.71,95.56,142.15,"economic_score",96.49
"82442","zcta",2020,98.03,94.3,103.19,94.96,"economic_score",98.31
"82443","zcta",2020,99.16,85.72,108.42,86.84,"economic_score",89.86
"82450","zcta",2020,118.65,76.82,141.74,85.08,"economic_score",93.62
"82501","zcta",2020,92.26,90.85,103.11,110.29,"economic_score",89.25
"82510","zcta",2020,74.39,80.18,114.11,121.79,"economic_score",64.77
"82512","zcta",2020,92.41,88.68,118.81,140.25,"economic_score",78.35
"82513","zcta",2020,96.21,87.6,121.41,118.77,"economic_score",83.88
"82514","zcta",2020,69.95,80.34,111.86,129.42,"economic_score",67.82
"82515","zcta",2020,100.99,92.88,103.45,94.87,"economic_score",93.89
"82516","zcta",2020,93.13,90.87,91.19,121.56,"economic_score",86.63
"82520","zcta",2020,96.41,88.27,107.65,107.81,"economic_score",91.25
"82523","zcta",2020,96.87,89.6,105.15,106.52,"economic_score",94.57
"82601","zcta",2020,105.37,95.12,87.04,107.7,"economic_score",103.27
"82604","zcta",2020,108.4,96.57,91.3,101.14,"economic_score",104.99
"82609","zcta",2020,108.1,94.33,91.34,108.28,"economic_score",105.22
"82620","zcta",2020,102.98,77.44,108.18,111.34,"economic_score",98.73
"82630","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82633","zcta",2020,113.39,90.3,97.89,112.02,"economic_score",105.29
"82635","zcta",2020,57.07,99.72,123.81,131.69,"economic_score",60.02
"82636","zcta",2020,109.41,94.69,83.22,103.9,"economic_score",107.98
"82637","zcta",2020,102.62,91.74,97.7,105.48,"economic_score",101.87
"82638","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82639","zcta",2020,101.56,80.45,104.39,106.4,"economic_score",88.83
"82640","zcta",2020,143.54,85.29,70.23,115.79,"economic_score",103.02
"82642","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82643","zcta",2020,101.84,76.09,105.03,97.33,"economic_score",84.78
"82644","zcta",2020,84.87,84.89,117.81,107.4,"economic_score",81.06
"82646","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82648","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82649","zcta",2020,94.66,84.15,100.76,119.46,"economic_score",84.26
"82701","zcta",2020,104.82,83.42,101.65,100.45,"economic_score",93.61
"82710","zcta",2020,114.4,109.25,114.36,99.56,"economic_score",106.44
"82711","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82712","zcta",2020,91.42,77.42,122.95,77.18,"economic_score",91.82
"82714","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82716","zcta",2020,108.66,98.45,86.15,91.27,"economic_score",104.14
"82718","zcta",2020,109.3,101.02,71.46,89.12,"economic_score",110.57
"82720","zcta",2020,96.06,93.61,110.47,118.12,"economic_score",81.76
"82721","zcta",2020,111.58,92.42,101.16,88.63,"economic_score",101.84
"82723","zcta",2020,85.61,90.94,124.96,87.28,"economic_score",84.29
"82725","zcta",2020,118.42,83.65,107.56,88.67,"economic_score",91.17
"82727","zcta",2020,111.64,104.53,94.73,102.78,"economic_score",105.53
"82729","zcta",2020,107.07,95.33,90.6,103,"economic_score",99.97
"82730","zcta",2020,102.25,97.62,86.93,102.73,"economic_score",100.27
"82731","zcta",2020,119.42,85.29,61.69,55.47,"economic_score",112.91
"82732","zcta",2020,109.24,93.31,68.43,96.23,"economic_score",101.32
"82801","zcta",2020,93.5,96.72,96.68,100.8,"economic_score",94.9
"82831","zcta",2020,111.96,99.46,95.9,115.88,"economic_score",101.75
"82832","zcta",2020,121.34,107.21,90.51,126.11,"economic_score",106.4
"82833","zcta",2020,120,85.29,130.41,79.6,"economic_score",100.48
"82834","zcta",2020,107.52,93.47,104.53,110.38,"economic_score",99.11
"82835","zcta",2020,109.54,100.69,99.26,106.21,"economic_score",98.52
"82836","zcta",2020,120.31,91.22,98.92,101.79,"economic_score",108.87
"82837","zcta",2020,NA,NA,NA,NA,"economic_score",NA
"82838","zcta",2020,114.26,159.68,108.65,77.37,"economic_score",129.57
"82839","zcta",2020,104.59,118.51,87.63,104.43,"economic_score",110.05
"82842","zcta",2020,125.72,94.45,87.27,82.04,"economic_score",113.83
