"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"04001","county",2023,56.49,63.97,116.98,125.3,"economic_score",56.17
"04003","county",2023,91.22,99.92,112.4,95.45,"economic_score",94.52
"04005","county",2023,104.57,105.76,81.49,104.69,"economic_score",106.78
"04007","county",2023,90.2,101.22,138.98,95.62,"economic_score",87.96
"04009","county",2023,88.48,98.96,86.69,81.08,"economic_score",98.31
"04011","county",2023,100.05,59.9,99.4,52.38,"economic_score",92.53
"04012","county",2023,86.56,80.99,147.27,110.27,"economic_score",75.74
"04013","county",2023,114.17,120.42,72.86,116.49,"economic_score",120.45
"04015","county",2023,94.64,106.6,133.53,105.86,"economic_score",92.5
"04017","county",2023,70.56,85.51,103.66,109.05,"economic_score",79.4
"04019","county",2023,104.84,114.69,92.98,103.88,"economic_score",109.44
"04021","county",2023,101.81,114.71,106.24,89.1,"economic_score",106.57
"04023","county",2023,80.9,109.56,103.26,127.14,"economic_score",89.93
"04025","county",2023,108.6,111.41,128.9,103.11,"economic_score",102.73
"04027","county",2023,84.85,105.57,102.73,107.74,"economic_score",92.15
"04001","county",2023,56.49,63.97,116.98,125.3,"economic_rnk",1.5878
"04003","county",2023,91.22,99.92,112.4,95.45,"economic_rnk",38.7298
"04005","county",2023,104.57,105.76,81.49,104.69,"economic_rnk",65.5978
"04007","county",2023,90.2,101.22,138.98,95.62,"economic_rnk",27.1482
"04009","county",2023,88.48,98.96,86.69,81.08,"economic_rnk",47.1669
"04011","county",2023,100.05,59.9,99.4,52.38,"economic_rnk",35.1183
"04012","county",2023,86.56,80.99,147.27,110.27,"economic_rnk",9.7447
"04013","county",2023,114.17,120.42,72.86,116.49,"economic_rnk",86.0834
"04015","county",2023,94.64,106.6,133.53,105.86,"economic_rnk",35.056
"04017","county",2023,70.56,85.51,103.66,109.05,"economic_rnk",13.8543
"04019","county",2023,104.84,114.69,92.98,103.88,"economic_rnk",70.7036
"04021","county",2023,101.81,114.71,106.24,89.1,"economic_rnk",65.3176
"04023","county",2023,80.9,109.56,103.26,127.14,"economic_rnk",30.5729
"04025","county",2023,108.6,111.41,128.9,103.11,"economic_rnk",57.0672
"04027","county",2023,84.85,105.57,102.73,107.74,"economic_rnk",34.3088
"04001","county",2023,56.49,63.97,116.98,125.3,"economic_state_rnk",0
"04003","county",2023,91.22,99.92,112.4,95.45,"economic_state_rnk",57.1429
"04005","county",2023,104.57,105.76,81.49,104.69,"economic_state_rnk",85.7143
"04007","county",2023,90.2,101.22,138.98,95.62,"economic_state_rnk",21.4286
"04009","county",2023,88.48,98.96,86.69,81.08,"economic_state_rnk",64.2857
"04011","county",2023,100.05,59.9,99.4,52.38,"economic_state_rnk",50
"04012","county",2023,86.56,80.99,147.27,110.27,"economic_state_rnk",7.1429
"04013","county",2023,114.17,120.42,72.86,116.49,"economic_state_rnk",100
"04015","county",2023,94.64,106.6,133.53,105.86,"economic_state_rnk",42.8571
"04017","county",2023,70.56,85.51,103.66,109.05,"economic_state_rnk",14.2857
"04019","county",2023,104.84,114.69,92.98,103.88,"economic_state_rnk",92.8571
"04021","county",2023,101.81,114.71,106.24,89.1,"economic_state_rnk",78.5714
"04023","county",2023,80.9,109.56,103.26,127.14,"economic_state_rnk",28.5714
"04025","county",2023,108.6,111.41,128.9,103.11,"economic_state_rnk",71.4286
"04027","county",2023,84.85,105.57,102.73,107.74,"economic_state_rnk",35.7143
