"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"37001","county",2023,102.83,102.52,85.73,96.8,"economic_score",106.63
"37003","county",2023,100.05,77.34,111.75,94.61,"economic_score",91.62
"37005","county",2023,87.49,100.8,123.08,126.87,"economic_score",86.94
"37007","county",2023,75.1,96.21,127.06,107.77,"economic_score",75.3
"37009","county",2023,92.38,92.69,118.64,109.92,"economic_score",88.89
"37011","county",2023,101.77,84.31,124.61,121.08,"economic_score",87.91
"37013","county",2023,91.03,100.12,117.55,102.54,"economic_score",90.48
"37015","county",2023,78.73,110.94,128.94,104.84,"economic_score",86.04
"37017","county",2023,84.32,98.25,117.52,116.63,"economic_score",83.41
"37019","county",2023,113,109.86,127.45,98.07,"economic_score",106.75
"37021","county",2023,113.69,110.77,90.87,118.58,"economic_score",111.33
"37023","county",2023,94.45,89.53,106.76,94.81,"economic_score",93.28
"37025","county",2023,113.33,114.25,58.81,94.7,"economic_score",122.71
"37027","county",2023,94.44,84.94,109.38,92.17,"economic_score",91.2
"37029","county",2023,125.15,117.37,79.07,60.89,"economic_score",131.98
"37031","county",2023,115.3,113.04,108.15,108.88,"economic_score",109.99
"37033","county",2023,88.92,93.94,120.42,87.18,"economic_score",89.91
"37035","county",2023,105.22,92.64,88.47,106.84,"economic_score",103.17
"37037","county",2023,127.37,104.72,88.5,112.44,"economic_score",119.57
"37039","county",2023,92.14,88.73,131.15,103.19,"economic_score",82.3
"37041","county",2023,95.54,115.55,106.43,100.81,"economic_score",102.77
"37043","county",2023,98.93,107.34,119.53,113.4,"economic_score",93.96
"37045","county",2023,90.15,92.4,102.07,102.93,"economic_score",90.77
"37047","county",2023,79.65,98.75,115.29,119.93,"economic_score",82.62
"37049","county",2023,102.75,101.73,101.54,96.66,"economic_score",103.34
"37051","county",2023,88.96,118.28,78.18,103.91,"economic_score",106.39
"37053","county",2023,123.71,114.96,85,85.64,"economic_score",124.5
"37055","county",2023,127.23,121.59,103.02,104.59,"economic_score",120.89
"37057","county",2023,98.01,92.98,97.52,98.09,"economic_score",97.86
"37059","county",2023,108.52,93.17,99.22,92.15,"economic_score",106.82
"37061","county",2023,83.13,93.34,110.27,111.84,"economic_score",84.25
"37063","county",2023,114.93,114.05,56.4,112.12,"economic_score",124.37
"37065","county",2023,76.59,96.45,117.99,106.99,"economic_score",82.15
"37067","county",2023,101.99,105.6,78.04,113.58,"economic_score",109.03
"37069","county",2023,101.11,109.49,85.76,93.1,"economic_score",107.64
"37071","county",2023,99.44,106.5,84.65,105.44,"economic_score",104.86
"37073","county",2023,100.2,96.23,116.34,75.96,"economic_score",96.78
"37075","county",2023,87.14,74.45,133.73,98.02,"economic_score",76.46
"37077","county",2023,99.22,106.55,87.41,94.93,"economic_score",106.87
"37079","county",2023,77.75,89.15,106.73,102.35,"economic_score",84.51
"37081","county",2023,102.79,111.02,73.57,117.58,"economic_score",110.76
"37083","county",2023,69.05,106.02,114.94,121.67,"economic_score",83.77
"37085","county",2023,94.8,111.05,79.74,98.33,"economic_score",107.52
"37087","county",2023,101.33,96.88,113.54,96.9,"economic_score",97.23
"37089","county",2023,110,101.08,107.04,104.26,"economic_score",103.56
"37091","county",2023,74.63,107.64,110.2,106.54,"economic_score",87.6
"37093","county",2023,87.08,111.91,81.54,111.17,"economic_score",99.75
"37095","county",2023,91.7,138.7,107.17,92.27,"economic_score",103.65
"37097","county",2023,117.73,102.81,76.53,107.32,"economic_score",116.37
"37099","county",2023,99.87,83.08,117.74,115.18,"economic_score",86.97
"37101","county",2023,105.83,112.93,70.42,96.04,"economic_score",115.04
"37103","county",2023,81.19,93.82,124.33,92.73,"economic_score",83.98
"37105","county",2023,95.34,102.06,96.93,104.61,"economic_score",100.05
"37107","county",2023,73.83,96.22,113.01,113.66,"economic_score",84.41
"37109","county",2023,115.3,96.42,84.69,99.66,"economic_score",112.04
"37111","county",2023,91.38,79.91,116.17,93.64,"economic_score",87.78
"37113","county",2023,100.47,93.2,120.24,122.62,"economic_score",89.69
"37115","county",2023,103.04,91.52,114.18,109.13,"economic_score",93.44
"37117","county",2023,82.88,98.51,119.88,98.8,"economic_score",88.31
"37119","county",2023,120.39,127.62,49.06,133.42,"economic_score",129.74
"37121","county",2023,98.68,84.37,117.63,99.61,"economic_score",90.37
"37123","county",2023,91.03,82.99,120.93,115.84,"economic_score",84.3
"37125","county",2023,116.31,104.72,95.3,103.42,"economic_score",113.62
"37127","county",2023,93.5,94.37,98.38,103.8,"economic_score",96.38
"37129","county",2023,118.59,122.57,74.47,120.9,"economic_score",122.33
"37131","county",2023,86.37,96.05,129.27,108.95,"economic_score",83.17
"37133","county",2023,96.17,116.9,76.01,92.78,"economic_score",110.91
"37135","county",2023,128.6,115.11,54.11,117.06,"economic_score",131.54
"37137","county",2023,101.12,98.17,137.93,99.36,"economic_score",91.79
"37139","county",2023,97.43,114.22,98.92,90.23,"economic_score",105.2
"37141","county",2023,106.07,116.44,87.98,99.87,"economic_score",112.06
"37143","county",2023,94.26,101.16,134.92,88.24,"economic_score",94.82
"37145","county",2023,97.03,99.1,95.65,100.04,"economic_score",99.26
"37147","county",2023,93.56,107.64,67.5,114,"economic_score",107.93
"37149","county",2023,106.82,97.45,126.79,118.11,"economic_score",94.55
"37151","county",2023,94.84,93.46,98.23,100.49,"economic_score",96.23
