"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"31001","county",2023,109.45,94.58,87.87,96.28,"economic_score",105.78
"31003","county",2023,110.5,79.14,99.69,97.2,"economic_score",98.97
"31005","county",2023,103.84,86.47,112.44,90.43,"economic_score",92.9
"31007","county",2023,102.57,87.24,97.34,98.57,"economic_score",101.19
"31009","county",2023,115.2,71.63,111.35,118.67,"economic_score",92.3
"31011","county",2023,116.35,78.5,95.13,102.72,"economic_score",102.26
"31013","county",2023,105.76,90.25,88.08,72.76,"economic_score",104.44
"31015","county",2023,108.17,87.13,121.47,97.58,"economic_score",89.83
"31017","county",2023,108.62,99.1,108.43,133.82,"economic_score",93.52
"31019","county",2023,118.2,104.88,74.4,90.7,"economic_score",117.49
"31021","county",2023,109.61,94.7,98.87,91.55,"economic_score",101.42
"31023","county",2023,125.82,86.95,85.95,97.41,"economic_score",108.21
"31025","county",2023,128.47,106.69,78.52,73.45,"economic_score",125.9
"31027","county",2023,129.09,80.64,86.41,92.12,"economic_score",111.14
"31029","county",2023,110.11,91.53,94.65,117.52,"economic_score",100.9
"31031","county",2023,103.82,85.34,98.53,92.67,"economic_score",96.83
"31033","county",2023,103.94,104.24,90.25,89.29,"economic_score",104.99
"31035","county",2023,116.53,81.1,102,91.74,"economic_score",101.43
"31037","county",2023,112.38,68.82,94.63,85.28,"economic_score",94.51
"31039","county",2023,121.23,80.88,89.34,100.11,"economic_score",103.7
"31041","county",2023,113.9,88.15,90.87,91.6,"economic_score",105.14
"31043","county",2023,103.94,93.56,92.86,84.91,"economic_score",101.32
"31045","county",2023,101.09,101.9,88.72,77.2,"economic_score",104.15
"31047","county",2023,108.59,90.26,88.51,100.11,"economic_score",101.06
"31049","county",2023,105.94,80.07,119.79,111.61,"economic_score",89.5
"31051","county",2023,117.98,80.07,105.29,108.36,"economic_score",96.87
"31053","county",2023,107.71,93.49,92.2,73.42,"economic_score",106.87
"31055","county",2023,118.15,113.21,58.22,111.37,"economic_score",125.12
"31057","county",2023,107.98,75.06,101,101.92,"economic_score",93.33
"31059","county",2023,127.65,77.3,95.28,101.64,"economic_score",106.06
"31061","county",2023,96.97,76.84,116.07,119.42,"economic_score",84.26
"31063","county",2023,103.16,83.68,97.82,93.34,"economic_score",98.93
"31065","county",2023,100.85,87.54,105.63,88.11,"economic_score",94.77
"31067","county",2023,101.96,90.87,99.58,81.33,"economic_score",100.25
"31069","county",2023,85.75,81.01,131.72,102.38,"economic_score",79.96
"31071","county",2023,112.44,93.83,110.53,91.96,"economic_score",100.29
"31073","county",2023,115.76,80.44,115.1,75.53,"economic_score",101.33
"31075","county",2023,117.97,80.08,83.27,92.19,"economic_score",106.11
"31077","county",2023,104.73,79.08,102.34,91.44,"economic_score",94.4
"31079","county",2023,107.61,99.78,84.41,103.79,"economic_score",105.22
"31081","county",2023,123.11,97.84,73.77,69.69,"economic_score",122.18
"31083","county",2023,111.95,81.89,108.79,110.42,"economic_score",97.33
"31085","county",2023,108.69,77.17,114.26,79.63,"economic_score",96.26
"31087","county",2023,100.57,85.38,106.21,92.81,"economic_score",92.53
"31089","county",2023,107.66,79.78,94.59,101.78,"economic_score",96.85
"31091","county",2023,107.83,72.34,106.2,74.79,"economic_score",90.23
"31093","county",2023,112.71,87.61,93.88,97.9,"economic_score",104.43
"31095","county",2023,96.79,91.94,113.77,71.45,"economic_score",95.95
"31097","county",2023,100.49,86.33,112.2,69.15,"economic_score",95.11
"31099","county",2023,129.59,96.7,88.06,98.8,"economic_score",118.93
"31101","county",2023,107.7,96.64,103.2,81.98,"economic_score",101.62
"31103","county",2023,102.35,80.5,103,89.98,"economic_score",94.97
"31105","county",2023,100.2,98.52,132.89,100.08,"economic_score",87.49
"31107","county",2023,105.9,78.27,105,91.85,"economic_score",93.58
"31109","county",2023,118.75,105.88,64.02,97.12,"economic_score",121.91
"31111","county",2023,106.09,99.14,93.8,83,"economic_score",104.87
"31113","county",2023,114.11,101.29,94.4,91.66,"economic_score",107.64
"31115","county",2023,100.61,81.3,92.53,77.52,"economic_score",97.1
"31117","county",2023,117.74,85.78,96.9,85.41,"economic_score",105.07
"31119","county",2023,115.84,96.24,78.97,107.73,"economic_score",109.86
"31121","county",2023,112.65,99.81,83.19,104.23,"economic_score",109.22
"31123","county",2023,103.53,90.14,113.32,112.26,"economic_score",92.71
"31125","county",2023,114.36,87.77,101.36,87.01,"economic_score",102.03
"31127","county",2023,107.78,85.7,94.46,106.86,"economic_score",98.64
"31129","county",2023,116.77,65.32,117.85,102.18,"economic_score",90.41
"31131","county",2023,121.59,84.5,94.16,79.99,"economic_score",109.99
"31133","county",2023,96.41,89.12,112.06,100.11,"economic_score",90.94
"31135","county",2023,110.21,86.86,98.72,92.29,"economic_score",102.17
"31137","county",2023,113.46,91.77,90.79,109.1,"economic_score",103.01
"31139","county",2023,119.56,88.07,87.07,97.23,"economic_score",107.03
"31141","county",2023,120.04,91.88,83.75,84.5,"economic_score",110.87
"31143","county",2023,118.36,78.43,110.01,71.2,"economic_score",101.57
"31145","county",2023,112.48,91.47,95.66,111.06,"economic_score",102.4
"31147","county",2023,109.34,81.07,105.98,89.92,"economic_score",95.63
"31149","county",2023,112.16,77,89.84,111.19,"economic_score",97.82
"31151","county",2023,108.69,90.37,90.34,78.04,"economic_score",103.2
"31153","county",2023,139.01,113.35,55.5,69.04,"economic_score",140.07
"31155","county",2023,128.61,98.04,77.92,87.68,"economic_score",122.75
"31157","county",2023,101.33,103.52,91.57,96.81,"economic_score",103.14
"31159","county",2023,128.13,95.04,76.94,70.83,"economic_score",120.98
"31161","county",2023,103.96,82.6,101.47,115.87,"economic_score",92.82
"31163","county",2023,102.75,88.24,111.13,78.37,"economic_score",97.99
"31165","county",2023,100.77,87.09,115.2,93.77,"economic_score",93.79
"31167","county",2023,123.15,82.49,84.2,85.39,"economic_score",110.69
"31169","county",2023,106.31,72.71,103.68,82.54,"economic_score",95.05
"31171","county",2023,118.74,56.74,112.03,68.12,"economic_score",95.65
"31173","county",2023,82.64,71.74,92.33,82.43,"economic_score",85.06
"31175","county",2023,104.94,80.97,89.1,101.32,"economic_score",99.83
"31177","county",2023,134.74,108.53,69.67,84.25,"economic_score",130.61
"31179","county",2023,113.06,103.73,78.43,88.74,"economic_score",112.07
"31181","county",2023,114.41,81.15,87.58,92.25,"economic_score",102.29
"31183","county",2023,116.04,77.71,105.14,75.65,"economic_score",99.47
"31185","county",2023,117.05,87.18,85.03,81.89,"economic_score",109.72
"31001","county",2023,109.45,94.58,87.87,96.28,"economic_rnk",63.6675
"31003","county",2023,110.5,79.14,99.69,97.2,"economic_rnk",48.4745
"31005","county",2023,103.84,86.47,112.44,90.43,"economic_rnk",35.7721
"31007","county",2023,102.57,87.24,97.34,98.57,"economic_rnk",53.4558
"31009","county",2023,115.2,71.63,111.35,118.67,"economic_rnk",34.589
"31011","county",2023,116.35,78.5,95.13,102.72,"economic_rnk",55.9776
"31013","county",2023,105.76,90.25,88.08,72.76,"economic_rnk",60.6164
"31015","county",2023,108.17,87.13,121.47,97.58,"economic_rnk",30.3861
"31017","county",2023,108.62,99.1,108.43,133.82,"economic_rnk",36.9863
"31019","county",2023,118.2,104.88,74.4,90.7,"economic_rnk",82.6588
"31021","county",2023,109.61,94.7,98.87,91.55,"economic_rnk",54.0473
"31023","county",2023,125.82,86.95,85.95,97.41,"economic_rnk",68.6488
"31025","county",2023,128.47,106.69,78.52,73.45,"economic_rnk",90.5666
"31027","county",2023,129.09,80.64,86.41,92.12,"economic_rnk",74.066
"31029","county",2023,110.11,91.53,94.65,117.52,"economic_rnk",52.7709
"31031","county",2023,103.82,85.34,98.53,92.67,"economic_rnk",43.68
"31033","county",2023,103.94,104.24,90.25,89.29,"economic_rnk",61.8306
"31035","county",2023,116.53,81.1,102,91.74,"economic_rnk",54.1719
"31037","county",2023,112.38,68.82,94.63,85.28,"economic_rnk",38.6675
"31039","county",2023,121.23,80.88,89.34,100.11,"economic_rnk",59.122
"31041","county",2023,113.9,88.15,90.87,91.6,"economic_rnk",62.1731
"31043","county",2023,103.94,93.56,92.86,84.91,"economic_rnk",53.8294
"31045","county",2023,101.09,101.9,88.72,77.2,"economic_rnk",59.9938
"31047","county",2023,108.59,90.26,88.51,100.11,"economic_rnk",53.2067
"31049","county",2023,105.94,80.07,119.79,111.61,"economic_rnk",29.7323
"31051","county",2023,117.98,80.07,105.29,108.36,"economic_rnk",43.8667
"31053","county",2023,107.71,93.49,92.2,73.42,"economic_rnk",65.8468
"31055","county",2023,118.15,113.21,58.22,111.37,"economic_rnk",90.0374
"31057","county",2023,107.98,75.06,101,101.92,"economic_rnk",36.5504
"31059","county",2023,127.65,77.3,95.28,101.64,"economic_rnk",64.3524
"31061","county",2023,96.97,76.84,116.07,119.42,"economic_rnk",20.797
"31063","county",2023,103.16,83.68,97.82,93.34,"economic_rnk",48.3811
"31065","county",2023,100.85,87.54,105.63,88.11,"economic_rnk",39.1345
"31067","county",2023,101.96,90.87,99.58,81.33,"economic_rnk",51.401
"31069","county",2023,85.75,81.01,131.72,102.38,"economic_rnk",14.7572
"31071","county",2023,112.44,93.83,110.53,91.96,"economic_rnk",51.4944
"31073","county",2023,115.76,80.44,115.1,75.53,"economic_rnk",53.8917
"31075","county",2023,117.97,80.08,83.27,92.19,"economic_rnk",64.5704
"31077","county",2023,104.73,79.08,102.34,91.44,"economic_rnk",38.5118
"31079","county",2023,107.61,99.78,84.41,103.79,"economic_rnk",62.4222
"31081","county",2023,123.11,97.84,73.77,69.69,"economic_rnk",87.9203
"31083","county",2023,111.95,81.89,108.79,110.42,"economic_rnk",44.9875
"31085","county",2023,108.69,77.17,114.26,79.63,"economic_rnk",42.0922
"31087","county",2023,100.57,85.38,106.21,92.81,"economic_rnk",35.1183
"31089","county",2023,107.66,79.78,94.59,101.78,"economic_rnk",43.8045
"31091","county",2023,107.83,72.34,106.2,74.79,"economic_rnk",31.071
"31093","county",2023,112.71,87.61,93.88,97.9,"economic_rnk",60.5853
"31095","county",2023,96.79,91.94,113.77,71.45,"economic_rnk",41.5006
"31097","county",2023,100.49,86.33,112.2,69.15,"economic_rnk",39.6638
"31099","county",2023,129.59,96.7,88.06,98.8,"economic_rnk",84.4956
"31101","county",2023,107.7,96.64,103.2,81.98,"economic_rnk",54.67
"31103","county",2023,102.35,80.5,103,89.98,"economic_rnk",39.5081
"31105","county",2023,100.2,98.52,132.89,100.08,"economic_rnk",26.3387
"31107","county",2023,105.9,78.27,105,91.85,"economic_rnk",37.0486
"31109","county",2023,118.75,105.88,64.02,97.12,"economic_rnk",87.6401
"31111","county",2023,106.09,99.14,93.8,83,"economic_rnk",61.6127
"31113","county",2023,114.11,101.29,94.4,91.66,"economic_rnk",67.6837
"31115","county",2023,100.61,81.3,92.53,77.52,"economic_rnk",44.396
"31117","county",2023,117.74,85.78,96.9,85.41,"economic_rnk",61.9863
"31119","county",2023,115.84,96.24,78.97,107.73,"economic_rnk",71.5131
"31121","county",2023,112.65,99.81,83.19,104.23,"economic_rnk",70.33
"31123","county",2023,103.53,90.14,113.32,112.26,"economic_rnk",35.3985
"31125","county",2023,114.36,87.77,101.36,87.01,"economic_rnk",55.5106
"31127","county",2023,107.78,85.7,94.46,106.86,"economic_rnk",47.7273
"31129","county",2023,116.77,65.32,117.85,102.18,"economic_rnk",31.5068
"31131","county",2023,121.59,84.5,94.16,79.99,"economic_rnk",71.8244
"31133","county",2023,96.41,89.12,112.06,100.11,"economic_rnk",32.2229
"31135","county",2023,110.21,86.86,98.72,92.29,"economic_rnk",55.7908
"31137","county",2023,113.46,91.77,90.79,109.1,"economic_rnk",57.5965
"31139","county",2023,119.56,88.07,87.07,97.23,"economic_rnk",66.0648
"31141","county",2023,120.04,91.88,83.75,84.5,"economic_rnk",73.6301
"31143","county",2023,118.36,78.43,110.01,71.2,"economic_rnk",54.5455
"31145","county",2023,112.48,91.47,95.66,111.06,"economic_rnk",56.1955
"31147","county",2023,109.34,81.07,105.98,89.92,"economic_rnk",40.5666
"31149","county",2023,112.16,77,89.84,111.19,"economic_rnk",45.8281
"31151","county",2023,108.69,90.37,90.34,78.04,"economic_rnk",58.2814
