"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"34001","county",2023,109.54,146.95,94.62,99.6,"economic_score",120.85
"34003","county",2023,139.89,174.03,63.4,119.97,"economic_score",152.86
"34005","county",2023,135.51,145.79,71.11,84.61,"economic_score",143.13
"34007","county",2023,110.72,146.44,72.67,100.53,"economic_score",127.78
"34009","county",2023,128.94,138.68,108.27,93.07,"economic_score",127.37
"34011","county",2023,90.01,139.04,101.03,108.87,"economic_score",105.96
"34013","county",2023,107.94,181.07,61.89,149.1,"economic_score",135.83
"34015","county",2023,128.84,143.94,72.09,75.54,"economic_score",139.14
"34017","county",2023,114.69,167.87,70.42,128.59,"economic_score",134.38
"34019","county",2023,163.82,147.84,65.63,97.79,"economic_score",160.08
"34021","county",2023,121.85,146.15,68.08,118.84,"economic_score",134.32
"34023","county",2023,125.48,159.74,65.44,94.4,"economic_score",141.76
"34025","county",2023,148.29,160.61,70.85,113.89,"economic_score",151.56
"34027","county",2023,158.69,157.64,59.69,104.39,"economic_score",160.26
"34029","county",2023,117.16,152.35,90.62,99.97,"economic_score",127.74
"34031","county",2023,103.2,168.54,75.33,115.12,"economic_score",126.2
"34033","county",2023,104.29,135.91,95.42,78.88,"economic_score",117.85
"34035","county",2023,154.42,151.35,57.14,106.03,"economic_score",156.65
"34037","county",2023,142.18,145.85,73.19,84.68,"economic_score",145.25
"34039","county",2023,122.99,167.04,65.18,128.82,"economic_score",139.43
"34041","county",2023,127.74,138.94,80.51,79.74,"economic_score",134.41
"34001","county",2023,109.54,146.95,94.62,99.6,"economic_rnk",86.457
"34003","county",2023,139.89,174.03,63.4,119.97,"economic_rnk",99.0349
"34005","county",2023,135.51,145.79,71.11,84.61,"economic_rnk",97.3537
"34007","county",2023,110.72,146.44,72.67,100.53,"economic_rnk",91.594
"34009","county",2023,128.94,138.68,108.27,93.07,"economic_rnk",91.4072
"34011","county",2023,90.01,139.04,101.03,108.87,"economic_rnk",64.0411
"34013","county",2023,107.94,181.07,61.89,149.1,"economic_rnk",94.8941
"34015","county",2023,128.84,143.94,72.09,75.54,"economic_rnk",96.1706
"34017","county",2023,114.69,167.87,70.42,128.59,"economic_rnk",94.4583
"34019","county",2023,163.82,147.84,65.63,97.79,"economic_rnk",99.5953
"34021","county",2023,121.85,146.15,68.08,118.84,"economic_rnk",94.396
"34023","county",2023,125.48,159.74,65.44,94.4,"economic_rnk",96.9489
"34025","county",2023,148.29,160.61,70.85,113.89,"economic_rnk",98.8481
"34027","county",2023,158.69,157.64,59.69,104.39,"economic_rnk",99.6264
"34029","county",2023,117.16,152.35,90.62,99.97,"economic_rnk",91.5629
"34031","county",2023,103.2,168.54,75.33,115.12,"economic_rnk",90.6912
"34033","county",2023,104.29,135.91,95.42,78.88,"economic_rnk",83.0012
"34035","county",2023,154.42,151.35,57.14,106.03,"economic_rnk",99.4396
"34037","county",2023,142.18,145.85,73.19,84.68,"economic_rnk",97.9452
"34039","county",2023,122.99,167.04,65.18,128.82,"economic_rnk",96.2951
"34041","county",2023,127.74,138.94,80.51,79.74,"economic_rnk",94.5205
"34001","county",2023,109.54,146.95,94.62,99.6,"economic_state_rnk",10
"34003","county",2023,139.89,174.03,63.4,119.97,"economic_state_rnk",85
"34005","county",2023,135.51,145.79,71.11,84.61,"economic_state_rnk",70
"34007","county",2023,110.72,146.44,72.67,100.53,"economic_state_rnk",30
"34009","county",2023,128.94,138.68,108.27,93.07,"economic_state_rnk",20
"34011","county",2023,90.01,139.04,101.03,108.87,"economic_state_rnk",0
"34013","county",2023,107.94,181.07,61.89,149.1,"economic_state_rnk",50
"34015","county",2023,128.84,143.94,72.09,75.54,"economic_state_rnk",55
"34017","county",2023,114.69,167.87,70.42,128.59,"economic_state_rnk",40
"34019","county",2023,163.82,147.84,65.63,97.79,"economic_state_rnk",95
"34021","county",2023,121.85,146.15,68.08,118.84,"economic_state_rnk",35
"34023","county",2023,125.48,159.74,65.44,94.4,"economic_state_rnk",65
"34025","county",2023,148.29,160.61,70.85,113.89,"economic_state_rnk",80
"34027","county",2023,158.69,157.64,59.69,104.39,"economic_state_rnk",100
"34029","county",2023,117.16,152.35,90.62,99.97,"economic_state_rnk",25
"34031","county",2023,103.2,168.54,75.33,115.12,"economic_state_rnk",15
"34033","county",2023,104.29,135.91,95.42,78.88,"economic_state_rnk",5
"34035","county",2023,154.42,151.35,57.14,106.03,"economic_state_rnk",90
"34037","county",2023,142.18,145.85,73.19,84.68,"economic_state_rnk",75
"34039","county",2023,122.99,167.04,65.18,128.82,"economic_state_rnk",60
"34041","county",2023,127.74,138.94,80.51,79.74,"economic_state_rnk",45
