"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"32001","county",2023,103.02,107.5,98.93,81.4,"economic_score",106.99
"32003","county",2023,104.67,224.94,86.87,136.1,"economic_score",136.9
"32005","county",2023,126.56,127.78,124.91,122.15,"economic_score",120.61
"32007","county",2023,113.3,100.56,77.51,78.31,"economic_score",113.13
"32009","county",2023,95.78,98.54,135.47,104.42,"economic_score",79.9
"32011","county",2023,84.67,87.05,134.08,80.24,"economic_score",76.23
"32013","county",2023,109.58,106.23,86.47,81.13,"economic_score",111.09
"32015","county",2023,103.16,94.43,76.78,78.57,"economic_score",109.61
"32017","county",2023,111.07,86.82,101.39,77.13,"economic_score",102.53
"32019","county",2023,102.6,123.82,104.51,78.75,"economic_score",110.3
"32021","county",2023,84.83,92.45,126.67,71.87,"economic_score",86.31
"32023","county",2023,90.24,106,141.09,95.92,"economic_score",89.29
"32027","county",2023,106.25,91.22,133.88,70.38,"economic_score",93.7
"32029","county",2023,122.41,102.29,125.55,70.31,"economic_score",114.93
"32031","county",2023,120.89,142.91,85.32,115.5,"economic_score",128.21
"32033","county",2023,99.47,72.42,106.03,59.57,"economic_score",95.22
"32510","county",2023,113.13,117.61,105.88,104.12,"economic_score",111.55
"32001","county",2023,103.02,107.5,98.93,81.4,"economic_rnk",66.1582
"32003","county",2023,104.67,224.94,86.87,136.1,"economic_rnk",95.3611
"32005","county",2023,126.56,127.78,124.91,122.15,"economic_rnk",86.2391
"32007","county",2023,113.3,100.56,77.51,78.31,"economic_rnk",77.4907
"32009","county",2023,95.78,98.54,135.47,104.42,"economic_rnk",14.6326
"32011","county",2023,84.67,87.05,134.08,80.24,"economic_rnk",10.3985
"32013","county",2023,109.58,106.23,86.47,81.13,"economic_rnk",74.2217
"32015","county",2023,103.16,94.43,76.78,78.57,"economic_rnk",71.4508
"32017","county",2023,111.07,86.82,101.39,77.13,"economic_rnk",57.0672
"32019","county",2023,102.6,123.82,104.51,78.75,"economic_rnk",72.7584
"32021","county",2023,84.83,92.45,126.67,71.87,"economic_rnk",24.7509
"32023","county",2023,90.24,106,141.09,95.92,"economic_rnk",29.4832
"32027","county",2023,106.25,91.22,133.88,70.38,"economic_rnk",36.924
"32029","county",2023,122.41,102.29,125.55,70.31,"economic_rnk",79.6389
"32031","county",2023,120.89,142.91,85.32,115.5,"economic_rnk",91.9988
"32033","county",2023,99.47,72.42,106.03,59.57,"economic_rnk",39.9751
"32510","county",2023,113.13,117.61,105.88,104.12,"economic_rnk",74.8132
"32001","county",2023,103.02,107.5,98.93,81.4,"economic_state_rnk",43.75
"32003","county",2023,104.67,224.94,86.87,136.1,"economic_state_rnk",100
"32005","county",2023,126.56,127.78,124.91,122.15,"economic_state_rnk",87.5
"32007","county",2023,113.3,100.56,77.51,78.31,"economic_state_rnk",75
"32009","county",2023,95.78,98.54,135.47,104.42,"economic_state_rnk",6.25
"32011","county",2023,84.67,87.05,134.08,80.24,"economic_state_rnk",0
"32013","county",2023,109.58,106.23,86.47,81.13,"economic_state_rnk",62.5
"32015","county",2023,103.16,94.43,76.78,78.57,"economic_state_rnk",50
"32017","county",2023,111.07,86.82,101.39,77.13,"economic_state_rnk",37.5
"32019","county",2023,102.6,123.82,104.51,78.75,"economic_state_rnk",56.25
"32021","county",2023,84.83,92.45,126.67,71.87,"economic_state_rnk",12.5
"32023","county",2023,90.24,106,141.09,95.92,"economic_state_rnk",18.75
"32027","county",2023,106.25,91.22,133.88,70.38,"economic_state_rnk",25
"32029","county",2023,122.41,102.29,125.55,70.31,"economic_state_rnk",81.25
"32031","county",2023,120.89,142.91,85.32,115.5,"economic_state_rnk",93.75
"32033","county",2023,99.47,72.42,106.03,59.57,"economic_state_rnk",31.25
"32510","county",2023,113.13,117.61,105.88,104.12,"economic_state_rnk",68.75
