"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"42001","county",2023,121.37,120.27,100.57,74.4,"economic_score",121.77
"42003","county",2023,123.32,107.85,74.82,99.18,"economic_score",123.27
"42005","county",2023,105.77,93.35,112.07,80.62,"economic_score",101.96
"42007","county",2023,114.38,105.46,97.4,75.35,"economic_score",113.33
"42009","county",2023,106.71,99.42,108.02,84.84,"economic_score",100.64
"42011","county",2023,110.48,119.14,86.35,91.18,"economic_score",116.26
"42013","county",2023,105.72,102.66,96.82,86.12,"economic_score",107.21
"42015","county",2023,103.03,97.62,113.43,88.29,"economic_score",99.8
"42017","county",2023,142.26,130.28,73.94,97.69,"economic_score",141.3
"42019","county",2023,134.17,105.9,80.49,84.37,"economic_score",126.28
"42021","county",2023,103.53,95.92,108.39,81.84,"economic_score",101.19
"42023","county",2023,90.49,98.54,131.51,66.88,"economic_score",87.95
"42025","county",2023,107.01,110.74,109.47,75.86,"economic_score",107.45
"42027","county",2023,121.68,118.34,68.81,90.44,"economic_score",124.43
"42029","county",2023,153.42,129.88,57.89,96.17,"economic_score",150.65
"42031","county",2023,102.68,94.59,99.2,79.29,"economic_score",101.05
"42033","county",2023,99.59,97.92,106.81,83.27,"economic_score",99.25
"42035","county",2023,96.82,106.87,102.65,86.59,"economic_score",101.08
"42037","county",2023,104.04,102.03,97.71,77.53,"economic_score",104.03
"42039","county",2023,95.38,98.39,108.7,84.05,"economic_score",97.86
"42041","county",2023,127.79,112.71,76.71,83.83,"economic_score",128.28
"42043","county",2023,110.79,113.59,79.34,92.89,"economic_score",118.08
"42045","county",2023,119.82,128.85,70.19,112.13,"economic_score",128.63
"42047","county",2023,110.74,89.8,117.89,78.77,"economic_score",100.62
"42049","county",2023,99.66,106.31,93.02,86.95,"economic_score",106.92
"42051","county",2023,92.43,99.11,110.95,87.63,"economic_score",95.78
"42053","county",2023,NA,NA,NA,NA,"economic_score",NA
"42055","county",2023,115.87,111.36,90.56,78.94,"economic_score",117.12
"42057","county",2023,107.37,93.79,111.86,81.1,"economic_score",102.1
"42059","county",2023,102.26,93.09,117.53,82.49,"economic_score",100.08
"42061","county",2023,105.71,96.83,113.01,76.8,"economic_score",103.02
"42063","county",2023,100.42,99.04,103.59,83.9,"economic_score",100.02
"42065","county",2023,99.57,93.78,111.4,86.01,"economic_score",94.34
"42067","county",2023,108.14,94.49,95.08,85.28,"economic_score",103.17
"42069","county",2023,104.94,110.83,91.74,93.87,"economic_score",109.45
"42071","county",2023,122.3,116.71,81.63,93,"economic_score",122.07
"42073","county",2023,101.57,106.82,102.4,81.85,"economic_score",104.32
"42075","county",2023,113.47,110.42,90.98,82.77,"economic_score",114.61
"42077","county",2023,111.74,123.05,80.79,97.92,"economic_score",119.35
