"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"55001","county",2023,101.57,102.43,141.48,74.08,"economic_score",96.73
"55003","county",2023,95.22,99.6,109.93,81.32,"economic_score",98.5
"55005","county",2023,111.19,103.89,105.1,85.85,"economic_score",107.49
"55007","county",2023,114.4,96.66,124.48,92.18,"economic_score",105.76
"55009","county",2023,122.25,103.9,74.56,89.62,"economic_score",123.19
"55011","county",2023,115.83,107.53,99.81,80.12,"economic_score",112.31
"55013","county",2023,102.53,100.49,129.74,93.3,"economic_score",98.13
"55015","county",2023,138.1,105.47,74.29,63.47,"economic_score",131.2
"55017","county",2023,116.56,100.81,91.17,77.17,"economic_score",114.52
"55019","county",2023,101.57,95.13,81.94,116.03,"economic_score",102.41
"55021","county",2023,125.66,108.64,83.63,73.79,"economic_score",124.81
"55023","county",2023,105.83,96.55,115.11,85.92,"economic_score",100.29
"55025","county",2023,135.49,121.5,54.07,87.45,"economic_score",140.1
"55027","county",2023,122.83,106.18,92.98,66.8,"economic_score",119.27
"55029","county",2023,130.47,106.57,115.57,96.18,"economic_score",117.34
"55031","county",2023,114.76,101.72,96.27,69.86,"economic_score",113.06
"55033","county",2023,114.64,106.64,82.82,80.97,"economic_score",115.58
"55035","county",2023,121.44,104.6,78.48,89.94,"economic_score",121.64
"55037","county",2023,112.78,92.55,135.7,76.58,"economic_score",100.07
"55039","county",2023,122.07,101.24,91.66,74.62,"economic_score",117.42
"55041","county",2023,99.01,91.31,130.36,89.21,"economic_score",94.01
"55043","county",2023,107.87,98.08,88.49,81.88,"economic_score",106.79
"55045","county",2023,124.08,106.5,84.49,76.52,"economic_score",122.84
"55047","county",2023,111.04,98.21,106.06,90.1,"economic_score",105.73
"55049","county",2023,122.72,105.77,84.73,81.04,"economic_score",121.17
"55051","county",2023,110.47,97.13,133.61,77.09,"economic_score",99.1
"55053","county",2023,101.25,105.73,108.17,91.69,"economic_score",103.23
"55055","county",2023,126.28,111.65,87.59,72.75,"economic_score",123.51
"55057","county",2023,100.93,104.43,106.35,74.28,"economic_score",103.79
"55059","county",2023,116.65,113.41,76.99,77,"economic_score",121.78
"55061","county",2023,121.21,100.46,100.07,67.25,"economic_score",115.75
"55063","county",2023,122.71,109.35,76.27,87.15,"economic_score",122.68
"55065","county",2023,110.81,104.55,89.77,98.3,"economic_score",108.73
"55067","county",2023,104.65,89.73,118.94,81.56,"economic_score",96.06
"55069","county",2023,113.53,99.65,103.89,73.73,"economic_score",108.36
"55071","county",2023,115.66,92.17,100.28,78.19,"economic_score",110.01
"55073","county",2023,120.21,97.57,84.62,82.44,"economic_score",117.37
"55075","county",2023,109.02,90.91,109.86,73.18,"economic_score",104.31
"55077","county",2023,106.01,104.61,123.84,94.92,"economic_score",104.72
"55078","county",2023,77.48,68.59,139.23,75.2,"economic_score",70.75
"55079","county",2023,95.99,116.62,71.43,106.13,"economic_score",111.87
"55081","county",2023,103.92,98.47,95.04,82.06,"economic_score",106.01
"55083","county",2023,115.61,98.18,102.17,73.55,"economic_score",111.04
"55085","county",2023,117.34,98.09,114.73,87.79,"economic_score",109.23
"55087","county",2023,132.18,101.95,73.51,81.77,"economic_score",126.54
"55089","county",2023,153.92,111.12,72.65,96.28,"economic_score",141.9
"55091","county",2023,118.48,99.43,99.13,101.82,"economic_score",112.46
"55093","county",2023,131.26,116.44,78.23,71.03,"economic_score",129.48
"55095","county",2023,116.83,105.9,98.21,75.32,"economic_score",115.41
"55097","county",2023,123.28,97.04,85.47,75.04,"economic_score",117.89
"55099","county",2023,105.7,96.99,125.58,79.1,"economic_score",98.5
"55101","county",2023,112.6,110.73,85.43,81.38,"economic_score",117.66
"55103","county",2023,104.39,100.54,106.22,90.35,"economic_score",103.15
"55105","county",2023,113.07,106.06,89.82,73.19,"economic_score",115.56
"55107","county",2023,94.85,98.47,118.61,78.24,"economic_score",96.02
"55109","county",2023,143.05,114.2,65.67,74.02,"economic_score",140.08
"55111","county",2023,118.96,108.92,85.76,78.41,"economic_score",119.01
"55113","county",2023,105.89,101.46,117.04,93.18,"economic_score",101.3
"55115","county",2023,112.01,101.2,102.86,86.02,"economic_score",108.11
"55117","county",2023,123.34,99.67,88.19,73.28,"economic_score",118.88
"55119","county",2023,108.38,101.23,102.43,85.3,"economic_score",105.21
"55121","county",2023,114.2,104.68,87.36,79.26,"economic_score",112.94
"55123","county",2023,105.52,98.81,92.92,100.68,"economic_score",104.15
"55125","county",2023,116.54,93.12,123.16,97.65,"economic_score",105.12
"55127","county",2023,126.04,111.57,91.94,96.61,"economic_score",121.97
