"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"06001400100","tract",2023,61.76,139.69,100.48,99.79,"economic_score",150.53
"06001400200","tract",2023,63.67,137.64,86.79,98.51,"economic_score",149.63
"06001400300","tract",2023,71.05,138.85,83.83,105.39,"economic_score",144.14
"06001400400","tract",2023,70,125.99,86.04,106.28,"economic_score",136.95
"06001400500","tract",2023,86.43,136.91,81.53,104.77,"economic_score",130.36
"06001400600","tract",2023,85.31,131.17,78.77,105.85,"economic_score",129.57
"06001400700","tract",2023,93.96,138.1,76.15,102.97,"economic_score",126.52
"06001400800","tract",2023,85.5,141.47,75.26,107.75,"economic_score",128.4
"06001400900","tract",2023,85.85,140.03,67.22,108.2,"economic_score",128.57
"06001401000","tract",2023,93.47,137.07,75.57,101.08,"economic_score",127.45
"06001401100","tract",2023,77.67,136.68,57.66,111.77,"economic_score",132.16
"06001401200","tract",2023,72.93,131.24,68.41,103.43,"economic_score",136.43
"06001401300","tract",2023,84.18,123.01,71.47,104.89,"economic_score",125.11
"06001401400","tract",2023,115.15,137.03,61.84,111.47,"economic_score",108.94
"06001401500","tract",2023,117.17,146.12,65.2,112.96,"economic_score",114.28
"06001401600","tract",2023,93.29,137.33,57.13,102.96,"economic_score",129.27
"06001401700","tract",2023,82.65,140.65,53.29,104.99,"economic_score",135.98
"06001401800","tract",2023,100.96,145.29,65.21,111.29,"economic_score",124.33
"06001402200","tract",2023,100.58,148.16,60.3,107.35,"economic_score",125.16
"06001402400","tract",2023,121.85,128.29,81.91,112.9,"economic_score",101.1
"06001402500","tract",2023,126.07,124.33,81.71,109.69,"economic_score",95.84
"06001402600","tract",2023,125.42,128.98,89.14,115.94,"economic_score",103.37
"06001402700","tract",2023,105.26,137.25,78.96,113.13,"economic_score",117.64
"06001402801","tract",2023,107.23,146.19,66.92,111.15,"economic_score",120.3
"06001402802","tract",2023,131.38,113.25,116.23,119.93,"economic_score",75.22
"06001402900","tract",2023,118.66,130.57,52.95,119.76,"economic_score",111.66
"06001403000","tract",2023,125.31,132.46,91.87,111.06,"economic_score",97.62
"06001403100","tract",2023,77.21,134.75,67.14,103.12,"economic_score",135.92
"06001403301","tract",2023,124.45,143.18,104.51,111.77,"economic_score",90.36
"06001403302","tract",2023,64.22,140.01,59.82,100.32,"economic_score",142.63
"06001403401","tract",2023,92.34,152.3,88.48,105.92,"economic_score",129.06
"06001403402","tract",2023,81.14,135.16,52.58,104.83,"economic_score",132.24
"06001403501","tract",2023,83.6,136.58,66.52,107.03,"economic_score",134.56
"06001403502","tract",2023,85.59,136.03,67.43,103.24,"economic_score",130.95
"06001403600","tract",2023,75.98,155.61,63.41,101.8,"economic_score",143.1
"06001403701","tract",2023,83.39,135.07,83.02,100.38,"economic_score",129.67
"06001403702","tract",2023,72.68,139.92,67.62,98.53,"economic_score",141.03
"06001403800","tract",2023,72.09,129.22,77.03,100.5,"economic_score",138.92
"06001403900","tract",2023,72.67,126.59,72.07,104.03,"economic_score",132.74
"06001404000","tract",2023,79.59,138.5,67.12,104.06,"economic_score",137.46
"06001404101","tract",2023,68.89,130.99,81.15,102.9,"economic_score",136.25
"06001404102","tract",2023,77.82,123.57,96.93,102.66,"economic_score",129.02
"06001404200","tract",2023,58.82,138.12,91.97,100.98,"economic_score",150.87
"06001404300","tract",2023,59.48,143.8,90.06,102.8,"economic_score",153.26
"06001404400","tract",2023,59.42,138.01,91.49,102.54,"economic_score",148.48
"06001404501","tract",2023,58.38,142.99,91.94,100.96,"economic_score",150.42
"06001404502","tract",2023,60.63,143.68,89.77,96.68,"economic_score",152.78
"06001404600","tract",2023,59.12,136.58,97.39,101.2,"economic_score",150.02
