"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"08001007801","tract",2023,126.25,108.19,70.08,111.88,"economic_score",73.86
"08001007802","tract",2023,117.16,97.99,68.57,118.38,"economic_score",81.29
"08001007900","tract",2023,104.86,104.9,74.36,114.55,"economic_score",88.75
"08001008000","tract",2023,93.89,95.81,86.27,96.41,"economic_score",98.86
"08001008100","tract",2023,112.71,96.91,83.03,97.06,"economic_score",84.79
"08001008200","tract",2023,100.26,106.12,84.12,101.25,"economic_score",92.81
"08001008308","tract",2023,116.07,93.16,87.93,107.9,"economic_score",73.08
"08001008309","tract",2023,111.27,93.92,89.35,103.58,"economic_score",74.49
"08001008354","tract",2023,84.16,113.03,72.45,89.6,"economic_score",116.83
"08001008355","tract",2023,96.89,105.42,91.48,96.81,"economic_score",94.46
"08001008401","tract",2023,93.09,103.16,85,93.78,"economic_score",105.02
"08001008402","tract",2023,92.75,112.15,81.29,90.8,"economic_score",109.03
"08001008505","tract",2023,98.01,103.1,97.66,84.33,"economic_score",103.89
"08001008506","tract",2023,103.22,90.97,82.84,103.25,"economic_score",93.29
"08001008507","tract",2023,96.07,96.75,104.32,85.36,"economic_score",102.09
"08001008508","tract",2023,102.46,103.11,87.65,92.21,"economic_score",100.23
"08001008524","tract",2023,87.35,104.15,70.5,84.07,"economic_score",117.54
"08001008526","tract",2023,81.6,101.31,78.56,82,"economic_score",121.39
"08001008533","tract",2023,96.75,110.42,72.52,94.92,"economic_score",103.43
"08001008534","tract",2023,91.57,99.49,79.89,87.57,"economic_score",105.04
"08001008535","tract",2023,97.03,107.84,72.95,84.98,"economic_score",108.47
"08001008536","tract",2023,91.06,104.65,79.46,84.78,"economic_score",115.18
"08001008538","tract",2023,80.52,103.61,64.87,80.97,"economic_score",124.52
"08001008540","tract",2023,87.86,110.12,75.41,82,"economic_score",117.44
"08001008544","tract",2023,85.17,106.69,70.84,83.97,"economic_score",121.81
"08001008545","tract",2023,88.57,104.44,82.04,84.22,"economic_score",118.46
"08001008546","tract",2023,95.19,108.18,64.47,88.49,"economic_score",112.01
"08001008547","tract",2023,79.2,100.67,68.06,89.63,"economic_score",117
"08001008548","tract",2023,90.6,111.07,61.77,84.63,"economic_score",115
"08001008549","tract",2023,87.65,102,66.42,94.22,"economic_score",112.71
"08001008550","tract",2023,90.4,107.32,72.46,85.47,"economic_score",114.53
"08001008551","tract",2023,77.1,102.33,85.37,83.25,"economic_score",125.61
"08001008552","tract",2023,97.91,107.21,79.21,91.65,"economic_score",106.48
"08001008553","tract",2023,84.35,107.88,87.05,84.28,"economic_score",118.46
"08001008554","tract",2023,83.09,100.29,114.44,85.41,"economic_score",112.47
"08001008555","tract",2023,97.33,107.77,76.3,99.16,"economic_score",100.43
"08001008556","tract",2023,80.11,101.65,68.55,82.42,"economic_score",119.3
"08001008557","tract",2023,93.08,100.86,67.62,87.5,"economic_score",111.01
"08001008558","tract",2023,90.1,118.64,67.69,89.56,"economic_score",117.35
"08001008559","tract",2023,95.91,107.36,76.95,85.59,"economic_score",107.75
"08001008560","tract",2023,75.29,114.58,80.38,82.67,"economic_score",130.65
"08001008561","tract",2023,71.45,104.38,112.99,87.3,"economic_score",126.67
"08001008562","tract",2023,83.32,116.91,68.79,87.7,"economic_score",121.38
"08001008563","tract",2023,90.45,106.14,66.96,86.91,"economic_score",111.8
"08001008564","tract",2023,91.24,97.03,113.24,84.6,"economic_score",105.86
"08001008565","tract",2023,100.84,106.2,90.39,96.54,"economic_score",100.59
"08001008603","tract",2023,113.85,104.65,72.87,98.32,"economic_score",89.96
"08001008604","tract",2023,93.66,99.55,86.1,95.33,"economic_score",103.22
"08001008605","tract",2023,88.74,100.11,102.41,95.84,"economic_score",105.73
"08001008606","tract",2023,101.42,97.73,94.14,88.98,"economic_score",99.5
"08001008705","tract",2023,113.82,89.08,91.34,101.53,"economic_score",74.27
"08001008706","tract",2023,105.89,98.04,82.42,97.48,"economic_score",89.83
"08001008709","tract",2023,110.14,83.5,101.62,97.16,"economic_score",82.02
"08001008801","tract",2023,112.43,93.08,90.11,92.92,"economic_score",86.48
"08001008802","tract",2023,99.4,101.71,85.2,98.83,"economic_score",93.21
"08001008901","tract",2023,89.94,80.4,83.28,97.08,"economic_score",98.23
"08001009001","tract",2023,110.88,106.6,95.59,91.15,"economic_score",91.49
"08001009003","tract",2023,96.07,96.27,91.71,98.23,"economic_score",92.51
"08001009004","tract",2023,103,109.13,70.73,97.47,"economic_score",94.75
"08001009101","tract",2023,89.59,100.05,77.8,84.65,"economic_score",110.55
"08001009103","tract",2023,105.92,95.4,95.85,97.7,"economic_score",80.81
"08001009104","tract",2023,89.41,96.96,79.65,97.92,"economic_score",101.77
