"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"10001040100","tract",2023,103.07,109.97,99.71,75.82,"economic_score",102.99
"10001040201","tract",2023,96.64,112.18,81.85,73.78,"economic_score",111.5
"10001040203","tract",2023,100.89,116.13,113.58,79.5,"economic_score",100.75
"10001040204","tract",2023,92.28,108.84,112.37,72.82,"economic_score",109.81
"10001040205","tract",2023,103.45,113.67,98.83,69.63,"economic_score",102.74
"10001040206","tract",2023,87.64,119.89,93.02,73.45,"economic_score",119.5
"10001040501","tract",2023,103.77,112.7,122.67,77.12,"economic_score",96.87
"10001040502","tract",2023,96.36,105.75,128.44,85.06,"economic_score",97.81
"10001040700","tract",2023,102.45,118.88,106.56,72.97,"economic_score",108.95
"10001040900","tract",2023,127.49,109.94,129.48,77.09,"economic_score",86.21
"10001041000","tract",2023,110.31,112.19,100.83,80.48,"economic_score",94.4
"10001041101","tract",2023,98.18,105.09,53.34,68.41,"economic_score",111.19
"10001041200","tract",2023,100.88,105.22,113.81,85.78,"economic_score",95.98
"10001041300","tract",2023,118.54,104.64,105.39,80.29,"economic_score",88.67
"10001041400","tract",2023,107.11,120.1,87.84,88.24,"economic_score",94.03
"10001041500","tract",2023,111.15,113.33,107.61,82.21,"economic_score",96.49
"10001041600","tract",2023,103.4,107.24,136.9,74.73,"economic_score",98.97
"10001041701","tract",2023,95.47,111.72,104.26,76.88,"economic_score",106.39
"10001041702","tract",2023,102.6,103.93,119.49,77.78,"economic_score",102.98
"10001041802","tract",2023,96.67,106.79,101.58,78,"economic_score",106.34
"10001041803","tract",2023,111.62,108.45,123.81,82.12,"economic_score",87.59
"10001041804","tract",2023,99.65,114.07,105.33,81.87,"economic_score",103.99
"10001041900","tract",2023,106.94,105.53,107.3,82.46,"economic_score",91.49
"10001042000","tract",2023,94.22,111.69,109.57,87.04,"economic_score",95.78
"10001042100","tract",2023,100.49,114.24,116.23,84.99,"economic_score",96.05
"10001042203","tract",2023,103.6,113.35,100.29,70.5,"economic_score",111.7
"10001042204","tract",2023,93.19,112.66,99.89,68.03,"economic_score",115.12
"10001042205","tract",2023,114.03,115.16,116.97,80.63,"economic_score",93.92
"10001042206","tract",2023,99.57,111.33,132.6,74.75,"economic_score",107.83
"10001042207","tract",2023,111.41,114.64,105.89,75.02,"economic_score",103.74
