"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"20001952600","tract",2023,106.39,78.73,121.06,77.16,"economic_score",83.01
"20001952700","tract",2023,103.84,80.7,114.08,75.04,"economic_score",88.78
"20001952800","tract",2023,119.96,80.18,115.84,77.06,"economic_score",79.15
"20001952900","tract",2023,110.64,78.24,103.01,75.1,"economic_score",86.03
"20001953000","tract",2023,105.88,79.15,123.97,79.23,"economic_score",83.67
"20003953600","tract",2023,99.11,84.04,115.54,81.84,"economic_score",89.15
"20003953700","tract",2023,103.24,80.48,119.72,83.57,"economic_score",86.15
"20005081600","tract",2023,93.71,79.95,110.3,71.77,"economic_score",92.02
"20005081701","tract",2023,89.95,80.81,94.48,68.13,"economic_score",98.56
"20005081702","tract",2023,NA,NA,NA,NA,"economic_score",NA
"20005081800","tract",2023,106.33,88.18,94.13,74.9,"economic_score",87.88
"20005081900","tract",2023,108.91,78.39,101,73.05,"economic_score",84.93
"20007968100","tract",2023,106.06,80.12,124.4,87.21,"economic_score",82.51
"20007968200","tract",2023,94.6,79.57,116.36,89.8,"economic_score",91.78
"20009971100","tract",2023,107.51,78.3,122.91,94.41,"economic_score",82.93
"20009971200","tract",2023,105.15,74.06,136.55,87.88,"economic_score",86.64
"20009971300","tract",2023,106.4,79.7,112.13,95.84,"economic_score",86.9
"20009971400","tract",2023,113.51,79.56,119.52,96.79,"economic_score",78.36
"20009971500","tract",2023,94.56,81.97,110.21,89.82,"economic_score",95.25
"20009971600","tract",2023,102.65,85.16,98.67,99.57,"economic_score",88.64
"20009971700","tract",2023,115.32,77.56,99.72,105.43,"economic_score",74.05
"20009971801","tract",2023,113.85,82.78,103.41,91.83,"economic_score",86.04
"20011955600","tract",2023,104.77,77.77,105.21,77.59,"economic_score",84.33
"20011955700","tract",2023,99.95,79.73,117.16,78.12,"economic_score",89.76
"20011955800","tract",2023,107.48,78.51,127.79,78.51,"economic_score",85.07
"20011955900","tract",2023,123.69,83.03,98.24,76.43,"economic_score",84.02
"20011956000","tract",2023,111.42,78.23,119.64,81.24,"economic_score",82.26
"20013480600","tract",2023,96.68,74.85,117.72,105.43,"economic_score",89.61
"20013480700","tract",2023,100.67,79.01,114.8,105.67,"economic_score",91.52
"20013480800","tract",2023,109.25,78.29,112.52,109.19,"economic_score",83.73
"20015020101","tract",2023,105.03,88.65,98.78,78.54,"economic_score",96.71
"20015020102","tract",2023,NA,NA,NA,NA,"economic_score",NA
"20015020204","tract",2023,78.67,92.45,91.56,75.69,"economic_score",109.47
