"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"32001950100","tract",2023,97.65,78.08,121.01,74.46,"economic_score",93.33
"32001950301","tract",2023,123.98,94.43,113.69,80.64,"economic_score",75.93
"32001950302","tract",2023,99.69,97.8,100.74,72.21,"economic_score",97.63
"32001950400","tract",2023,101.99,83.08,69.16,70.94,"economic_score",106.74
"32001950500","tract",2023,117,79.5,127.77,86.49,"economic_score",71.45
"32001950600","tract",2023,94.93,95.77,116.04,75.11,"economic_score",100.06
"32001950700","tract",2023,97.84,90.6,115.17,77.14,"economic_score",96.44
"32003000101","tract",2023,107.7,123.4,115.34,133.88,"economic_score",90.29
"32003000103","tract",2023,115.1,122.05,96.1,135.3,"economic_score",86.84
"32003000105","tract",2023,101.34,129.09,92.59,132.27,"economic_score",98.75
"32003000106","tract",2023,110.37,125.78,118.14,134.89,"economic_score",89.7
"32003000107","tract",2023,129.88,119.96,109.81,124.58,"economic_score",78.92
"32003000108","tract",2023,121.38,129.47,84.91,140.65,"economic_score",80.11
"32003000109","tract",2023,115.12,129.43,101.01,131.6,"economic_score",84.98
"32003000201","tract",2023,124.29,130.84,91.08,149.47,"economic_score",80.86
"32003000203","tract",2023,107.67,142.2,81.46,132.75,"economic_score",97.7
"32003000204","tract",2023,87.19,135.5,92.33,135.4,"economic_score",115.14
"32003000301","tract",2023,129.48,139.49,107.12,138.03,"economic_score",69.38
"32003000302","tract",2023,141.78,140.57,104.13,132.52,"economic_score",70.59
"32003000401","tract",2023,NA,NA,NA,NA,"economic_score",NA
"32003000402","tract",2023,135.93,131.59,101.14,140.73,"economic_score",67.93
"32003000403","tract",2023,144.12,117.58,114.56,138.48,"economic_score",66.47
"32003000510","tract",2023,111.05,127.02,89.97,137.06,"economic_score",85.3
"32003000513","tract",2023,121.83,127.46,112.67,132.12,"economic_score",76.16
"32003000514","tract",2023,117.83,133.27,112.81,135.09,"economic_score",75.08
"32003000515","tract",2023,117.99,130.24,93.77,139.05,"economic_score",81.65
"32003000516","tract",2023,133.2,117.85,113.98,148.97,"economic_score",63.22
"32003000517","tract",2023,125.68,127.08,89.87,130.88,"economic_score",78.78
"32003000518","tract",2023,128.94,115.87,102.36,136.48,"economic_score",69.74
"32003000519","tract",2023,121.7,124.38,97.99,128.6,"economic_score",77.4
"32003000520","tract",2023,109.07,123.17,98,130.16,"economic_score",88.27
"32003000521","tract",2023,118.14,112.27,89.98,149.46,"economic_score",72.73
"32003000522","tract",2023,130.89,123.1,105.15,141.59,"economic_score",66.02
"32003000523","tract",2023,135.35,139.13,90.82,142.93,"economic_score",68.15
"32003000524","tract",2023,128.15,118.58,114.02,146.94,"economic_score",63.12
"32003000525","tract",2023,123.05,124.49,102.48,140.6,"economic_score",77.1
"32003000526","tract",2023,107.23,127.2,88.29,135.2,"economic_score",88.26
"32003000527","tract",2023,122,119.24,110.01,138.92,"economic_score",70.61
"32003000528","tract",2023,131.27,117.24,99.27,146.4,"economic_score",64.56
"32003000600","tract",2023,119.2,110.57,97.99,146.19,"economic_score",75.22
"32003000700","tract",2023,NA,NA,NA,NA,"economic_score",NA
"32003001003","tract",2023,107.33,126.47,113.38,127.16,"economic_score",93.09
"32003001004","tract",2023,107.61,132.23,112.8,120.55,"economic_score",98.47
"32003001005","tract",2023,81.79,137.48,107.39,125.05,"economic_score",117.31
"32003001006","tract",2023,89.34,138.06,97.39,129.29,"economic_score",112.97
"32003001100","tract",2023,120.62,137.92,82.83,149.33,"economic_score",89.41
"32003001200","tract",2023,118.4,129.24,108.66,140.64,"economic_score",81.35
"32003001300","tract",2023,107.31,137.67,91.64,128.26,"economic_score",98.63
"32003001401","tract",2023,123.41,123.26,118.4,140.62,"economic_score",75.65
"32003001402","tract",2023,113.23,133.71,95.37,129.12,"economic_score",96.41
"32003001501","tract",2023,134.63,144.53,108.85,146.33,"economic_score",66.97
"32003001502","tract",2023,126.38,134.57,122.82,134.31,"economic_score",73.71
"32003001607","tract",2023,125.53,117.27,105.91,131.55,"economic_score",78.5
"32003001608","tract",2023,137.81,152.41,113.1,138.99,"economic_score",67.47
"32003001609","tract",2023,111.3,125.23,88.91,127.68,"economic_score",90.6
"32003001610","tract",2023,118.62,140.86,103.61,127.27,"economic_score",92.23
"32003001611","tract",2023,109.92,125.4,109.73,132.85,"economic_score",89.08
"32003001613","tract",2023,116.8,120.95,103.72,126.13,"economic_score",87.88
"32003001614","tract",2023,135.68,130.59,138.09,136.35,"economic_score",60.15
"32003001615","tract",2023,120.69,137.12,83.86,135.89,"economic_score",79.2
"32003001706","tract",2023,106.09,131.05,111.73,129.02,"economic_score",101.27
"32003001707","tract",2023,100.38,129.92,122.66,137.07,"economic_score",96.85
"32003001708","tract",2023,103.07,128.75,114.42,124.02,"economic_score",102.9
"32003001709","tract",2023,116.92,120.74,129.47,131.49,"economic_score",88.04
"32003001710","tract",2023,113.68,127.54,108.98,131.75,"economic_score",85.26
"32003001711","tract",2023,107.71,130.48,117.88,136.99,"economic_score",88.93
"32003001712","tract",2023,96.24,124.8,111.54,129.65,"economic_score",101.07
"32003001713","tract",2023,99.83,125.01,116.54,120.4,"economic_score",100.65
"32003001714","tract",2023,110.58,133.95,114.84,130.1,"economic_score",91.92
"32003001715","tract",2023,117.23,110.17,107.23,129.1,"economic_score",80.24
"32003001716","tract",2023,116.94,138.2,91.34,142.51,"economic_score",85.13
"32003001717","tract",2023,104.71,130.49,111.51,120.12,"economic_score",104.13
"32003001718","tract",2023,123.45,119.47,95.43,136.2,"economic_score",74.31
"32003001801","tract",2023,121.1,125.65,108.13,135.15,"economic_score",80.97
"32003001803","tract",2023,105.77,137.38,87.49,130.41,"economic_score",93.81
"32003001804","tract",2023,121.57,128.16,98.84,126.24,"economic_score",85.44
"32003001901","tract",2023,110.53,110.97,97.67,130.38,"economic_score",83.88
"32003001902","tract",2023,122.13,119.45,99.62,128.01,"economic_score",82.24
"32003002000","tract",2023,110.58,124.21,99.09,143.2,"economic_score",91.52
"32003002201","tract",2023,115.93,125.34,120.36,134.7,"economic_score",81.1
"32003002203","tract",2023,117.82,132.88,86.96,144.4,"economic_score",77.93
"32003002204","tract",2023,121.87,137.13,98.01,139.94,"economic_score",72.27
"32003002206","tract",2023,134.21,127.43,102.82,127.26,"economic_score",74.2
"32003002207","tract",2023,120.88,120.55,66.39,134.08,"economic_score",87.52
"32003002302","tract",2023,86.87,127.29,106.36,133.35,"economic_score",113.32
"32003002303","tract",2023,77.04,152.27,126.57,135.03,"economic_score",116.56
"32003002403","tract",2023,113.47,133.21,106.39,145.76,"economic_score",73.77
"32003002404","tract",2023,134.68,131.13,73.57,141.96,"economic_score",78.53
"32003002405","tract",2023,114.97,129.62,76.15,146.91,"economic_score",84.15
"32003002406","tract",2023,120.49,117.22,112.59,126.1,"economic_score",79.62
"32003002501","tract",2023,108.69,132.37,88.52,126.7,"economic_score",95.8
"32003002504","tract",2023,119.94,125.2,85.86,138.26,"economic_score",87.3
"32003002505","tract",2023,114.5,115.17,94.71,136.34,"economic_score",79.51
"32003002506","tract",2023,115.25,109.72,102.06,126.91,"economic_score",79.53
"32003002603","tract",2023,NA,NA,NA,NA,"economic_score",NA
"32003002604","tract",2023,113.44,149.88,105.69,131.35,"economic_score",88.96
"32003002605","tract",2023,144.94,127.51,64.45,149.02,"economic_score",69.86
"32003002706","tract",2023,118.31,126.06,118.13,129.27,"economic_score",77.05
"32003002707","tract",2023,104.25,142.35,94.7,126.36,"economic_score",97.93
"32003002708","tract",2023,117.71,130.66,86.41,132.97,"economic_score",86.19
"32003002808","tract",2023,86.08,132.68,95.45,135.9,"economic_score",110.44
"32003002810","tract",2023,101.35,116.9,100.47,130.92,"economic_score",96.32
"32003002811","tract",2023,90.34,121.5,106.86,115.44,"economic_score",111.58
"32003002814","tract",2023,95.2,135.73,102.66,130.83,"economic_score",106.05
"32003002821","tract",2023,115.99,122.72,97.02,122.62,"economic_score",88.7
"32003002822","tract",2023,104.82,134.58,94.76,129.15,"economic_score",95.03
"32003002823","tract",2023,101.02,124.68,86.81,127.24,"economic_score",99.81
"32003002824","tract",2023,97.55,137.01,121.86,123.76,"economic_score",104.4
"32003002825","tract",2023,92.73,121.93,88.35,122.6,"economic_score",111.89
"32003002826","tract",2023,102.03,123.32,125.15,114.68,"economic_score",98.29
"32003002827","tract",2023,94.18,130.54,98.1,118.92,"economic_score",108.32
"32003002828","tract",2023,94.42,138.97,88.14,128.87,"economic_score",111.15
"32003002829","tract",2023,104.25,120.7,87.95,118.29,"economic_score",107.31
"32003002830","tract",2023,88.17,128.18,113.13,129.12,"economic_score",109.69
"32003002831","tract",2023,100.95,119.26,115.85,122.22,"economic_score",101.32
"32003002833","tract",2023,95.21,132.28,99.42,118.88,"economic_score",115.79
"32003002834","tract",2023,100.69,143.63,78.15,116.6,"economic_score",115.33
"32003002835","tract",2023,93.22,121.99,103.63,122.92,"economic_score",105.84
"32003002836","tract",2023,92.36,138.7,78.14,120.03,"economic_score",111.88
"32003002837","tract",2023,92.52,144.74,107.93,122.78,"economic_score",113.88
"32003002838","tract",2023,100.34,131.21,110.94,126.25,"economic_score",102.63
"32003002841","tract",2023,82.81,146.53,91.55,124.49,"economic_score",123.62
"32003002842","tract",2023,98.26,129,73.28,121.14,"economic_score",110.97
"32003002844","tract",2023,107.49,130.19,95.5,121.6,"economic_score",100.85
"32003002845","tract",2023,99.14,142.16,67.92,124.61,"economic_score",108.96
