"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"39001770100","tract",2023,125.26,81.59,108.65,92.02,"economic_score",80.48
"39001770200","tract",2023,113.02,76.26,114.09,89.79,"economic_score",82.7
"39001770301","tract",2023,108.31,71.88,98.65,92.65,"economic_score",89.3
"39001770302","tract",2023,106.02,84.28,96,81.64,"economic_score",97.64
"39001770400","tract",2023,122.96,79.48,113.12,94.46,"economic_score",79.38
"39001770500","tract",2023,125.73,84.14,121.25,90.96,"economic_score",73.46
"39001770600","tract",2023,130.62,81.43,114.54,96.11,"economic_score",69.54
"39003010100","tract",2023,89,81.87,117.04,74.75,"economic_score",102.73
"39003010200","tract",2023,94.39,72.97,104.05,73.33,"economic_score",99.38
"39003010300","tract",2023,90.43,79.92,98.76,78,"economic_score",100.19
"39003010600","tract",2023,108.45,78.56,101.95,75.51,"economic_score",89.83
"39003010801","tract",2023,99.69,80.02,130.22,76.33,"economic_score",96.8
"39003010802","tract",2023,81.3,84.05,100.83,87.51,"economic_score",105.98
"39003010900","tract",2023,93.85,76.23,106.66,73.23,"economic_score",101.16
"39003011000","tract",2023,105.99,81.63,93.07,81.68,"economic_score",90
"39003011200","tract",2023,NA,NA,NA,NA,"economic_score",NA
"39003011301","tract",2023,101.92,76.31,127.12,83.66,"economic_score",87.6
"39003011302","tract",2023,86.67,78.71,101.73,69.1,"economic_score",110.4
"39003011400","tract",2023,98.43,80.42,109.24,72.79,"economic_score",97.36
"39003011500","tract",2023,85.6,76.64,113.6,78.92,"economic_score",103.73
"39003011600","tract",2023,101.47,79.55,131.3,81.89,"economic_score",93.5
"39003011800","tract",2023,85.42,74.67,106.1,77.61,"economic_score",105.88
"39003011900","tract",2023,89.95,78.62,111.38,77.93,"economic_score",97.68
"39003012000","tract",2023,88.43,81.33,104.71,76.09,"economic_score",112.9
"39003012100","tract",2023,86.99,84.32,111.02,78.13,"economic_score",109.73
"39003012200","tract",2023,128.67,82.83,98.14,83.38,"economic_score",77.56
"39003012300","tract",2023,123.6,76.83,103.2,80.94,"economic_score",74.19
"39003012400","tract",2023,127.63,79.58,99.65,75.28,"economic_score",78.25
"39003012600","tract",2023,118.99,70.14,94.5,72.65,"economic_score",84.47
"39003012700","tract",2023,138.45,73.25,109.14,77.54,"economic_score",62.34
"39003012900","tract",2023,132.46,78.96,107.1,83.13,"economic_score",70.73
"39003013000","tract",2023,112.1,83.67,116.98,81.91,"economic_score",82.14
"39003013100","tract",2023,99.52,81.3,93.25,68.65,"economic_score",100.5
"39003013200","tract",2023,111.96,76.9,93.18,79.64,"economic_score",88.19
"39003013300","tract",2023,134.85,70.29,93.19,86.42,"economic_score",65.94
"39003013400","tract",2023,163.32,90.74,115.1,81.07,"economic_score",57.42
"39003013600","tract",2023,127.62,72.18,92.17,83.49,"economic_score",72.61
"39003013700","tract",2023,141.76,75.32,120.54,80.92,"economic_score",58.83
"39003013800","tract",2023,125.59,74.43,129.03,85.06,"economic_score",75.43
"39003013900","tract",2023,111.87,77.41,106.31,76.04,"economic_score",89.59
"39003014000","tract",2023,95.97,73.66,122.81,73.87,"economic_score",99.44
"39003014100","tract",2023,150.6,77.28,108.44,85.27,"economic_score",52.73
"39005970101","tract",2023,96.24,87.93,108.9,81.67,"economic_score",95.76
"39005970102","tract",2023,102.98,83.06,124.48,83.95,"economic_score",86.24
"39005970200","tract",2023,97.37,72.43,105.57,86.04,"economic_score",91.67
"39005970300","tract",2023,101.65,72.57,100.1,80.5,"economic_score",93.8
"39005970400","tract",2023,109.8,68.57,105.24,82.83,"economic_score",82.66
"39005970500","tract",2023,101.91,83.37,83.81,79.35,"economic_score",99.59
"39005970600","tract",2023,93.65,78.62,103.03,79.59,"economic_score",100.99
"39005970700","tract",2023,98.47,82.63,116.38,84.32,"economic_score",93.18
"39005970800","tract",2023,93.71,80.3,95.2,78.29,"economic_score",102.02
"39005970900","tract",2023,99.03,78.91,109.63,80.16,"economic_score",94.75
"39005971000","tract",2023,92.98,79.15,107.29,83.58,"economic_score",94.39
"39005971100","tract",2023,107.3,75.86,113.23,77.55,"economic_score",89.43
"39007000101","tract",2023,NA,NA,NA,NA,"economic_score",NA
"39007000102","tract",2023,106.44,74.69,118.37,84.39,"economic_score",87.22
"39007000103","tract",2023,125.36,74.22,102.23,86.36,"economic_score",73.27
"39007000200","tract",2023,98.58,77.31,120.2,80.26,"economic_score",93.17
"39007000300","tract",2023,110.06,81.01,115.09,85.74,"economic_score",84.19
"39007000400","tract",2023,116.17,78.24,119.94,89.63,"economic_score",75.5
"39007000500","tract",2023,115.38,75.1,111.38,78.85,"economic_score",86.87
"39007000601","tract",2023,137.15,73.39,105.03,89.1,"economic_score",62.92
"39007000602","tract",2023,104.49,80.05,118,84.66,"economic_score",93.63
"39007000603","tract",2023,102.93,90.62,113.68,85.85,"economic_score",92.33
"39007000701","tract",2023,127.26,74.16,128.15,90.44,"economic_score",68.65
"39007000702","tract",2023,102.6,75.43,119.58,75.13,"economic_score",95.65
"39007000703","tract",2023,129.35,68.67,122.72,86.1,"economic_score",66.06
"39007000704","tract",2023,143.55,77.47,113.74,88.95,"economic_score",65.66
"39007000801","tract",2023,106.2,86.66,112.78,86.78,"economic_score",87.12
"39007000802","tract",2023,103.36,76.75,106.12,84.98,"economic_score",92.16
"39007000900","tract",2023,111.11,81.32,110.96,87.61,"economic_score",83.94
"39007001001","tract",2023,97.94,87.39,108.61,81.49,"economic_score",98.42
"39007001002","tract",2023,90.62,77.98,118.16,88.54,"economic_score",95.25
"39007001101","tract",2023,112.63,88.93,121.66,91.62,"economic_score",80.93
"39007001102","tract",2023,100.93,83.12,133.48,81.42,"economic_score",92.98
"39007001201","tract",2023,98.83,75.66,114.91,88.33,"economic_score",92.47
"39007001202","tract",2023,108.72,80.42,113.76,75.08,"economic_score",84.89
"39007001301","tract",2023,105.42,79.01,112.33,98.09,"economic_score",81.83
"39007001303","tract",2023,114.07,81.49,109.18,102.9,"economic_score",75.02
"39007001304","tract",2023,119.63,82.23,105.43,87.12,"economic_score",76.46
"39007001401","tract",2023,114.66,72.52,91.17,112.34,"economic_score",70.58
"39007001402","tract",2023,109.83,80.12,110.57,94.22,"economic_score",84.14
"39007990000","tract",2023,NA,NA,NA,NA,"economic_score",NA
"39009972600","tract",2023,123.15,77.55,120.86,79.57,"economic_score",73.53
"39009972700","tract",2023,105.57,71.04,99.47,74.16,"economic_score",90.78
"39009972800","tract",2023,142.5,84.38,114.08,83.68,"economic_score",66.51
"39009972900","tract",2023,113.1,74.51,103.44,83.98,"economic_score",89.62
"39009973000","tract",2023,108.44,86.02,93.22,82.74,"economic_score",92.27
"39009973101","tract",2023,NA,NA,NA,NA,"economic_score",NA
"39009973200","tract",2023,99.11,75.99,112.11,82.66,"economic_score",90.67
"39009973300","tract",2023,89.8,86.61,88.94,79.9,"economic_score",103.82
"39009973400","tract",2023,115.04,77.47,115.9,86.16,"economic_score",84.93
"39009973500","tract",2023,94.96,65.25,119.86,74.61,"economic_score",91.98
"39009973600","tract",2023,95.5,73.86,116.75,77,"economic_score",94.15
"39009973700","tract",2023,103.44,76.61,111.28,83.79,"economic_score",89.63
"39009973800","tract",2023,94.52,76.38,106.61,80.07,"economic_score",97.6
"39009973901","tract",2023,NA,NA,NA,NA,"economic_score",NA
"39009973902","tract",2023,151.18,92.22,65.81,89.55,"economic_score",66.93
"39011040100","tract",2023,83.36,74.14,89.44,75.11,"economic_score",105.52
"39011040200","tract",2023,87.31,79.2,106.37,74.87,"economic_score",101.48
"39011040300","tract",2023,105.5,76.34,98.86,80.25,"economic_score",89.35
"39011040400","tract",2023,97.42,74.56,105.49,75.52,"economic_score",97.11
"39011040500","tract",2023,82.83,76.75,107.19,71.53,"economic_score",108.33
"39011040600","tract",2023,95.89,72.69,102.39,77.85,"economic_score",96.03
"39011040900","tract",2023,81.23,70.21,98.66,75.42,"economic_score",107.64
"39011041000","tract",2023,78,78.46,98.72,75.39,"economic_score",113.3
"39011041100","tract",2023,82.68,73.04,105.85,73.12,"economic_score",106.92
"39011041201","tract",2023,90.58,78.66,124.09,79.43,"economic_score",96.24
"39011041202","tract",2023,84.68,71.7,91.46,71.91,"economic_score",101.88
"39013010100","tract",2023,110.9,74.76,112.13,81.24,"economic_score",85.13
"39013010200","tract",2023,111.16,80.07,109.1,82.33,"economic_score",84.4
"39013010300","tract",2023,106.72,74.72,134.84,78.17,"economic_score",88.64
"39013010600","tract",2023,118.89,73.62,112.44,81.25,"economic_score",78.19
"39013010700","tract",2023,95.67,73.53,111.34,82.41,"economic_score",92.52
"39013010802","tract",2023,117.06,75.98,125.37,85.23,"economic_score",80.49
"39013010901","tract",2023,101.16,76.19,108.15,80.53,"economic_score",94.71
"39013010902","tract",2023,112.63,78.07,116.93,77.4,"economic_score",80.93
