"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"41001950100","tract",2023,100.45,86.14,135.93,86.81,"economic_score",91.94
"41001950200","tract",2023,104.15,89.98,112.09,82.22,"economic_score",93.69
"41001950300","tract",2023,111.09,90.84,131.3,89.43,"economic_score",87.51
"41001950400","tract",2023,104.76,93.96,111.18,80.03,"economic_score",97.58
"41001950500","tract",2023,96.77,102.32,105.53,78.66,"economic_score",100.64
"41001950600","tract",2023,109.58,83.24,126.25,81.3,"economic_score",85.09
"41003000101","tract",2023,104.88,101.8,74.75,78.55,"economic_score",102.28
"41003000102","tract",2023,82.38,95.78,84.58,75.5,"economic_score",111.51
"41003000202","tract",2023,74.85,96.6,110.8,80.83,"economic_score",114.67
"41003000401","tract",2023,81.61,91.98,118.59,70.73,"economic_score",114.18
"41003000402","tract",2023,78.04,97.12,103.52,80.36,"economic_score",114.79
"41003000500","tract",2023,71.56,101.34,124.68,70.44,"economic_score",119.04
"41003000600","tract",2023,80.82,100.17,109.68,82.11,"economic_score",104.74
"41003000900","tract",2023,81.8,107.07,96.33,78.31,"economic_score",114.23
"41003001001","tract",2023,108.31,102.01,106.57,77.18,"economic_score",90.63
"41003001002","tract",2023,88.64,90.55,105.42,74.6,"economic_score",104.26
"41003001101","tract",2023,123.17,118.85,71.34,80.95,"economic_score",86.62
"41003001102","tract",2023,102.12,94.57,78.47,86.59,"economic_score",89.91
"41003010101","tract",2023,82.58,109.94,117.8,71.87,"economic_score",112.07
"41003010102","tract",2023,77.66,102.53,107.72,71.86,"economic_score",121.21
"41003010200","tract",2023,77.26,100.02,114.9,76.08,"economic_score",117.63
"41003010300","tract",2023,76.86,96.57,116.28,73.04,"economic_score",115.42
"41003010400","tract",2023,96.64,92.29,111.55,81.04,"economic_score",98.66
"41003010601","tract",2023,112.82,84.16,95.34,83.56,"economic_score",86.08
"41003010602","tract",2023,NA,NA,NA,NA,"economic_score",NA
"41003010702","tract",2023,NA,NA,NA,NA,"economic_score",NA
"41003010800","tract",2023,84.36,103.69,95.57,74.52,"economic_score",109.64
"41003010900","tract",2023,86.7,99.21,107.62,76.88,"economic_score",110.53
"41005020101","tract",2023,71.14,120.26,85.64,97.49,"economic_score",125.47
"41005020102","tract",2023,62.49,128.09,97.46,90.69,"economic_score",140.48
"41005020201","tract",2023,65.47,121.73,102.62,91.82,"economic_score",130.56
"41005020202","tract",2023,72.08,119.93,92.29,98.95,"economic_score",124.11
"41005020302","tract",2023,72.54,113.81,81.58,88.52,"economic_score",132.74
"41005020303","tract",2023,70.79,108.74,105.45,86.63,"economic_score",130.08
"41005020304","tract",2023,70.08,119.52,82.77,90.9,"economic_score",134.49
"41005020401","tract",2023,72.33,114.92,80.44,85.06,"economic_score",129.82
"41005020403","tract",2023,58.35,110.56,91.6,91.63,"economic_score",140.5
"41005020404","tract",2023,63.63,116.13,103.16,88.27,"economic_score",134.95
"41005020503","tract",2023,58.86,122.35,86.44,83.87,"economic_score",143.98
"41005020504","tract",2023,74.54,116.86,101.87,89.46,"economic_score",124.37
"41005020505","tract",2023,72.59,116.61,123.81,89.21,"economic_score",124.71
"41005020506","tract",2023,71.2,126.26,101.56,87.9,"economic_score",130.19
"41005020507","tract",2023,71.64,132.1,78.16,96.39,"economic_score",129.74
"41005020601","tract",2023,76.9,121.16,117.01,89.12,"economic_score",123.38
"41005020602","tract",2023,74.09,120.44,95.51,86.58,"economic_score",127.15
"41005020700","tract",2023,76.87,116.98,85.12,88.78,"economic_score",125.05
"41005020800","tract",2023,85.75,109.13,89.18,91.19,"economic_score",112.82
"41005020900","tract",2023,90.11,108.89,100.05,90.13,"economic_score",110.03
"41005021000","tract",2023,83.41,110.83,79.27,84.33,"economic_score",120.66
"41005021100","tract",2023,87.61,110.56,92.75,89,"economic_score",113.3
"41005021200","tract",2023,82.18,111.97,116.47,91.59,"economic_score",114.49
"41005021300","tract",2023,90.43,111.88,101.99,91.53,"economic_score",108.21
"41005021400","tract",2023,91.27,116.21,96.92,85.92,"economic_score",115.23
"41005021500","tract",2023,84.69,112.4,100.08,89.06,"economic_score",111.18
"41005021601","tract",2023,82.59,106.31,88.63,93.71,"economic_score",109.23
"41005021602","tract",2023,88.19,106.67,83.08,90.13,"economic_score",109.17
"41005021700","tract",2023,84.73,113.78,100.72,88.74,"economic_score",114.57
"41005021801","tract",2023,86.62,105.13,113.6,81.42,"economic_score",119.17
"41005021802","tract",2023,98.15,108.84,92.59,94.91,"economic_score",100.48
"41005021900","tract",2023,94.59,118.13,86.97,92.8,"economic_score",107.91
"41005022000","tract",2023,86.07,110.98,94.76,89.27,"economic_score",113.2
"41005022101","tract",2023,95.01,118.53,108.34,92.07,"economic_score",104.69
"41005022105","tract",2023,85.17,113.41,119.99,92.73,"economic_score",107.29
"41005022107","tract",2023,87.91,97.94,96.03,94.74,"economic_score",101.14
"41005022108","tract",2023,97.04,105.28,103.65,95.1,"economic_score",94.44
"41005022109","tract",2023,94.45,120.99,90.86,86.48,"economic_score",114.32
"41005022110","tract",2023,78.58,120.93,77.96,86.38,"economic_score",119.01
"41005022201","tract",2023,111.85,90.34,108.72,91.66,"economic_score",83.48
"41005022205","tract",2023,85.22,112.51,95.07,90.59,"economic_score",120.61
"41005022206","tract",2023,76.99,123.72,100.75,87.87,"economic_score",124.85
"41005022207","tract",2023,73.68,118.13,84.83,88.3,"economic_score",124.04
"41005022208","tract",2023,81.16,124.29,78.92,87.29,"economic_score",126.15
"41005022301","tract",2023,103.05,121.26,99.07,90.35,"economic_score",109.55
"41005022302","tract",2023,97.93,106.23,106.3,89,"economic_score",105.27
"41005022400","tract",2023,92.32,105.22,96.63,89.42,"economic_score",112.44
"41005022501","tract",2023,82.04,104.17,91.08,84.3,"economic_score",113.71
"41005022502","tract",2023,84.09,107.75,74.52,87.65,"economic_score",118.52
"41005022602","tract",2023,85.4,108.84,106.08,87.49,"economic_score",117.85
"41005022603","tract",2023,88.8,118.35,85.1,92.32,"economic_score",110.46
"41005022605","tract",2023,85.07,115.1,92.9,87.86,"economic_score",114.3
"41005022606","tract",2023,79.69,116.72,84.28,85.54,"economic_score",122.31
"41005022702","tract",2023,67.53,118.83,93.97,95.33,"economic_score",131.6
"41005022707","tract",2023,76.94,115.85,78.6,90.85,"economic_score",123.49
"41005022708","tract",2023,97.77,112.28,86.46,95.14,"economic_score",110.52
"41005022710","tract",2023,86.65,122.65,87.39,103.25,"economic_score",111.75
"41005022800","tract",2023,83.62,103.63,149.71,85.9,"economic_score",106.07
"41005022901","tract",2023,79,108.6,106.56,88.66,"economic_score",115.53
"41005022904","tract",2023,94.58,113.68,96.44,94.93,"economic_score",104.17
"41005022905","tract",2023,80.79,113.42,98.66,88.62,"economic_score",115.37
"41005022906","tract",2023,88.54,96.98,118.04,95.46,"economic_score",105.29
"41005022907","tract",2023,90.19,111.32,90.52,98.19,"economic_score",106.01
"41005023001","tract",2023,81.48,104.49,110.21,85.67,"economic_score",113.69
"41005023002","tract",2023,85.37,110.79,104.79,88.51,"economic_score",115.41
"41005023100","tract",2023,81.91,114.66,107.75,87.7,"economic_score",116.15
"41005023201","tract",2023,82.21,120.69,117.7,90.52,"economic_score",111.82
"41005023202","tract",2023,82.82,118.85,90.94,83.26,"economic_score",119.63
"41005023300","tract",2023,79.26,108.72,109.51,89.48,"economic_score",117.92
"41005023401","tract",2023,83.44,102.09,122.16,88.81,"economic_score",111.3
"41005023403","tract",2023,77.19,110.9,77.8,82.51,"economic_score",121.98
"41005023404","tract",2023,90.94,116.24,101.97,89.92,"economic_score",108.63
"41005023500","tract",2023,100.02,105.43,113.49,88.41,"economic_score",96.09
"41005023600","tract",2023,89.55,110.46,114.9,91.15,"economic_score",111.51
"41005023700","tract",2023,81.65,105.62,114.43,83.76,"economic_score",117.3
"41005023800","tract",2023,82.63,103.44,116.36,94.74,"economic_score",108.58
"41005023901","tract",2023,84.37,116.2,81.18,87.29,"economic_score",116.31
"41005023902","tract",2023,95.09,116.95,84.07,87.09,"economic_score",108.17
"41005024000","tract",2023,82.23,107.63,102.34,92.05,"economic_score",113.23
"41005024100","tract",2023,98.26,103.26,114.04,88.78,"economic_score",102.5
"41005024200","tract",2023,90.82,116.61,110.84,90.78,"economic_score",105.91
"41005024302","tract",2023,88.71,108.34,100.64,87.42,"economic_score",106.87
"41005024303","tract",2023,79.17,103.45,106.05,87.47,"economic_score",114.69
"41005024304","tract",2023,87.61,110,107.87,83.46,"economic_score",114.06
"41005024401","tract",2023,88.15,96.21,98.64,88.75,"economic_score",106.17
"41005024402","tract",2023,84.63,120.62,72.37,90.4,"economic_score",122.56
"41005980000","tract",2023,NA,NA,NA,NA,"economic_score",NA
"41007950100","tract",2023,93.19,101.6,93.37,90.03,"economic_score",106
"41007950200","tract",2023,94.56,99.2,101.99,93.58,"economic_score",101.06
"41007950300","tract",2023,110.24,106.02,118.18,91.55,"economic_score",93.87
"41007950400","tract",2023,96.79,92.38,140.17,94.6,"economic_score",91.27
"41007950500","tract",2023,99.06,100.86,120.79,86.15,"economic_score",97.34
"41007950600","tract",2023,95.38,110.59,103.32,83.48,"economic_score",103.71
"41007950700","tract",2023,90.21,87,123.4,87.05,"economic_score",104.7
"41007950900","tract",2023,108.89,106.93,120.62,102.67,"economic_score",83.87
"41007951100","tract",2023,97.89,110.93,126.1,91.99,"economic_score",100.87
"41007951200","tract",2023,102.69,90.5,127.93,89.43,"economic_score",91.34
"41007951300","tract",2023,89.71,99.76,119.46,88.56,"economic_score",108.81
"41007990000","tract",2023,NA,NA,NA,NA,"economic_score",NA
"41009970201","tract",2023,97.33,102.94,120.62,78.86,"economic_score",93.59
"41009970202","tract",2023,95.1,108.95,103.53,80.1,"economic_score",100.9
"41009970300","tract",2023,112.02,103.78,129.62,83.36,"economic_score",86.79
"41009970400","tract",2023,97.07,100.53,120.13,73.41,"economic_score",99.8
"41009970500","tract",2023,95.99,100.74,113.31,68.75,"economic_score",104.56
"41009970600","tract",2023,86.15,98.38,107.39,66.3,"economic_score",113.82
"41009970700","tract",2023,97.09,104.21,98.57,75.1,"economic_score",99.34
"41009970800","tract",2023,107.23,109.19,90.94,70.72,"economic_score",100.56
"41009970900","tract",2023,87.62,92.64,108.62,71.9,"economic_score",106.03
"41009971000","tract",2023,86.23,99.53,107.54,75.52,"economic_score",103.4
"41009971100","tract",2023,102.67,108.44,104.61,74.48,"economic_score",97.53
"41011000101","tract",2023,109.01,90.72,148.74,88.39,"economic_score",88.05
"41011000102","tract",2023,109.99,93.44,133.38,87.68,"economic_score",92.25
"41011000103","tract",2023,93.52,103.6,130.81,83.31,"economic_score",106.14
"41011000200","tract",2023,107.14,89.09,144.46,80.12,"economic_score",95.13
"41011000300","tract",2023,105.25,94.66,120.98,87.62,"economic_score",92.83
"41011000401","tract",2023,106.44,96.12,110.29,87.37,"economic_score",100.51
"41011000402","tract",2023,103.79,93.65,123,93.34,"economic_score",94.78
"41011000502","tract",2023,101.31,97.12,141.3,91.45,"economic_score",98.31
"41011000503","tract",2023,109.98,101.91,92.5,87.78,"economic_score",93.84
"41011000505","tract",2023,113.85,99.51,143.78,92.45,"economic_score",74.66
"41011000506","tract",2023,103.56,93.37,113.16,94.18,"economic_score",88.6
"41011000600","tract",2023,100.21,110.64,117.59,84,"economic_score",102.5
"41011000701","tract",2023,106.14,97.48,108.63,91.05,"economic_score",94.96
"41011000702","tract",2023,107.23,111.38,118.44,91.14,"economic_score",91.84
"41011000800","tract",2023,97.62,88.79,135.73,83.49,"economic_score",99.68
"41011000901","tract",2023,112.66,94.69,132.54,83.3,"economic_score",92.4
"41011000902","tract",2023,114.51,112.03,112.79,95.89,"economic_score",86.05
"41011001001","tract",2023,103.01,94.49,133.9,96.66,"economic_score",87.1
"41011001002","tract",2023,115.29,105.52,142.04,91.85,"economic_score",80.4
