"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"51001090101","tract",2023,92.8,78.4,139.28,86.73,"economic_score",95.54
"51001090102","tract",2023,103.35,70.34,157.83,95.2,"economic_score",84.13
"51001090201","tract",2023,96.02,83.22,140.16,81.86,"economic_score",94.21
"51001090202","tract",2023,112.52,75.57,134.15,92.35,"economic_score",75.31
"51001090300","tract",2023,114.89,79.65,130.77,105.03,"economic_score",69.05
"51001090401","tract",2023,103.14,75.93,113.35,93.69,"economic_score",84.54
"51001090402","tract",2023,123,83.61,129.6,97.76,"economic_score",67.66
"51001090500","tract",2023,110.47,76.16,124.16,96.84,"economic_score",79.84
"51001090600","tract",2023,105.59,79.54,143.09,93.46,"economic_score",83.91
"51001090700","tract",2023,106.56,86.29,125.72,89.29,"economic_score",87.52
"51001090800","tract",2023,117.22,79.91,128.92,91.71,"economic_score",74.22
"51001980100","tract",2023,NA,NA,NA,NA,"economic_score",NA
"51001980200","tract",2023,NA,NA,NA,NA,"economic_score",NA
"51001990100","tract",2023,NA,NA,NA,NA,"economic_score",NA
"51001990200","tract",2023,NA,NA,NA,NA,"economic_score",NA
"51003010100","tract",2023,82.48,85.06,114.78,98.97,"economic_score",114.1
"51003010201","tract",2023,81.81,92.92,100.56,97.02,"economic_score",122.01
"51003010202","tract",2023,71.02,99.78,94.89,98.46,"economic_score",125.71
"51003010301","tract",2023,83.32,103.33,86.92,99.76,"economic_score",117.83
"51003010302","tract",2023,65.02,93,98.69,97.47,"economic_score",133.9
"51003010303","tract",2023,80.23,95.75,102.28,97.91,"economic_score",119.24
"51003010401","tract",2023,72.71,86.67,99.31,103.88,"economic_score",115.94
"51003010402","tract",2023,69.22,97.71,114,100.71,"economic_score",123.04
"51003010501","tract",2023,74.37,93.48,98.17,100.1,"economic_score",125.29
"51003010502","tract",2023,70.48,93.89,101.13,98.52,"economic_score",128.96
"51003010602","tract",2023,71.34,93.5,92.21,101.08,"economic_score",124.77
"51003010603","tract",2023,86.01,104.33,118.73,93.99,"economic_score",115.86
"51003010604","tract",2023,85.52,95.47,95.98,99.92,"economic_score",121.46
"51003010701","tract",2023,90.01,97.97,91.42,102.38,"economic_score",108.39
"51003010702","tract",2023,86.08,94.71,96.99,106.35,"economic_score",107.2
"51003010801","tract",2023,81.84,100.29,89.31,107.47,"economic_score",107.23
"51003010802","tract",2023,84.98,90.2,98.42,126.68,"economic_score",97.44
