"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"55001950100","tract",2023,91.91,85.63,156.79,65.1,"economic_score",98.3
"55001950201","tract",2023,104.7,86.04,145.78,73.01,"economic_score",86.69
"55001950203","tract",2023,101.23,85.14,139.02,75.58,"economic_score",86.34
"55001950204","tract",2023,110.29,87.77,156.84,79.4,"economic_score",80.14
"55001950400","tract",2023,115.35,83.18,134.17,74.09,"economic_score",78.14
"55001950501","tract",2023,106.27,90.41,157.19,73.06,"economic_score",81.82
"55001950502","tract",2023,105.87,84.59,142.44,71.81,"economic_score",85.41
"55001950700","tract",2023,98.34,87.73,126.5,72.46,"economic_score",92.26
"55003940000","tract",2023,108.78,78.46,113.18,75.43,"economic_score",85.98
"55003950300","tract",2023,103.43,87.11,101.92,79.07,"economic_score",89.89
"55003950400","tract",2023,131.52,91.36,119.08,80.74,"economic_score",76.02
"55003950500","tract",2023,95.73,83.42,121.08,69.79,"economic_score",95.19
"55003950600","tract",2023,102.35,82.53,131.98,71.38,"economic_score",88.41
"55003950700","tract",2023,97.97,82.42,139.52,70.84,"economic_score",90.76
"55003950800","tract",2023,116.21,85.94,113.31,78.15,"economic_score",83.13
"55003990000","tract",2023,NA,NA,NA,NA,"economic_score",NA
"55005000100","tract",2023,92.15,85.54,127.79,78.01,"economic_score",97.45
"55005000200","tract",2023,101.1,87.25,133.85,81.26,"economic_score",88.82
"55005000300","tract",2023,95.83,84.4,118.27,81.76,"economic_score",94.51
"55005000400","tract",2023,98.46,84.94,120.25,79.44,"economic_score",90.89
"55005000500","tract",2023,106.99,85.19,97.85,90.11,"economic_score",88.98
"55005000601","tract",2023,96.41,82.61,118.13,80.54,"economic_score",91.63
"55005000602","tract",2023,88.87,81.08,116.44,83.01,"economic_score",96.66
"55005000800","tract",2023,93.19,89.17,98.33,79.15,"economic_score",100.47
"55005000900","tract",2023,99.08,87.74,118.97,80.88,"economic_score",91.3
"55005001001","tract",2023,95.16,93.43,113.49,76.01,"economic_score",95.04
"55005001003","tract",2023,86.6,84.87,127.54,71.69,"economic_score",99.73
"55005001004","tract",2023,99.29,85.23,121,79.84,"economic_score",93.16
"55007960100","tract",2023,104.87,81.65,140.44,94.26,"economic_score",85.34
