"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"54001965500","tract",2023,110.96,71.64,128.77,84.97,"economic_score",76.14
"54001965600","tract",2023,113.2,75.16,126.12,84.72,"economic_score",78.74
"54001965700","tract",2023,109.41,72.16,126.88,78.61,"economic_score",85.16
"54001965800","tract",2023,130.11,79.85,111.56,84.05,"economic_score",71.91
"54003971101","tract",2023,93.91,87.8,84.53,72.16,"economic_score",103.01
"54003971103","tract",2023,102.53,80.22,120.76,70.84,"economic_score",87.7
"54003971104","tract",2023,101.01,86.81,109.64,77.63,"economic_score",93.57
"54003971105","tract",2023,82.92,83.12,97.08,75.9,"economic_score",106.31
"54003971203","tract",2023,98.98,77.59,120.87,73.14,"economic_score",94.36
"54003971204","tract",2023,90.32,79.74,114.8,67.75,"economic_score",106.15
"54003971205","tract",2023,94.93,78.48,91.57,75.79,"economic_score",95.27
"54003971206","tract",2023,91.83,93.3,91.95,71.62,"economic_score",106.98
"54003971301","tract",2023,109.18,86.25,84.26,74.38,"economic_score",96.86
"54003971302","tract",2023,106.05,80.05,104.31,69.68,"economic_score",94.37
"54003971401","tract",2023,88.81,90.63,99.39,72.27,"economic_score",103.74
"54003971402","tract",2023,113.66,89.77,83.18,78.66,"economic_score",87.93
"54003971500","tract",2023,123.62,88.74,98.75,74.84,"economic_score",84.25
"54003971600","tract",2023,106.1,79.15,107.97,75.21,"economic_score",86.97
"54003971700","tract",2023,117.8,89.21,101.61,77.93,"economic_score",83.01
"54003971801","tract",2023,102.16,89.81,83.94,70.53,"economic_score",102.91
"54003971802","tract",2023,99.36,81.34,110.95,75.24,"economic_score",94.33
"54003971901","tract",2023,106.68,83.38,111.39,68.43,"economic_score",93.3
"54003971902","tract",2023,99.66,94.56,96.78,75.82,"economic_score",97.05
"54003972001","tract",2023,88.27,87.61,99.02,72.39,"economic_score",106.63
"54003972002","tract",2023,115.7,84,86.15,79.22,"economic_score",85.41
"54003972003","tract",2023,97.47,83.04,96.66,68.76,"economic_score",100.25
"54003972101","tract",2023,95.4,83.25,91.24,68.55,"economic_score",100.65
"54003972103","tract",2023,95.49,80.75,86.65,73.65,"economic_score",95.33
"54003972104","tract",2023,87.18,85.5,93.06,72.11,"economic_score",102.65
"54003972105","tract",2023,101.74,91.63,80.7,71.39,"economic_score",101.75
"54005958200","tract",2023,123.64,75.95,131.54,61.6,"economic_score",76.16
"54005958300","tract",2023,109.32,74.48,139.33,66.91,"economic_score",79.8
"54005958400","tract",2023,114.81,79.83,127.89,65.57,"economic_score",86.96
"54005958501","tract",2023,113.42,76.16,137.21,71.57,"economic_score",71.74
"54005958502","tract",2023,108.2,73.3,137.01,63.77,"economic_score",81.24
"54005958600","tract",2023,128.54,79.87,125.18,58.19,"economic_score",73.23
"54005958700","tract",2023,128.91,73.16,154.86,63.74,"economic_score",66.4
"54005958800","tract",2023,122.81,75.07,144.49,62.45,"economic_score",73.14
"54007967900","tract",2023,131.1,71.21,139.69,88.76,"economic_score",63.95
"54007968000","tract",2023,112.88,68.67,143.34,86.14,"economic_score",72.35
"54007968100","tract",2023,123.8,73.27,142.34,80.74,"economic_score",72.91
"54009031102","tract",2023,90.65,72.4,122.23,70.96,"economic_score",96.13
"54009031103","tract",2023,104.42,81.38,105.76,86.37,"economic_score",80.05
"54009031104","tract",2023,88.2,69.75,143.77,71.51,"economic_score",89.56
"54009031200","tract",2023,107.82,77.36,133.05,70.16,"economic_score",82.43
"54009031401","tract",2023,99.22,75.87,142.24,74.17,"economic_score",84.34
"54009031402","tract",2023,111.29,72.71,141.44,68.44,"economic_score",82.25
"54009031600","tract",2023,104.65,80.2,129.55,70.2,"economic_score",87.67
"54009031700","tract",2023,109.16,73.62,151.5,76.81,"economic_score",75.72
"54011000101","tract",2023,115.41,78.11,123.09,79.7,"economic_score",78.62
"54011000102","tract",2023,123.7,77.53,101.7,78.88,"economic_score",83.73
"54011000200","tract",2023,139.85,84.6,105.36,89.85,"economic_score",62.09
"54011000300","tract",2023,125.07,86.52,100.43,86.9,"economic_score",76.19
"54011000400","tract",2023,121.18,72.53,101.64,83.31,"economic_score",68.98
"54011000500","tract",2023,NA,NA,NA,NA,"economic_score",NA
"54011000600","tract",2023,NA,NA,NA,NA,"economic_score",NA
"54011000900","tract",2023,132.76,88.57,115.87,88.42,"economic_score",70.41
