"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"56001962700","tract",2023,76.72,101.62,106.7,72.64,"economic_score",110.37
"56001962800","tract",2023,85.37,101.8,91.49,78.51,"economic_score",108.5
"56001962900","tract",2023,93.67,90.82,99.3,80.44,"economic_score",92.51
"56001963000","tract",2023,99.74,106.08,78.34,93.66,"economic_score",94.99
"56001963101","tract",2023,74.56,99.57,92.58,76.12,"economic_score",117.92
"56001963102","tract",2023,102.66,109.68,87.03,87.89,"economic_score",96.89
"56001963400","tract",2023,96.63,98.1,68.14,86.39,"economic_score",105.72
"56001963500","tract",2023,NA,NA,NA,NA,"economic_score",NA
"56001963600","tract",2023,97.1,104.93,63.26,78.84,"economic_score",110.62
"56001963700","tract",2023,99.91,102.95,88.77,81.16,"economic_score",103.13
"56001963900","tract",2023,76.92,99.07,123.39,78.14,"economic_score",117.21
"56003962600","tract",2023,96.7,87.36,110.29,106.04,"economic_score",91.38
"56003962700","tract",2023,104.44,88.7,121.54,99.87,"economic_score",89.64
"56003962800","tract",2023,106.28,87.91,112.77,99.67,"economic_score",91.83
"56005000101","tract",2023,83.05,108.87,80.23,92.37,"economic_score",108.59
"56005000102","tract",2023,77.99,103.1,73.64,80.31,"economic_score",120.06
"56005000103","tract",2023,94.78,99.61,73.13,99.77,"economic_score",91.3
"56005000200","tract",2023,84.59,103.38,80.23,87.21,"economic_score",110.94
"56005000300","tract",2023,101.75,106.18,88.53,92.85,"economic_score",92.98
"56005000400","tract",2023,98.03,97.94,93.36,94.31,"economic_score",95.07
"56005000500","tract",2023,81.65,101.72,78.54,82.63,"economic_score",114.52
"56005000600","tract",2023,91.53,99.72,111.61,89.42,"economic_score",97.39
"56005000701","tract",2023,73.36,99.24,99.34,82.97,"economic_score",116.27
"56005000702","tract",2023,93.71,107.03,82.54,99.47,"economic_score",94.06
"56007967600","tract",2023,99.02,88.85,96.4,95.11,"economic_score",86.3
"56007967700","tract",2023,97.52,85.46,101.45,92.2,"economic_score",92.37
"56007967800","tract",2023,102.23,93.92,94.92,85.05,"economic_score",98.2
"56007968000","tract",2023,97.8,89.79,122.07,88.63,"economic_score",92.95
"56007968100","tract",2023,99.49,84.39,110.19,91.71,"economic_score",87.82
"56009956400","tract",2023,89.09,86.03,99.65,91.25,"economic_score",103.12
"56009956500","tract",2023,102.79,94.11,108.18,102.77,"economic_score",93.32
"56009956600","tract",2023,93.03,84.79,130.6,96.3,"economic_score",95.37
"56009956700","tract",2023,102.58,97.11,107.27,97.88,"economic_score",92.9
"56011950200","tract",2023,86.13,93.43,110.12,87.85,"economic_score",102.25
"56011950300","tract",2023,88.94,91.43,119.11,88.93,"economic_score",100.25
"56013000100","tract",2023,107.02,106,108.49,96.85,"economic_score",91.87
"56013000200","tract",2023,95.38,98.41,106.87,91.32,"economic_score",103.46
"56013000301","tract",2023,86,93.16,139.12,86.82,"economic_score",103.94
"56013000302","tract",2023,98.65,91.03,117.43,90.18,"economic_score",88.98
"56013000400","tract",2023,101.02,94.31,127.1,96.26,"economic_score",87.27
"56013940100","tract",2023,120.22,74.12,122.88,108.66,"economic_score",65.88
"56013940201","tract",2023,98.94,102.59,105.01,91.19,"economic_score",93.58
"56013940202","tract",2023,112.19,89.32,115.95,98.26,"economic_score",81.34
"56013940301","tract",2023,110.09,81.59,112.75,100.07,"economic_score",73.13
"56013940302","tract",2023,115.31,94.47,103.9,91.82,"economic_score",83.45
"56013940400","tract",2023,100.93,89.71,123.53,90.39,"economic_score",91.54
"56013940500","tract",2023,103.26,95.64,100.43,88.55,"economic_score",93.65
"56015957700","tract",2023,99.08,86.42,138.37,95.12,"economic_score",93.9
"56015957800","tract",2023,112.32,92.08,115.91,102.36,"economic_score",86.39
"56015957900","tract",2023,115.4,95.26,118.11,94.61,"economic_score",90.27
"56015958000","tract",2023,103.79,95.9,115.61,99.44,"economic_score",94.84
"56017967800","tract",2023,100.02,85.07,125.44,79.36,"economic_score",89.51
