"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"71601","zcta",2023,58.69,84.41,113.19,112.14,"economic_score",69.6
"71602","zcta",2023,78.93,78.7,107.62,107.31,"economic_score",81.58
"71603","zcta",2023,78.93,83.18,92.67,95,"economic_score",84.43
"71630","zcta",2023,69.95,76.06,122.28,125.52,"economic_score",68.85
"71631","zcta",2023,43.36,69.65,124.73,97.68,"economic_score",56.08
"71635","zcta",2023,79.15,78.18,118.71,103.14,"economic_score",75.61
"71638","zcta",2023,54.25,78.6,127.44,127.37,"economic_score",62.03
"71639","zcta",2023,60.61,79.28,113.08,118.58,"economic_score",69.81
"71640","zcta",2023,57.76,84.31,126.04,134.04,"economic_score",64.55
"71642","zcta",2023,51.13,83.17,109.41,93.57,"economic_score",71.68
"71643","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"71644","zcta",2023,76.76,80.53,148.7,90.36,"economic_score",81.27
"71646","zcta",2023,66.37,82.15,119,108.96,"economic_score",67.69
"71647","zcta",2023,81.44,73.56,104.97,100.71,"economic_score",75.35
"71651","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"71652","zcta",2023,75.25,76.5,92.2,98.64,"economic_score",78.37
"71653","zcta",2023,83.66,78.48,110.32,123.29,"economic_score",81.68
"71654","zcta",2023,54.54,86.8,101.03,126.92,"economic_score",74.78
"71655","zcta",2023,76.93,83.05,97.87,109.76,"economic_score",82.85
"71658","zcta",2023,63.7,73.1,130.65,104.65,"economic_score",63.3
"71659","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"71660","zcta",2023,78.49,74.27,111.23,86.88,"economic_score",72.42
"71661","zcta",2023,59.31,88.14,121.1,78.59,"economic_score",70.6
"71662","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"71663","zcta",2023,73.6,82.35,100.71,132.07,"economic_score",79.84
"71665","zcta",2023,79.72,81.8,106.18,88.94,"economic_score",79.8
