"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"80002","zcta",2023,111.58,107.48,72.4,100.19,"economic_score",116.39
"80003","zcta",2023,106.41,118.98,77.19,97.75,"economic_score",115.36
"80004","zcta",2023,126.77,112.52,84.62,95.35,"economic_score",123.55
"80005","zcta",2023,133.08,112.6,83.95,90.48,"economic_score",129.86
"80007","zcta",2023,139.3,140.41,70.22,90.58,"economic_score",145.21
"80010","zcta",2023,94.97,118.68,68.66,133.95,"economic_score",107.15
"80011","zcta",2023,97.93,116.03,76.79,125.51,"economic_score",105.83
"80012","zcta",2023,100.36,116.23,83.68,128.37,"economic_score",108.89
"80013","zcta",2023,108.36,117.86,72.35,112.88,"economic_score",120.19
"80014","zcta",2023,109.59,115.79,94.32,121.83,"economic_score",115.66
"80015","zcta",2023,119.11,117.58,68.83,111.3,"economic_score",129
"80016","zcta",2023,127.24,127.56,65.99,114.24,"economic_score",140.05
"80017","zcta",2023,104.41,119.63,68.77,115.91,"economic_score",115.38
"80018","zcta",2023,115.43,127.61,58.42,106.41,"economic_score",133.6
"80019","zcta",2023,116.78,130.56,64.08,93.29,"economic_score",127.15
"80020","zcta",2023,127.95,109.17,74.38,93.79,"economic_score",126.34
"80021","zcta",2023,128.82,111.28,66.81,92.22,"economic_score",129.44
"80022","zcta",2023,103.53,118.6,73.35,99.61,"economic_score",113.23
"80023","zcta",2023,128.08,117.64,70.09,94.02,"economic_score",135.3
"80024","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"80025","zcta",2023,121.87,88.96,45.02,80.42,"economic_score",133.22
"80026","zcta",2023,133.34,106.9,76.21,114.98,"economic_score",130.79
"80027","zcta",2023,138.23,110.93,68.73,107.89,"economic_score",139.25
"80030","zcta",2023,100.3,119.04,79.64,105.32,"economic_score",110.07
"80031","zcta",2023,127.15,111.8,81.15,98.5,"economic_score",123.47
"80033","zcta",2023,121.14,110.03,82.88,102.69,"economic_score",119.77
"80045","zcta",2023,86.23,102.62,77.14,110.99,"economic_score",91.94
"80101","zcta",2023,118.68,94.27,97.99,101.15,"economic_score",107.48
"80102","zcta",2023,120.05,105.93,76.2,101.82,"economic_score",119.17
"80103","zcta",2023,103.36,120.22,67.17,117.51,"economic_score",118.4
"80104","zcta",2023,145.17,123.67,65.29,89.58,"economic_score",141.53
"80105","zcta",2023,108.14,96.46,82.32,96.59,"economic_score",103.55
"80106","zcta",2023,126.01,118.14,88.73,94.13,"economic_score",127.75
"80107","zcta",2023,126.51,112.01,82.44,96.33,"economic_score",127.47
"80108","zcta",2023,156.97,127.31,65.97,93.18,"economic_score",150.7
"80109","zcta",2023,146.32,122.57,57.79,89.14,"economic_score",143.82
"80110","zcta",2023,110.98,111.41,79.38,122.24,"economic_score",117.7
"80111","zcta",2023,132.7,115.53,67,122.2,"economic_score",138.28
"80112","zcta",2023,125.87,114.39,63.24,116.42,"economic_score",133.59
"80113","zcta",2023,130.23,116.54,72.01,131.64,"economic_score",133.64
"80116","zcta",2023,156.08,110.73,91.05,94.58,"economic_score",134.21
"80117","zcta",2023,111.57,122.87,78.67,97.65,"economic_score",119.49
"80118","zcta",2023,156.44,119.01,83.7,90.19,"economic_score",142.58
"80120","zcta",2023,141.83,109.94,77.56,99.45,"economic_score",129.43
