"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"30002","zcta",2023,112.69,108.14,76.93,123.77,"economic_score",122.15
"30004","zcta",2023,121.89,110.47,60.51,136.05,"economic_score",135.25
"30005","zcta",2023,121.99,108.24,60.91,127.28,"economic_score",135.4
"30008","zcta",2023,96.57,106.97,68.02,125.06,"economic_score",104.83
"30009","zcta",2023,117.09,115.1,70.46,140.96,"economic_score",131.4
"30011","zcta",2023,100.36,98.74,77.14,107.5,"economic_score",106.69
"30012","zcta",2023,86.08,102.66,81.81,111.53,"economic_score",94.26
"30013","zcta",2023,89.86,105.88,92.9,108.39,"economic_score",99.73
"30014","zcta",2023,87.55,99.85,93.62,118.75,"economic_score",95.18
"30016","zcta",2023,89.43,101.33,90.85,104.46,"economic_score",99.03
"30017","zcta",2023,105.8,111.58,78.63,117.14,"economic_score",116.03
"30019","zcta",2023,105.77,107.29,75.24,96.92,"economic_score",114.91
"30021","zcta",2023,69.93,102.91,71.94,128.96,"economic_score",92.32
"30022","zcta",2023,118.43,111.23,67.19,132.64,"economic_score",132.79
"30024","zcta",2023,113.26,114.44,58.92,122.21,"economic_score",128.28
"30025","zcta",2023,98.73,94.15,96.22,113.54,"economic_score",100.59
"30028","zcta",2023,127.7,103.53,58.59,94.03,"economic_score",127.43
"30030","zcta",2023,114.42,112.52,70.13,122.38,"economic_score",129.59
"30032","zcta",2023,85.85,106.74,86.47,124.58,"economic_score",100.6
"30033","zcta",2023,111.78,106.26,74.74,124.11,"economic_score",121.67
"30034","zcta",2023,91.43,109.62,94.67,125.05,"economic_score",101.26
"30035","zcta",2023,80.18,106.19,87.85,128.64,"economic_score",96.25
"30038","zcta",2023,91.07,108.74,79.09,121.5,"economic_score",107.04
"30039","zcta",2023,95.49,108.06,75.35,119.83,"economic_score",108.21
"30040","zcta",2023,122.16,104.46,67.55,99.78,"economic_score",123.4
"30041","zcta",2023,130.12,105.66,62.32,96.09,"economic_score",130.36
"30043","zcta",2023,102.94,112.04,70.52,127.66,"economic_score",113.56
"30044","zcta",2023,94.1,109.68,69.05,127.55,"economic_score",105.91
"30045","zcta",2023,97.81,114.92,73.1,127.42,"economic_score",112.18
"30046","zcta",2023,87.78,107.8,74.31,127.67,"economic_score",100.39
"30047","zcta",2023,94.1,110.65,78.31,130.99,"economic_score",105.71
"30052","zcta",2023,99.96,111.56,75.6,121.51,"economic_score",112.65
"30054","zcta",2023,92.51,95.33,99.77,107.67,"economic_score",94.8
"30055","zcta",2023,95.17,94.79,107.65,107.05,"economic_score",88.28
"30056","zcta",2023,94.14,86.76,94.69,112.07,"economic_score",91.9
"30058","zcta",2023,83.8,111.8,80.8,125.46,"economic_score",101.54
"30060","zcta",2023,94.01,95.57,79.27,131.05,"economic_score",94.79
"30062","zcta",2023,116.73,102.32,72.13,112.64,"economic_score",121.69
"30064","zcta",2023,113.49,106.34,79.54,111.44,"economic_score",119.83
"30066","zcta",2023,114.68,101.97,73.19,114.53,"economic_score",118.53
"30067","zcta",2023,111.65,102.71,64.84,130.56,"economic_score",114.51
"30068","zcta",2023,125.06,102.56,75.5,111.36,"economic_score",126.99
"30070","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"30071","zcta",2023,88.96,108.32,67.94,136.56,"economic_score",100.32
"30072","zcta",2023,90.1,111.84,64.63,116.1,"economic_score",111.8
"30075","zcta",2023,124.23,112.68,76.09,133.09,"economic_score",133.99
"30076","zcta",2023,108.98,107.94,70.75,139.35,"economic_score",122.86
"30078","zcta",2023,100.92,107.74,78.46,120.67,"economic_score",111.64
"30079","zcta",2023,86.38,108.58,67.94,127.25,"economic_score",108.79
"30080","zcta",2023,115.2,105.16,62.75,119.51,"economic_score",122.17
"30082","zcta",2023,118.87,103.23,67.28,117.54,"economic_score",124.25
"30083","zcta",2023,81.97,105.64,78.51,128.3,"economic_score",96.65
"30084","zcta",2023,98.9,102.25,82.64,127.53,"economic_score",105.29
"30087","zcta",2023,100.18,113.86,85.98,123.87,"economic_score",112.1
"30088","zcta",2023,93.59,104.97,81.74,125.52,"economic_score",104.27
"30092","zcta",2023,108.96,110.12,72.36,143.93,"economic_score",118.18
"30093","zcta",2023,88.5,103.27,70.69,139.96,"economic_score",90.49
"30094","zcta",2023,91.59,97.49,97.46,108.99,"economic_score",97.92
"30096","zcta",2023,101.85,105.1,69.39,132.58,"economic_score",108.81
"30097","zcta",2023,118.66,113.39,67.97,135.11,"economic_score",131.85
"30101","zcta",2023,108.33,102.18,71.99,98.57,"economic_score",113.58
"30102","zcta",2023,100.5,97.02,78.17,104.99,"economic_score",103.65
"30103","zcta",2023,95.52,90.61,89.83,102.95,"economic_score",95.39
"30104","zcta",2023,81.07,82.37,84.59,100.04,"economic_score",86.75
"30105","zcta",2023,93.21,80.87,108.68,101.57,"economic_score",86.23
"30106","zcta",2023,100.39,104.35,73.01,114.79,"economic_score",106.63
"30107","zcta",2023,115.74,96.79,84.2,103.34,"economic_score",111.96
"30108","zcta",2023,84.88,87.79,103.33,102.93,"economic_score",86.84
"30110","zcta",2023,97.35,90.42,82.48,98.05,"economic_score",98.64
"30113","zcta",2023,81.44,95.96,98.09,107.88,"economic_score",83.56
"30114","zcta",2023,113.37,100.24,81.94,106.4,"economic_score",111.33
"30115","zcta",2023,118.02,109.93,77.55,102.45,"economic_score",118.74
"30116","zcta",2023,95.26,84.04,90.21,111.41,"economic_score",93.98
"30117","zcta",2023,86.91,91.35,86.59,111.77,"economic_score",92.56
"30118","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"30120","zcta",2023,98.58,95.63,81.56,100,"economic_score",100.81
"30121","zcta",2023,99.89,94.94,81.14,105.98,"economic_score",100.92
"30122","zcta",2023,90.14,95.34,72.57,113.78,"economic_score",97.31
"30124","zcta",2023,91.59,86.57,97.19,109.91,"economic_score",93.81
"30125","zcta",2023,84.31,85.14,100.95,109.31,"economic_score",82.2
"30126","zcta",2023,109.77,105.45,70.55,118.12,"economic_score",116.67
"30127","zcta",2023,106.32,100.28,75.43,113.2,"economic_score",112.66
"30132","zcta",2023,103.46,104.32,71.47,92.58,"economic_score",111.08
"30134","zcta",2023,92.27,97.84,79.18,106.3,"economic_score",99.99
"30135","zcta",2023,95.21,96.7,80.64,105.7,"economic_score",104.26
"30137","zcta",2023,91.92,84.03,91.83,107.29,"economic_score",88.12
"30139","zcta",2023,88.44,80.58,106.59,100.8,"economic_score",86.68
"30141","zcta",2023,104.57,97.58,80.81,111.55,"economic_score",108.57
"30143","zcta",2023,110.92,92.89,102.8,105.25,"economic_score",101.85
"30144","zcta",2023,105.23,102.52,68.3,114.99,"economic_score",112.61
"30145","zcta",2023,92.32,90.43,87.08,109.93,"economic_score",98.1
"30147","zcta",2023,76.05,89.03,100.16,106.02,"economic_score",80.76
"30148","zcta",2023,108.78,98.82,111.42,108.76,"economic_score",105.67
"30149","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"30152","zcta",2023,115.66,105.58,73.17,114.22,"economic_score",121.82
"30153","zcta",2023,83.05,92.09,99.25,100.44,"economic_score",87.55
"30157","zcta",2023,102.61,95.06,74.79,91.52,"economic_score",105.87
"30161","zcta",2023,88.63,87.33,98.64,117.2,"economic_score",89.18
"30165","zcta",2023,85.97,88.99,98.21,104.72,"economic_score",88.04
"30168","zcta",2023,99.4,98.08,69.98,120.73,"economic_score",103.28
"30170","zcta",2023,92.79,72.4,94.61,108.27,"economic_score",88.06
"30171","zcta",2023,98.3,96.95,87.54,110.65,"economic_score",99.14
"30173","zcta",2023,82.1,92.87,91.12,100.46,"economic_score",84.78
"30175","zcta",2023,92.44,93.46,96.72,118.09,"economic_score",92.97
"30176","zcta",2023,87.47,78.76,102.81,98.16,"economic_score",83.54
"30177","zcta",2023,115.69,102.35,120.79,122.4,"economic_score",102.33
"30178","zcta",2023,91.99,94.56,107.97,107.75,"economic_score",90.83
"30179","zcta",2023,91.64,95.37,82.6,98.45,"economic_score",94.36
"30180","zcta",2023,93.68,94.84,81.66,103.97,"economic_score",101.01
"30182","zcta",2023,78.89,87.4,99.98,96.06,"economic_score",82.68
"30183","zcta",2023,101.07,103.22,100.97,110.32,"economic_score",102.58
"30184","zcta",2023,107.26,83.97,90.43,100.87,"economic_score",103.29
"30185","zcta",2023,93.84,83.63,105.01,110.62,"economic_score",86.43
"30187","zcta",2023,103.18,91.08,85.46,102.31,"economic_score",104.61
"30188","zcta",2023,113.45,103.29,76.95,112.84,"economic_score",116.83
"30189","zcta",2023,117.55,96.57,71.75,103.83,"economic_score",116.47
"30204","zcta",2023,90.24,86.06,97.05,105.97,"economic_score",91.16
"30205","zcta",2023,105.84,95.81,110.79,99.15,"economic_score",103.99
"30206","zcta",2023,98.65,94.87,90.13,94.27,"economic_score",99.35
"30213","zcta",2023,105.15,100.4,66.5,100.27,"economic_score",113.25
"30214","zcta",2023,109.3,102.86,86.83,105.7,"economic_score",111.58
"30215","zcta",2023,119.4,104.04,85.63,100.2,"economic_score",117.96
