"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"50001","zcta",2023,133.31,84.03,74.11,75.9,"economic_score",117.04
"50002","zcta",2023,112.56,90.74,88.57,104.73,"economic_score",105.94
"50003","zcta",2023,127.29,97.67,69,99.93,"economic_score",123.6
"50005","zcta",2023,110.43,93.56,108.16,85.64,"economic_score",84.5
"50006","zcta",2023,98.22,82.94,93.77,88.72,"economic_score",93.93
"50007","zcta",2023,127.97,90.77,73.53,82.94,"economic_score",122.3
"50008","zcta",2023,95.82,84.46,98.32,82.08,"economic_score",90.17
"50009","zcta",2023,112.35,95.34,80.34,93.75,"economic_score",113.76
"50010","zcta",2023,115.16,88.76,82.73,85.27,"economic_score",105.87
"50012","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"50014","zcta",2023,101.84,97.52,66.16,89.72,"economic_score",107.91
"50020","zcta",2023,104.79,84.08,114.22,100.91,"economic_score",89.66
"50021","zcta",2023,119.82,98.54,68.28,94.62,"economic_score",120.48
"50022","zcta",2023,103.9,85.59,99.19,101.72,"economic_score",96.34
"50023","zcta",2023,121.17,97.06,61.69,92.1,"economic_score",123.03
"50025","zcta",2023,100.95,85.24,105.38,107.64,"economic_score",92.13
"50026","zcta",2023,101.06,80.95,101.34,116.97,"economic_score",94.59
"50027","zcta",2023,104.18,78.32,106.44,82.36,"economic_score",81.7
"50028","zcta",2023,107.49,96.78,96.31,91.68,"economic_score",102.75
"50029","zcta",2023,85.58,76.46,120.62,91.34,"economic_score",82.63
"50032","zcta",2023,83.23,136.98,137.54,109.77,"economic_score",93.47
"50033","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"50034","zcta",2023,98.56,81.33,109.94,76.97,"economic_score",90.23
"50035","zcta",2023,118.41,96.12,55.5,84.23,"economic_score",123.59
"50036","zcta",2023,114.26,88.35,88.4,77.03,"economic_score",103.85
"50038","zcta",2023,128.27,89.17,86.05,86.64,"economic_score",110.73
"50039","zcta",2023,99.66,75.76,105.38,68.46,"economic_score",88.36
"50041","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"50042","zcta",2023,90.41,92.37,119.07,104.1,"economic_score",86.54
"50044","zcta",2023,108.54,80.29,81.49,78.98,"economic_score",100.8
"50046","zcta",2023,119.41,91.4,83.03,95.62,"economic_score",113.76
"50047","zcta",2023,113.76,94.91,74.54,91.97,"economic_score",113.49
"50048","zcta",2023,97.72,89.22,102.82,102.6,"economic_score",90.76
"50049","zcta",2023,101.71,88.74,92.34,90.73,"economic_score",94.95
"50050","zcta",2023,98.61,79.87,97.38,98.25,"economic_score",91.33
"50051","zcta",2023,112.65,91.88,116.73,69.2,"economic_score",98.07
"50052","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"50054","zcta",2023,106.43,83.99,87.71,85.31,"economic_score",102.39
"50055","zcta",2023,113.12,85.51,93.36,84.15,"economic_score",102.69
"50056","zcta",2023,127.1,91.95,89.75,76.34,"economic_score",111.24
"50057","zcta",2023,110.39,115.19,52.23,95.46,"economic_score",115.34
"50058","zcta",2023,103.21,79.8,93.24,94.97,"economic_score",96.1
"50060","zcta",2023,92.9,85.82,106.58,91.29,"economic_score",90.46
"50061","zcta",2023,131.5,97.51,93.29,86.7,"economic_score",118.04
"50062","zcta",2023,108.11,89.08,84.58,86.33,"economic_score",99.37
"50063","zcta",2023,124.48,94.41,74.38,92.15,"economic_score",117.45
