"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"40003","zcta",2023,100.15,103.08,102.59,101.31,"economic_score",100.41
"40004","zcta",2023,98.99,84.77,97.57,92.09,"economic_score",94.43
"40006","zcta",2023,79.59,83.01,119.25,76.15,"economic_score",78.76
"40007","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"40008","zcta",2023,101.78,93.05,104.69,86.12,"economic_score",97.46
"40009","zcta",2023,81.09,73.82,111.39,86.27,"economic_score",76.69
"40010","zcta",2023,131.48,102.09,55.35,73.77,"economic_score",132.38
"40011","zcta",2023,85.05,90.49,98.16,92.2,"economic_score",88.39
"40012","zcta",2023,94.46,90.72,93.86,74.9,"economic_score",92.89
"40013","zcta",2023,108.16,87.39,72.36,70.24,"economic_score",106.67
"40014","zcta",2023,115.31,95.32,79.36,100.16,"economic_score",116.84
"40019","zcta",2023,94.33,96.2,80.08,104.9,"economic_score",101.49
"40020","zcta",2023,111.76,68.86,107.4,65.9,"economic_score",87.65
"40022","zcta",2023,104.35,97.47,103.61,102.16,"economic_score",105.16
"40023","zcta",2023,128.79,97.67,85.4,77.89,"economic_score",120.26
"40025","zcta",2023,195.75,113.52,74.53,100.48,"economic_score",170.67
"40026","zcta",2023,142.6,96.92,64.07,87.59,"economic_score",132.16
"40031","zcta",2023,127.34,93.96,77.01,88.2,"economic_score",117.7
"40033","zcta",2023,84.09,84.49,92.75,92.01,"economic_score",86.41
"40036","zcta",2023,62.12,110.03,153.06,129.59,"economic_score",55.69
"40037","zcta",2023,98.29,86.66,89.61,88.91,"economic_score",95.7
"40040","zcta",2023,75.59,101.51,106.25,100.11,"economic_score",82.81
"40041","zcta",2023,113.28,90.6,166.91,103.4,"economic_score",101.72
"40045","zcta",2023,103.78,80.09,106.23,85.03,"economic_score",91.15
"40046","zcta",2023,107.33,101.36,102.19,101.06,"economic_score",103.59
"40047","zcta",2023,111.8,92.39,84.18,71.53,"economic_score",107.72
"40049","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"40050","zcta",2023,87.93,96.15,101.77,110.24,"economic_score",89.83
"40051","zcta",2023,91.18,86.73,92.23,82.79,"economic_score",93.26
"40052","zcta",2023,100.02,84.97,85.23,91.12,"economic_score",94.12
"40055","zcta",2023,91.26,88.52,92.92,76.66,"economic_score",93.2
"40056","zcta",2023,139.23,93.57,66.11,87.19,"economic_score",126.22
"40057","zcta",2023,95.07,94.64,97.2,90.63,"economic_score",93.4
"40058","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"40059","zcta",2023,154.06,98.18,80.02,94.67,"economic_score",135.97
"40060","zcta",2023,73.66,89.15,97.99,88.64,"economic_score",84.11
"40062","zcta",2023,84.63,90.88,54.19,70.98,"economic_score",93.38
"40063","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"40065","zcta",2023,103.2,90.59,87.59,96.57,"economic_score",102.6
"40067","zcta",2023,112.32,92.27,84.34,95.62,"economic_score",109.97
"40068","zcta",2023,112.13,97.08,95.14,102.3,"economic_score",107.18
"40069","zcta",2023,98.31,83.05,98,91.02,"economic_score",93.64
"40070","zcta",2023,112.04,91.51,106.63,106.31,"economic_score",100.45
"40071","zcta",2023,107.11,92.42,84.22,90.43,"economic_score",107.16
"40075","zcta",2023,87.07,81.69,128.57,78.45,"economic_score",77.68
"40076","zcta",2023,103.34,84.18,102.31,88.56,"economic_score",96.54
"40077","zcta",2023,130.22,87.73,75.86,91.54,"economic_score",115.98
"40078","zcta",2023,87.15,92.27,98.09,104.28,"economic_score",85.83
"40104","zcta",2023,92.5,87.82,106.87,82.58,"economic_score",91.19
"40107","zcta",2023,95.64,75.28,111.01,91.82,"economic_score",85.89
"40108","zcta",2023,101.05,85.08,101.22,89.45,"economic_score",96.61
"40109","zcta",2023,102,90.38,90.03,99.54,"economic_score",104.73
"40110","zcta",2023,92.69,89.35,108.77,67.55,"economic_score",97.63
"40111","zcta",2023,65.35,81.31,115.12,101.72,"economic_score",74.04
"40115","zcta",2023,58.23,82.54,121.75,114.31,"economic_score",73.57
"40117","zcta",2023,102.66,77.57,101.37,87.05,"economic_score",92.14
"40118","zcta",2023,90.94,87.36,98.3,106.81,"economic_score",88.19
"40119","zcta",2023,87.26,74.85,118.09,99.08,"economic_score",81.69
"40121","zcta",2023,102.74,80.36,87.77,81.47,"economic_score",89.95
"40140","zcta",2023,71.56,82.71,114.84,110.33,"economic_score",75.25
"40142","zcta",2023,102.68,83.88,98.36,87.19,"economic_score",94.92
"40143","zcta",2023,77.45,74.6,111.41,98.94,"economic_score",80.09
"40144","zcta",2023,89.29,97.79,115.21,99.5,"economic_score",91.17
"40145","zcta",2023,57.45,80.49,114.72,99.61,"economic_score",64.82
"40146","zcta",2023,80.87,87.27,97.64,91.67,"economic_score",83.08
"40150","zcta",2023,95.98,84.23,107.28,83.85,"economic_score",88.79
"40152","zcta",2023,91.46,74.24,117.4,102.41,"economic_score",85.43
"40155","zcta",2023,87.14,74.39,116.03,104.71,"economic_score",74.55
"40157","zcta",2023,93.58,102.58,98.49,101.9,"economic_score",98.33
"40160","zcta",2023,91.26,82.03,98.67,84.57,"economic_score",89.07
"40161","zcta",2023,77.47,112.3,85.61,76.58,"economic_score",101.79
"40162","zcta",2023,109.35,85.55,98.49,78.61,"economic_score",103.07
"40165","zcta",2023,104.63,91.25,93.07,74.03,"economic_score",99.87
"40170","zcta",2023,58.07,68.93,133.67,128.94,"economic_score",45.66
"40171","zcta",2023,60.59,76.2,121.7,72.42,"economic_score",66.37
"40175","zcta",2023,94.39,89.62,94.38,94.86,"economic_score",97.59
"40176","zcta",2023,83.16,77.77,92.8,85.25,"economic_score",84.85
"40177","zcta",2023,86.15,84.74,120.43,90.91,"economic_score",78.07
"40178","zcta",2023,104.93,93.99,102.23,98.34,"economic_score",105.44
"40202","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"40203","zcta",2023,66.55,89.69,79.85,121.72,"economic_score",84.11
"40204","zcta",2023,114.94,94.21,68.4,109.31,"economic_score",117.38
"40205","zcta",2023,115.33,93.18,83.6,103.55,"economic_score",115.38
"40206","zcta",2023,111.31,93.23,72.9,109.44,"economic_score",112.42
"40207","zcta",2023,121.83,91.68,83.56,107.82,"economic_score",118.07
"40208","zcta",2023,78.12,94.83,76.02,114.35,"economic_score",92.99
"40209","zcta",2023,89.82,115.58,66.11,110.21,"economic_score",100.66
"40210","zcta",2023,59.65,82.77,102.8,109.66,"economic_score",74.52
"40211","zcta",2023,67.42,93.64,100.09,117.56,"economic_score",80.55
"40212","zcta",2023,66.45,87.58,97.98,109.25,"economic_score",79.33
"40213","zcta",2023,98.86,87.29,91,107.42,"economic_score",95.93
"40214","zcta",2023,87.3,90.93,85.99,108.65,"economic_score",94.02
"40215","zcta",2023,76.12,90.87,87.88,107.92,"economic_score",86.5
"40216","zcta",2023,85.33,94.49,95.63,105.1,"economic_score",94.1
"40217","zcta",2023,109.86,91.28,80.92,111.45,"economic_score",108.11
"40218","zcta",2023,94.4,93.29,77.46,104.45,"economic_score",99.45
"40219","zcta",2023,88.85,91.75,87.2,106.36,"economic_score",93.04
"40220","zcta",2023,106.51,90.91,87.34,98.68,"economic_score",106.98
"40222","zcta",2023,115.63,92.75,81.52,108.15,"economic_score",113.52
"40223","zcta",2023,116.2,92.88,85.85,105.66,"economic_score",115.45
"40228","zcta",2023,104.81,93.28,86.71,98.03,"economic_score",105.55
"40229","zcta",2023,98.73,89.47,84.56,96.56,"economic_score",101.56
"40231","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"40241","zcta",2023,138.43,90.11,82.15,92.61,"economic_score",121.13
"40242","zcta",2023,111.52,91.23,84.07,103.89,"economic_score",107.42
"40243","zcta",2023,109.39,95.15,92.39,103.66,"economic_score",110.02
"40245","zcta",2023,119.32,100.7,79.96,96.94,"economic_score",120.57
"40258","zcta",2023,96.31,89.66,95.17,100.26,"economic_score",97.85
"40272","zcta",2023,91.27,90.14,96.14,97.73,"economic_score",95.42
"40280","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"40291","zcta",2023,106.56,94.69,89.55,103.05,"economic_score",107.31
"40299","zcta",2023,113.2,94.06,83.69,74.91,"economic_score",109.65
"40310","zcta",2023,91.35,86.58,103.62,85.25,"economic_score",80.76
"40311","zcta",2023,80.01,78.46,95.62,92.75,"economic_score",82.25
"40312","zcta",2023,65.79,84.42,105.51,101.35,"economic_score",75.11
"40313","zcta",2023,92.57,70.12,109.94,85.68,"economic_score",83.48
"40316","zcta",2023,58,77.02,132.03,83.76,"economic_score",71.41
"40322","zcta",2023,66.71,77.51,116.16,93.26,"economic_score",71.83
"40324","zcta",2023,100.83,91.11,80.78,99.83,"economic_score",105.68
"40328","zcta",2023,73.01,71.99,136.18,84.87,"economic_score",72.01
"40330","zcta",2023,91.23,84.78,102.03,87.54,"economic_score",90.29
"40334","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"40336","zcta",2023,71.94,84.13,109.95,94.32,"economic_score",76.65
"40337","zcta",2023,85.15,75.75,86.61,93.47,"economic_score",86.67
"40339","zcta",2023,67.53,86.97,118.67,97.57,"economic_score",83.58
"40342","zcta",2023,99.44,87.11,102.03,79.95,"economic_score",95.33
"40346","zcta",2023,52.72,77.13,100.3,110.99,"economic_score",68.17
"40347","zcta",2023,110.12,89.97,103.14,101.64,"economic_score",104.12
"40348","zcta",2023,67.55,95.88,77.27,109.99,"economic_score",88.46
"40350","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"40351","zcta",2023,75.78,83.82,91.6,119.37,"economic_score",85.59
"40353","zcta",2023,82.06,84.84,88.37,95.21,"economic_score",88.02
"40356","zcta",2023,101.67,89.52,86.66,115.5,"economic_score",103.17
"40358","zcta",2023,97.67,88.55,81.66,75.19,"economic_score",105.87
"40359","zcta",2023,93.85,85.95,97.55,78.3,"economic_score",88.61
"40360","zcta",2023,76.04,81.85,89.95,109.67,"economic_score",83.81
"40361","zcta",2023,79.29,87.98,98.87,91.14,"economic_score",88.05
