"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"63005","zcta",2023,142.93,97.54,74.03,90.27,"economic_score",135.79
"63010","zcta",2023,110.98,85.55,90.53,78.62,"economic_score",101.51
"63011","zcta",2023,121.81,94.65,82.93,106.2,"economic_score",120.12
"63012","zcta",2023,117.06,83.53,76.35,77.73,"economic_score",108.99
"63013","zcta",2023,119.07,85.78,97.81,77.77,"economic_score",105.58
"63014","zcta",2023,105.18,77.3,107.7,74.78,"economic_score",90.36
"63015","zcta",2023,114.4,79.51,107.27,76.68,"economic_score",95.77
"63016","zcta",2023,106.92,86.9,85.89,77.06,"economic_score",101.98
"63017","zcta",2023,129.75,89.83,85.39,110.3,"economic_score",124.28
"63019","zcta",2023,101.42,84.57,93.4,81.36,"economic_score",93.43
"63020","zcta",2023,92.97,83.48,100.83,83.62,"economic_score",89.56
"63021","zcta",2023,119.31,90.92,74.57,106.98,"economic_score",119.61
"63023","zcta",2023,103.44,92.56,97.99,76.43,"economic_score",97.15
"63025","zcta",2023,121.86,94.35,70.95,78.07,"economic_score",119.79
"63026","zcta",2023,113.37,88.19,81.53,109,"economic_score",111.15
"63028","zcta",2023,102.61,82.73,91.66,82.8,"economic_score",97.38
"63030","zcta",2023,87.18,73.4,82.69,80.68,"economic_score",81.29
"63031","zcta",2023,105.12,85.56,82.57,107.37,"economic_score",104.24
"63033","zcta",2023,101.05,92.81,86.61,104.77,"economic_score",103.74
"63034","zcta",2023,112.06,91.61,89.38,99.45,"economic_score",114.44
"63036","zcta",2023,95.69,70.96,140.41,81.82,"economic_score",77.65
"63037","zcta",2023,97.29,87.41,92.65,88.42,"economic_score",94.48
"63038","zcta",2023,129.51,96.88,83.38,107.17,"economic_score",127.32
"63039","zcta",2023,99.88,85.24,90.41,82.41,"economic_score",95.54
"63040","zcta",2023,125.97,98.46,76.31,105.89,"economic_score",125.87
"63041","zcta",2023,105.35,92.61,86.28,74.69,"economic_score",98.29
"63042","zcta",2023,97.25,90.67,83.76,109.71,"economic_score",99.16
"63043","zcta",2023,113.47,84.47,72.35,101.77,"economic_score",112.36
"63044","zcta",2023,108.19,86.24,94.03,116.11,"economic_score",102.05
"63045","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"63047","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"63048","zcta",2023,110.8,101.12,84.46,75.86,"economic_score",107.57
"63049","zcta",2023,113.75,86.56,85.15,82.83,"economic_score",104.61
"63050","zcta",2023,109.03,85.32,93.69,83.97,"economic_score",98.99
"63051","zcta",2023,104.01,87.12,88.92,85.46,"economic_score",96.75
"63052","zcta",2023,113.62,90.28,76.86,76.96,"economic_score",108.87
"63053","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"63055","zcta",2023,108.8,83.45,119.52,90.19,"economic_score",98.31
"63056","zcta",2023,116.17,79.54,107.42,86.4,"economic_score",98.08
"63060","zcta",2023,102.45,83.11,112.76,89.24,"economic_score",89.74
"63061","zcta",2023,98.62,87.89,134.39,82.16,"economic_score",86.78
"63068","zcta",2023,104.87,81.78,89.4,85.81,"economic_score",99.81
"63069","zcta",2023,111.08,90.24,90.76,94.51,"economic_score",105.57
"63070","zcta",2023,101.9,92.75,94.92,81.25,"economic_score",97.59
"63071","zcta",2023,53.71,82.45,113.59,91.01,"economic_score",64.57
"63072","zcta",2023,104.58,83.66,97.71,81.38,"economic_score",97.76
"63073","zcta",2023,149.66,121.66,79.14,100.89,"economic_score",152.4
"63074","zcta",2023,98.48,86.55,82.49,112.04,"economic_score",96.02
"63077","zcta",2023,97.22,83.82,102.39,91.49,"economic_score",91.14
"63079","zcta",2023,122.49,74.19,94.05,77.16,"economic_score",110.57
"63080","zcta",2023,92.1,82.31,115.87,87.12,"economic_score",83.99
"63084","zcta",2023,104.59,81.97,95.92,86.48,"economic_score",97.07
"63087","zcta",2023,98.36,82.29,99.13,82.74,"economic_score",92.46
"63088","zcta",2023,107.15,96.88,75.07,110.99,"economic_score",114.63
"63089","zcta",2023,103.75,82.03,88.91,92.87,"economic_score",94.24
"63090","zcta",2023,109.79,82.81,88.99,90.89,"economic_score",103.81
"63091","zcta",2023,104,67.66,108.07,74.72,"economic_score",86.5
"63101","zcta",2023,108.37,98.99,53.87,104.14,"economic_score",122.46
"63102","zcta",2023,104.8,82.76,87.65,101.47,"economic_score",97.5
"63103","zcta",2023,82.04,96.45,81.65,116.49,"economic_score",99.39
"63104","zcta",2023,99.92,90.1,73.8,115.67,"economic_score",106.25
"63105","zcta",2023,119.31,101.81,84.83,112.89,"economic_score",123.17
"63106","zcta",2023,53.76,88.32,102.49,124.44,"economic_score",68.98
"63107","zcta",2023,64.09,79.45,115.57,109.6,"economic_score",70.04
"63108","zcta",2023,98.86,92.77,78.52,120.2,"economic_score",107.46
"63109","zcta",2023,106.64,88.01,83.98,103.3,"economic_score",106.46
"63110","zcta",2023,108.11,92.64,67.09,104.08,"economic_score",115.37
"63111","zcta",2023,68.99,84.15,95.87,113.42,"economic_score",78.12
"63112","zcta",2023,80.84,92.03,84.26,117.96,"economic_score",94.11
"63113","zcta",2023,67.29,78.72,118.25,117.08,"economic_score",69.03
"63114","zcta",2023,92.84,87.05,80.62,111.47,"economic_score",96.66
"63115","zcta",2023,69.02,85.1,122.1,116.87,"economic_score",71.89
"63116","zcta",2023,92.3,87.69,81.19,107.82,"economic_score",97.06
"63117","zcta",2023,115.63,92.43,73.28,108.94,"economic_score",118.23
"63118","zcta",2023,83.12,88.94,74.63,110.17,"economic_score",96.68
"63119","zcta",2023,122.9,91,77.36,109.51,"economic_score",122.09
"63120","zcta",2023,73.64,80.17,97.29,126.77,"economic_score",75.19
