"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"03031","zcta",2023,135.52,117.14,85.05,92.34,"economic_score",133.68
"03032","zcta",2023,141.99,117.42,73.69,88.61,"economic_score",138.48
"03033","zcta",2023,134.04,113.46,72.57,81.16,"economic_score",132.29
"03034","zcta",2023,137.32,109.09,102.35,95.45,"economic_score",125.38
"03036","zcta",2023,141.56,118.51,79.53,84.89,"economic_score",137.64
"03037","zcta",2023,132.76,106.98,92.41,95.4,"economic_score",126.15
"03038","zcta",2023,131.68,116.96,79.95,99.09,"economic_score",128.43
"03042","zcta",2023,125.05,118.49,88.39,89.18,"economic_score",123.32
"03043","zcta",2023,127.64,121.01,99.11,94.92,"economic_score",120.82
"03044","zcta",2023,130,124.5,90.9,93.02,"economic_score",125.89
"03045","zcta",2023,128.06,114.08,86.61,90.47,"economic_score",125.34
"03046","zcta",2023,130.5,121.85,78.89,91.13,"economic_score",131.4
"03047","zcta",2023,118.9,113.23,90.4,96.16,"economic_score",117.7
"03048","zcta",2023,118.89,109.36,103.32,92.8,"economic_score",110.93
"03049","zcta",2023,141.47,119.26,91.2,95.46,"economic_score",137.85
"03051","zcta",2023,129.73,110.75,87.44,90.99,"economic_score",125.84
"03052","zcta",2023,134.45,121.94,83.43,89.9,"economic_score",133.31
"03053","zcta",2023,139.27,117.65,81.38,93.5,"economic_score",134.01
"03054","zcta",2023,129.01,111.65,81.4,87.75,"economic_score",128.18
"03055","zcta",2023,122.91,116.56,79.72,93.54,"economic_score",124.49
"03057","zcta",2023,131.81,122.83,85.47,95.45,"economic_score",132.37
"03060","zcta",2023,113.88,115.7,78.84,101.98,"economic_score",116.93
"03062","zcta",2023,128.79,115.04,87.86,96.54,"economic_score",125.68
"03063","zcta",2023,125.69,110.83,77.21,93.07,"economic_score",124.62
"03064","zcta",2023,119.86,114.95,86.24,96.97,"economic_score",120.68
"03070","zcta",2023,131.45,110.29,69.68,87.63,"economic_score",131.11
"03071","zcta",2023,127.42,108.65,88.34,88.67,"economic_score",118.11
"03076","zcta",2023,127.9,121.59,86.12,89.6,"economic_score",128.68
"03077","zcta",2023,126.52,114.78,90.33,93.58,"economic_score",122.28
"03079","zcta",2023,135.14,117.22,85.09,98.28,"economic_score",130.23
"03082","zcta",2023,123.18,110.98,90.89,92.72,"economic_score",119.97
"03084","zcta",2023,121.75,114.3,78.26,98.74,"economic_score",124.79
"03086","zcta",2023,127.95,121.85,78.45,101.3,"economic_score",129.55
"03087","zcta",2023,147.55,124.81,75.15,94.5,"economic_score",143.67
"03101","zcta",2023,116.38,109.32,62.35,100.89,"economic_score",126.45
"03102","zcta",2023,112.3,115.72,81.27,99.45,"economic_score",115.82
"03103","zcta",2023,117.32,110.39,81.95,103.17,"economic_score",114.19
"03104","zcta",2023,125.94,113.69,77.87,100.14,"economic_score",124.62
"03106","zcta",2023,125.2,109.73,90.91,92.2,"economic_score",120.38
"03109","zcta",2023,127.43,115.11,85.12,94.14,"economic_score",124.06
"03110","zcta",2023,136.74,120.46,78.64,94.23,"economic_score",135.04
"03215","zcta",2023,114.9,100.05,113.89,103.03,"economic_score",115.7
"03216","zcta",2023,119.11,105.82,105.11,91.52,"economic_score",112.01
"03217","zcta",2023,104.73,117.24,100.6,110.21,"economic_score",109.2
"03218","zcta",2023,118.75,111.26,98.35,102.89,"economic_score",114.06
"03220","zcta",2023,112.52,105.77,104.69,97.14,"economic_score",107.43
"03221","zcta",2023,125.43,111.86,94.65,101.27,"economic_score",119.76
"03222","zcta",2023,112.53,105.62,108.74,110.76,"economic_score",107.84
"03223","zcta",2023,119.26,103.27,97.01,112.34,"economic_score",112.93
"03224","zcta",2023,128.17,113.48,89.16,93.36,"economic_score",123.46
"03225","zcta",2023,121.85,111.97,108.26,103.3,"economic_score",119.11
"03226","zcta",2023,119.69,102.96,127.53,121.2,"economic_score",113.1
"03227","zcta",2023,144.63,87.86,141.01,127.86,"economic_score",115.73
"03229","zcta",2023,137.26,108.7,91.33,98.78,"economic_score",126.99
"03230","zcta",2023,103.7,104.85,102.47,101.47,"economic_score",98.36
"03231","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"03233","zcta",2023,136.82,110.99,106.16,61.71,"economic_score",129.97
"03234","zcta",2023,121.26,115.5,92.17,90.16,"economic_score",120.84
"03235","zcta",2023,115.54,111.75,104.47,90.6,"economic_score",110.53
"03237","zcta",2023,125.55,108.97,88.88,92.38,"economic_score",124.88
"03238","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"03240","zcta",2023,109.85,108.4,107.57,108.06,"economic_score",108.82
"03241","zcta",2023,122.71,101.45,121.79,119.73,"economic_score",110.77
