"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"73002","zcta",2023,93.15,71.82,108.44,92.17,"economic_score",80.63
"73003","zcta",2023,100.68,93.81,81.31,119.64,"economic_score",106.37
"73004","zcta",2023,99.06,77.7,98.28,102.92,"economic_score",89.6
"73005","zcta",2023,69.38,79.35,110.01,106.86,"economic_score",70.6
"73006","zcta",2023,83.6,75.49,122.71,95.57,"economic_score",71.61
"73007","zcta",2023,114.36,107.96,75.15,119.55,"economic_score",119.71
"73008","zcta",2023,82.81,85.74,94.54,121.28,"economic_score",86.94
"73009","zcta",2023,88.04,73.13,122.88,98.16,"economic_score",73.9
"73010","zcta",2023,102.83,85.63,88.67,99.05,"economic_score",98.96
"73011","zcta",2023,81.81,76.52,103.72,99.09,"economic_score",78.13
"73012","zcta",2023,110.42,94.67,69.28,115.01,"economic_score",118.06
"73013","zcta",2023,111.13,92.73,78.96,120.41,"economic_score",115.16
"73014","zcta",2023,100.38,73.79,100.44,98.28,"economic_score",89.55
"73015","zcta",2023,73.81,76.19,109.55,103.1,"economic_score",70.37
"73016","zcta",2023,105.72,85.84,75.68,87.9,"economic_score",103.74
"73017","zcta",2023,88.56,69.68,110.27,108.03,"economic_score",71.06
"73018","zcta",2023,89.89,79.8,97.61,106.86,"economic_score",84.78
"73019","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"73020","zcta",2023,108.89,88.38,95.52,92.22,"economic_score",104.79
"73021","zcta",2023,94.16,77.94,98.54,94.03,"economic_score",92.09
"73024","zcta",2023,82.49,81.14,94.61,91.27,"economic_score",83.82
"73025","zcta",2023,123.91,105.26,71.83,96.34,"economic_score",122.47
"73026","zcta",2023,107.82,81.38,100.94,95.68,"economic_score",100.32
"73027","zcta",2023,79.16,64.38,127.84,79.03,"economic_score",74.52
"73028","zcta",2023,102.34,87.12,113.41,110.52,"economic_score",92.29
"73029","zcta",2023,77.53,78.81,96.2,97.62,"economic_score",81.64
"73030","zcta",2023,88.32,75.62,107.92,105.91,"economic_score",81.42
"73032","zcta",2023,90.5,76.27,129.05,95.94,"economic_score",74.22
"73033","zcta",2023,69.45,76.83,99.71,111.9,"economic_score",65.97
"73034","zcta",2023,109.52,94.86,78.59,120.6,"economic_score",114.67
"73036","zcta",2023,93.17,85.44,92.33,103.29,"economic_score",88.37
"73038","zcta",2023,81.81,73.85,113.33,105.58,"economic_score",76.79
"73040","zcta",2023,92.31,82.03,97.78,103.79,"economic_score",85.45
"73041","zcta",2023,85.15,69.42,122.19,93.92,"economic_score",74.87
"73042","zcta",2023,81.57,70.28,115.4,105.67,"economic_score",72.05
"73043","zcta",2023,87.23,70.34,155.53,88.17,"economic_score",69.62
"73044","zcta",2023,95.76,84.35,95.29,103.09,"economic_score",90.13
"73045","zcta",2023,93.04,84.51,85.8,102.05,"economic_score",95.9
"73047","zcta",2023,90.25,83.16,92.08,95.41,"economic_score",85.56
"73048","zcta",2023,99.95,77.53,106.2,100.58,"economic_score",87.64
"73049","zcta",2023,99.42,88.71,88.28,126.75,"economic_score",102.09
"73050","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"73051","zcta",2023,81.37,78.21,107.49,103.71,"economic_score",77.82
"73052","zcta",2023,94.56,79.61,92.78,109.01,"economic_score",86.78
"73053","zcta",2023,86.33,69.17,111.96,98.39,"economic_score",75.65
"73054","zcta",2023,92.87,75.25,99.49,100.37,"economic_score",86.1
"73055","zcta",2023,90.25,74.08,106.82,99.48,"economic_score",84.34
"73056","zcta",2023,98.27,67.13,113.94,98.89,"economic_score",79.74
"73057","zcta",2023,88.44,74.19,124.27,103.63,"economic_score",78.98
"73058","zcta",2023,81.82,80.68,117.65,114.95,"economic_score",77.38
"73059","zcta",2023,99.08,75.41,101.78,99.9,"economic_score",87.28
"73061","zcta",2023,99.83,77.91,110.7,84.21,"economic_score",89.99
"73062","zcta",2023,81.38,71.51,113.86,104.56,"economic_score",75.32
"73063","zcta",2023,108.88,76.42,100.24,89.65,"economic_score",91.69
"73064","zcta",2023,109.93,89.62,82.43,89.25,"economic_score",106.53
"73065","zcta",2023,106.75,92.33,78.2,98.94,"economic_score",108.4
"73066","zcta",2023,100.27,72.87,103.38,86.19,"economic_score",84.36
"73067","zcta",2023,99.25,74.46,108.11,97.58,"economic_score",86.75
"73068","zcta",2023,95.89,80.16,98.22,100.2,"economic_score",89.01
"73069","zcta",2023,93.09,89.14,81.03,103.6,"economic_score",96.63
"73071","zcta",2023,95.52,88.5,74.49,105.25,"economic_score",98.64
"73072","zcta",2023,105.81,87.02,86.48,102.24,"economic_score",102.74
"73073","zcta",2023,113.84,93.36,129.36,77.91,"economic_score",105.58
"73074","zcta",2023,93.69,73.37,88.89,107.17,"economic_score",87.21
"73075","zcta",2023,85.32,76.52,107.63,110.72,"economic_score",78.64
"73077","zcta",2023,97.44,79.37,98.13,83.82,"economic_score",90.51
"73078","zcta",2023,105.14,92.78,86.74,112.88,"economic_score",107.17
"73079","zcta",2023,91.26,76.45,95.8,92.17,"economic_score",86.64
"73080","zcta",2023,89.56,88.01,88.76,106.31,"economic_score",92.65
"73082","zcta",2023,85.37,74.57,112.5,112.85,"economic_score",76.02
"73084","zcta",2023,81.36,79.24,108.16,115.23,"economic_score",82.56
"73086","zcta",2023,87.53,75.27,118.72,112.5,"economic_score",78.16
"73089","zcta",2023,103.21,88.26,91.21,92.52,"economic_score",102.52
"73090","zcta",2023,95.51,81.21,89.5,86.31,"economic_score",94.59
"73092","zcta",2023,80.59,71.9,111.35,104.7,"economic_score",73.64
"73093","zcta",2023,107.74,87.03,87.25,105.28,"economic_score",102.01
"73095","zcta",2023,94.11,72.64,87.46,105.35,"economic_score",87.85
"73096","zcta",2023,86.02,86.89,86.99,106.06,"economic_score",89.51
"73097","zcta",2023,118.56,77.26,49.27,125.29,"economic_score",103.44
"73098","zcta",2023,90.83,74.57,111.24,97.55,"economic_score",78.42
"73099","zcta",2023,108.46,90.95,77.7,88.12,"economic_score",107.02
"73102","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"73103","zcta",2023,107.45,92.78,57.71,132.65,"economic_score",116.19
"73104","zcta",2023,108.51,88.62,54.61,134.58,"economic_score",119.17
"73105","zcta",2023,81.91,86.35,83.64,123.51,"economic_score",93.21
"73106","zcta",2023,89.9,86.16,69.87,140.11,"economic_score",95.94
"73107","zcta",2023,87.8,83.02,77.66,125.25,"economic_score",90.82
"73108","zcta",2023,68.14,77.56,95.64,142.25,"economic_score",65.68
"73109","zcta",2023,69.44,83.52,90.99,136.85,"economic_score",72.93
"73110","zcta",2023,85.68,82.89,91.64,126.87,"economic_score",89.04
"73111","zcta",2023,65.74,87.85,102.43,129.63,"economic_score",78.12
"73112","zcta",2023,92.05,87.58,82.9,123.64,"economic_score",95.79
"73114","zcta",2023,83.1,81.97,78.73,123.62,"economic_score",88.49
"73115","zcta",2023,82.44,81.99,96.09,120.84,"economic_score",86.05
"73116","zcta",2023,116.5,93.83,82.54,133.28,"economic_score",115.89
"73117","zcta",2023,52.06,99.26,90.34,145.35,"economic_score",74.02
"73118","zcta",2023,101.32,85.19,75.72,129.9,"economic_score",104.37
"73119","zcta",2023,72.22,78.9,89.15,131.76,"economic_score",72.04
"73120","zcta",2023,102.17,88.83,83.11,128.14,"economic_score",104.06
"73121","zcta",2023,100.08,88.7,111.76,120.84,"economic_score",97.32
"73122","zcta",2023,84.65,89.93,87.3,128.98,"economic_score",89.61
"73127","zcta",2023,76.49,88.52,84.22,112.28,"economic_score",78.68
"73128","zcta",2023,89.97,85.15,75.41,103.12,"economic_score",95.21
"73129","zcta",2023,65.07,74.84,90.44,135.33,"economic_score",68.36
"73130","zcta",2023,95.75,84.61,98.77,114.72,"economic_score",97.9
"73131","zcta",2023,106.76,95.48,80.67,121.08,"economic_score",113.11
"73132","zcta",2023,93.4,91.39,85.24,124.58,"economic_score",98.67
"73134","zcta",2023,98.2,83.7,67.65,124.2,"economic_score",101.86
"73135","zcta",2023,85,85.67,81.03,115.39,"economic_score",94.88
"73139","zcta",2023,85.52,87.51,84.73,102.71,"economic_score",87.36
"73141","zcta",2023,83.63,87.58,95.05,121.85,"economic_score",88.7
"73142","zcta",2023,107.21,92.37,78.97,121.59,"economic_score",112.35
"73145","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"73149","zcta",2023,71.13,81.64,88.24,123.56,"economic_score",76.71
"73150","zcta",2023,108.4,83.57,94.93,91.09,"economic_score",105.03
"73151","zcta",2023,121.13,104.24,73.9,112.61,"economic_score",130.44
"73159","zcta",2023,85.22,89.43,83.63,121.95,"economic_score",91.87
"73160","zcta",2023,102.44,88.06,81.89,93.2,"economic_score",101.96
"73162","zcta",2023,102.28,86.93,90.58,114.33,"economic_score",104.28
"73165","zcta",2023,112.54,85.16,86.18,97.33,"economic_score",106.56
"73169","zcta",2023,102.53,88.27,70.84,88.01,"economic_score",105.06
"73170","zcta",2023,108.72,93.33,88.82,94.88,"economic_score",107.58
"73173","zcta",2023,118.93,92.62,69.18,78.8,"economic_score",120.34
"73179","zcta",2023,103.97,92,81.55,115.07,"economic_score",108.41
"73401","zcta",2023,86.01,80.98,100.04,108.79,"economic_score",84.52
"73425","zcta",2023,81.02,88.07,125.74,120.1,"economic_score",67.64
"73430","zcta",2023,82.21,71.52,128.53,93.08,"economic_score",73.14
"73432","zcta",2023,92.3,70.32,96.66,100.35,"economic_score",80.73
"73433","zcta",2023,76.47,73.33,114.67,106.47,"economic_score",74.89
"73434","zcta",2023,89.98,79.51,109.27,106.21,"economic_score",79.04
"73437","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"73438","zcta",2023,76.47,75.2,116.16,103.55,"economic_score",71.62
"73439","zcta",2023,87.72,75.86,123.8,115.58,"economic_score",78.37
"73440","zcta",2023,93.66,76.67,111.02,106.85,"economic_score",88.08
"73441","zcta",2023,65.87,74.25,172.9,91.48,"economic_score",54.98
"73442","zcta",2023,79.45,81.84,125.17,122.21,"economic_score",72.52
"73443","zcta",2023,83.48,79.97,103.06,109.06,"economic_score",83.15
"73444","zcta",2023,103.56,69.21,98.21,91.42,"economic_score",85.44
"73446","zcta",2023,81.02,75.49,104.95,109.63,"economic_score",77
"73447","zcta",2023,62.74,76.26,105.67,109.03,"economic_score",66.86
"73448","zcta",2023,87.86,78.94,108.51,98.85,"economic_score",79.75
"73449","zcta",2023,86.53,77.17,110.73,100.79,"economic_score",77.72
"73450","zcta",2023,88.31,74.8,111.54,101.12,"economic_score",78.48
"73453","zcta",2023,98.2,93.28,115.61,116.85,"economic_score",93.02
"73455","zcta",2023,78.99,67.72,118,113.89,"economic_score",65.26
"73456","zcta",2023,79.32,74.29,102.96,107.76,"economic_score",75.66
"73458","zcta",2023,94.9,77.91,104.12,103.16,"economic_score",86.24
"73459","zcta",2023,94.65,72.7,126.58,88.64,"economic_score",74.59
"73460","zcta",2023,70.28,79.35,107.52,110.44,"economic_score",76.22
"73461","zcta",2023,73.27,75.1,123.22,106.77,"economic_score",68.64
"73463","zcta",2023,83.3,69.61,129.17,98.35,"economic_score",69.27
"73481","zcta",2023,93.55,75.54,111.62,105.3,"economic_score",79.58
"73487","zcta",2023,67.55,87.66,138.95,120.42,"economic_score",60.52
