"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"89421","zcta",2023,60.11,90.47,120.94,110.31,"economic_score",65.65
"97001","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"97002","zcta",2023,105.25,115.42,100.76,103.12,"economic_score",107.03
"97004","zcta",2023,124.06,122.09,96.09,91.97,"economic_score",125.57
"97005","zcta",2023,108.16,119.16,73.26,95.93,"economic_score",115.38
"97006","zcta",2023,120.48,122.99,64.66,87.06,"economic_score",128.12
"97007","zcta",2023,126.25,132.26,66.72,90.91,"economic_score",135.2
"97008","zcta",2023,116.57,124.55,76.5,91.15,"economic_score",124.51
"97009","zcta",2023,115.42,120.91,113.34,99.79,"economic_score",114.26
"97011","zcta",2023,122.19,114.91,81.6,108.58,"economic_score",119.98
"97013","zcta",2023,116.28,120.03,93.01,102.23,"economic_score",116.93
"97014","zcta",2023,117.19,120.69,93.02,85.46,"economic_score",117.35
"97015","zcta",2023,114.27,124.85,89.06,100.7,"economic_score",117.25
"97016","zcta",2023,103.75,112.09,112.3,101.85,"economic_score",100.13
"97017","zcta",2023,97.56,133.71,99.32,95.81,"economic_score",109.09
"97018","zcta",2023,108.94,120.1,99.6,74.37,"economic_score",113.19
"97019","zcta",2023,121.06,126.05,91.92,89.47,"economic_score",124.41
"97020","zcta",2023,108.87,117.99,90.41,87.85,"economic_score",108.98
"97021","zcta",2023,101.4,101.77,109.39,77.55,"economic_score",99.88
"97022","zcta",2023,103.47,114.17,108.73,91.7,"economic_score",101.44
"97023","zcta",2023,108.29,123.15,101.08,99.52,"economic_score",111.3
"97024","zcta",2023,108.71,117.83,93.94,105.06,"economic_score",108.7
"97026","zcta",2023,108.39,113.69,87.15,93.83,"economic_score",106.18
"97027","zcta",2023,112.63,126.04,87.39,99.58,"economic_score",119.59
"97028","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"97029","zcta",2023,89.92,109.31,126.58,100.56,"economic_score",91.78
"97030","zcta",2023,100.13,134.35,89.53,103.69,"economic_score",111.61
"97031","zcta",2023,116.2,104.58,90.5,100.35,"economic_score",112.32
"97032","zcta",2023,117.25,106.48,90.65,93.81,"economic_score",114.16
"97033","zcta",2023,68.79,151.87,146.58,116.79,"economic_score",81.97
"97034","zcta",2023,142.33,134.35,85.11,103.74,"economic_score",144.26
"97035","zcta",2023,133.44,126.53,76.73,98.23,"economic_score",138.42
"97037","zcta",2023,100.99,87.52,117.79,89.21,"economic_score",93.26
"97038","zcta",2023,115.22,124.05,82.16,97.59,"economic_score",120.14
"97039","zcta",2023,102.39,83.88,121.92,105.58,"economic_score",91.3
"97040","zcta",2023,105.52,103.4,92.54,76.34,"economic_score",104.37
"97041","zcta",2023,112,94.38,99.43,95.76,"economic_score",100.36
"97042","zcta",2023,118.65,122.73,95.46,87.03,"economic_score",121.66
"97045","zcta",2023,115.5,125.32,85.82,95.65,"economic_score",122.35
"97048","zcta",2023,96.09,110.93,112.86,89.92,"economic_score",97.08
"97049","zcta",2023,119.04,132.74,82.5,82.87,"economic_score",127.23
"97050","zcta",2023,67.77,92.8,123.52,110.48,"economic_score",75.11
"97051","zcta",2023,100.28,111.43,89.32,76.77,"economic_score",106.08
"97053","zcta",2023,116.66,117.52,107.63,69.09,"economic_score",112.77
"97054","zcta",2023,114.38,110.03,109.15,68.09,"economic_score",111.07
"97055","zcta",2023,118.04,126.8,82.7,92.33,"economic_score",123.05
"97056","zcta",2023,116.99,119.25,99.73,97.5,"economic_score",114.22
"97057","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"97058","zcta",2023,96.24,103.51,104.31,94.98,"economic_score",96.53
"97060","zcta",2023,103.97,128.79,88.77,96.76,"economic_score",113.77
"97062","zcta",2023,118.72,124.96,74.48,100.49,"economic_score",125.74
"97063","zcta",2023,98.3,99.54,137.03,81.19,"economic_score",89.47
"97064","zcta",2023,98.64,120.77,96.11,79.04,"economic_score",104.78
"97065","zcta",2023,95.96,83.77,122.31,108.13,"economic_score",87.24
"97067","zcta",2023,118.3,103.79,112.97,94.85,"economic_score",106.9
"97068","zcta",2023,131.94,134.08,83.24,102.36,"economic_score",136.9
"97070","zcta",2023,119.57,125.49,81.5,101.52,"economic_score",125.41
"97071","zcta",2023,107.14,115.62,93.04,108.21,"economic_score",106.39
"97080","zcta",2023,110,131.08,88.96,97.5,"economic_score",120.11
"97086","zcta",2023,118.66,130.34,79.5,101.59,"economic_score",128.6
"97089","zcta",2023,120.64,130.14,89.2,93.16,"economic_score",126.28
"97101","zcta",2023,110.84,109.69,77.87,82.4,"economic_score",111.97
"97102","zcta",2023,133.43,101.54,123.56,105.01,"economic_score",116.33
"97103","zcta",2023,104.47,109.88,105.05,99.54,"economic_score",104.82
"97106","zcta",2023,123.98,136.47,76.47,87.29,"economic_score",132.76
"97107","zcta",2023,101.68,101.02,113.4,89.77,"economic_score",100.5
"97108","zcta",2023,111.11,123.21,127.4,86.72,"economic_score",111.05
"97109","zcta",2023,125.95,128.12,66.27,101.06,"economic_score",133.22
"97110","zcta",2023,114.06,100.08,121.14,106.12,"economic_score",104.04
"97111","zcta",2023,116.91,117.08,100.25,84.13,"economic_score",114.83
"97112","zcta",2023,94.75,107.33,118.5,91.74,"economic_score",94.03
"97113","zcta",2023,106.72,119.35,83.48,91.86,"economic_score",111.9
"97114","zcta",2023,108.43,112.39,104.24,89.9,"economic_score",108.2
"97115","zcta",2023,113.59,111.68,84.01,85.18,"economic_score",116.73
"97116","zcta",2023,109.47,124.72,81.65,92.32,"economic_score",117.64
"97117","zcta",2023,121.5,119.15,75.31,83.17,"economic_score",128.87
"97118","zcta",2023,93.02,109.01,121,92.99,"economic_score",91.88
"97119","zcta",2023,116.87,123.95,78.64,85.81,"economic_score",123.09
"97121","zcta",2023,99.29,110.54,112.55,92.49,"economic_score",103.9
"97122","zcta",2023,63.1,128.4,113.01,77.48,"economic_score",94.87
"97123","zcta",2023,113.48,124.47,74.94,89.12,"economic_score",122.36
"97124","zcta",2023,121.09,122.91,76.71,98.98,"economic_score",126.59
"97125","zcta",2023,NA,NA,NA,NA,"economic_score",NA
