"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"20105","zcta",2023,139.09,134.18,45.82,87.55,"economic_score",151.79
"20106","zcta",2023,110.57,118.09,107.04,123.87,"economic_score",112.93
"20109","zcta",2023,102.09,123.89,61.61,105.74,"economic_score",115.06
"20110","zcta",2023,110.38,119.13,66.08,105.96,"economic_score",119.15
"20111","zcta",2023,106.91,113.45,72.22,106.52,"economic_score",113.71
"20112","zcta",2023,124.2,126.75,67.36,91.4,"economic_score",136.45
"20115","zcta",2023,123.45,109.73,86.4,118.9,"economic_score",123.11
"20117","zcta",2023,144.38,120.15,78.11,107.82,"economic_score",141.28
"20119","zcta",2023,122,108.54,88.73,115.13,"economic_score",122.68
"20120","zcta",2023,132.64,123.77,57.25,96.04,"economic_score",139.46
"20121","zcta",2023,121.9,125.24,59.93,110.34,"economic_score",134.1
"20124","zcta",2023,140.09,133.77,76.73,109.93,"economic_score",150.2
"20129","zcta",2023,180.62,129.07,66.27,85.28,"economic_score",169.37
"20130","zcta",2023,127.48,99.79,61.94,98.01,"economic_score",122.98
"20132","zcta",2023,139.94,130.64,60.91,93.96,"economic_score",146.75
"20135","zcta",2023,132.37,99.94,92.49,85.46,"economic_score",120.76
"20136","zcta",2023,123.85,123.5,58.53,87.7,"economic_score",136.79
"20137","zcta",2023,140.64,108.78,80.42,107.47,"economic_score",137.38
"20141","zcta",2023,139.48,128.55,59.68,86.74,"economic_score",147.52
"20143","zcta",2023,132.93,139.97,88.32,100.36,"economic_score",136.41
"20144","zcta",2023,144.43,125.7,92.17,118.07,"economic_score",137.6
"20147","zcta",2023,139.59,119.69,60.95,93.47,"economic_score",142.79
"20148","zcta",2023,145.15,129.06,39.71,87.42,"economic_score",156.25
"20151","zcta",2023,122.62,124.11,70.3,117.74,"economic_score",130.73
"20152","zcta",2023,139.1,124.86,47.38,90.51,"economic_score",147.58
"20155","zcta",2023,119.79,128.79,73.89,94.3,"economic_score",132.07
"20158","zcta",2023,139.27,121.25,74.39,92.14,"economic_score",141.76
"20164","zcta",2023,126.91,115.66,63.3,101.08,"economic_score",126.37
"20165","zcta",2023,140.68,119.76,57.19,95.88,"economic_score",143.91
"20166","zcta",2023,133.3,121.16,45.65,94.35,"economic_score",140.33
"20169","zcta",2023,136.15,117.27,75.23,104.03,"economic_score",138.83
"20170","zcta",2023,123.68,125.15,65.58,116.35,"economic_score",133.77
"20171","zcta",2023,132.89,130.17,56.01,112.51,"economic_score",146.88
"20175","zcta",2023,138.63,129.04,54.25,99.52,"economic_score",145.7
"20176","zcta",2023,137.49,126.51,61.04,98.21,"economic_score",142.3
"20180","zcta",2023,137.26,122.38,72.34,91.21,"economic_score",140.52
"20181","zcta",2023,122.75,125.99,79.39,107.7,"economic_score",132.36
