"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"53001","zcta",2023,125.39,91.07,89.68,72.87,"economic_score",112.19
"53002","zcta",2023,132.41,99.89,66.82,73.14,"economic_score",120.72
"53003","zcta",2023,122.37,110.69,92.89,77.67,"economic_score",115.43
"53004","zcta",2023,135.63,106.95,92.62,90.28,"economic_score",123.96
"53005","zcta",2023,144.05,99.19,81.91,82.88,"economic_score",130.86
"53006","zcta",2023,115.28,98.38,76.72,75.55,"economic_score",112.26
"53007","zcta",2023,118.08,108.95,85.22,83.66,"economic_score",114.84
"53010","zcta",2023,128.73,95.35,91.75,74.85,"economic_score",113.87
"53011","zcta",2023,116.48,91.35,95.17,86.94,"economic_score",107.29
"53012","zcta",2023,135.03,102.65,86.39,85.52,"economic_score",123.03
"53013","zcta",2023,132.61,100.04,94.81,95.48,"economic_score",118.14
"53014","zcta",2023,124.58,84.81,94.62,71.98,"economic_score",105.72
"53015","zcta",2023,110.06,92.75,97.2,74.97,"economic_score",103.92
"53016","zcta",2023,110.83,96.55,79.75,86.65,"economic_score",104.12
"53017","zcta",2023,147.45,109.2,80.58,80.8,"economic_score",136.33
"53018","zcta",2023,144.76,111.28,82.92,87.75,"economic_score",133.43
"53019","zcta",2023,120.35,90.79,90.49,82.12,"economic_score",107.77
"53020","zcta",2023,125.5,95.49,106.93,78.55,"economic_score",109.45
"53021","zcta",2023,128.75,95.18,92.78,74.65,"economic_score",114.01
"53022","zcta",2023,133.03,104.18,79.97,77.9,"economic_score",125.67
"53023","zcta",2023,127.73,91.74,88.51,88.48,"economic_score",112.25
"53024","zcta",2023,137.34,100.91,82.5,95.5,"economic_score",127.12
"53027","zcta",2023,126.46,103.16,88.73,80.27,"economic_score",116.45
"53029","zcta",2023,142.62,108.05,78.14,92,"economic_score",130.99
"53031","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"53032","zcta",2023,104.79,99.11,107.04,77.19,"economic_score",100.44
"53033","zcta",2023,138.78,103.31,86.4,78.84,"economic_score",127.99
"53034","zcta",2023,112.82,97.11,84.49,77.57,"economic_score",110
"53035","zcta",2023,123.51,97.86,86.44,72.26,"economic_score",114.92
"53036","zcta",2023,122.1,104.97,89.5,68.82,"economic_score",117.4
"53037","zcta",2023,132.34,102.2,85.2,78.33,"economic_score",121.6
"53038","zcta",2023,120.81,100.62,82.48,76.07,"economic_score",114.87
"53039","zcta",2023,115.72,89.07,101.64,79.39,"economic_score",101.78
"53040","zcta",2023,127.17,101.04,91.32,74.11,"economic_score",116.8
"53042","zcta",2023,114.71,90.7,95.9,80.94,"economic_score",106.64
"53044","zcta",2023,137.57,90.04,81.9,83.29,"economic_score",124.1
"53045","zcta",2023,145.25,106.04,86.03,92.82,"economic_score",131.64
"53046","zcta",2023,140.33,92.91,81.58,91.56,"economic_score",121.71
"53047","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"53048","zcta",2023,108.85,94.88,95.79,86.93,"economic_score",101.98
"53049","zcta",2023,118.53,93.38,91.33,81.6,"economic_score",112.25
"53050","zcta",2023,115.03,95.66,95.99,75.73,"economic_score",106.39
"53051","zcta",2023,137.93,107.74,82.07,90.87,"economic_score",128.36
"53057","zcta",2023,120.51,80.17,114.91,75.61,"economic_score",101.05
"53058","zcta",2023,180.2,109.79,81.58,91.36,"economic_score",150.43
"53059","zcta",2023,116.89,97.06,93.65,77.68,"economic_score",107.85
"53061","zcta",2023,116.12,91.15,103.81,88.94,"economic_score",104.48
"53063","zcta",2023,114.74,87.76,98.38,84.86,"economic_score",104.46
"53065","zcta",2023,123.29,94.3,99.59,71.93,"economic_score",108.93
"53066","zcta",2023,139.44,108.73,85.85,87.48,"economic_score",128.3
"53069","zcta",2023,141.32,106.53,91.62,75.36,"economic_score",123.89
"53070","zcta",2023,118.88,91.55,88.29,80.95,"economic_score",111.41
"53072","zcta",2023,143.35,106.56,84.8,91.75,"economic_score",131.62
"53073","zcta",2023,117.16,93.11,103.73,79.91,"economic_score",105.75
"53074","zcta",2023,130.97,99.33,84.09,94.46,"economic_score",122.7
"53075","zcta",2023,131.57,94.17,90.52,91.11,"economic_score",117.71
"53076","zcta",2023,134.35,100.04,84.31,75.91,"economic_score",122.86
"53078","zcta",2023,122.4,106.45,96.61,73.24,"economic_score",113.13
"53079","zcta",2023,121.99,87.6,106.56,71.88,"economic_score",105.39
"53080","zcta",2023,128.91,97.34,81.56,98.93,"economic_score",118.23
"53081","zcta",2023,107.62,92.06,90.59,82.94,"economic_score",102.06
"53083","zcta",2023,117.05,95.06,91.07,81.04,"economic_score",110.58
"53085","zcta",2023,117.27,90.99,92.23,79.85,"economic_score",106.68
"53086","zcta",2023,135.56,101.34,82.59,77.24,"economic_score",123.38
"53088","zcta",2023,123.24,100.11,77.17,71.57,"economic_score",113.42
"53089","zcta",2023,137.73,108.2,77.7,88.69,"economic_score",130.14
"53090","zcta",2023,124.17,98.75,89.35,78.06,"economic_score",113.6
"53091","zcta",2023,114.32,98.66,94.14,78.15,"economic_score",105.34
"53092","zcta",2023,147.84,100.34,87.45,102.51,"economic_score",133.95
"53093","zcta",2023,123.78,95.82,88.65,74.58,"economic_score",112.29
"53094","zcta",2023,112.93,100.3,93.8,78.5,"economic_score",106.33
"53095","zcta",2023,129.38,102.83,92.53,79.99,"economic_score",117.33
"53097","zcta",2023,145.68,108.74,79.48,103.54,"economic_score",138.37
"53098","zcta",2023,118.41,99.96,100.95,82.78,"economic_score",105.64
"53103","zcta",2023,136.03,94.89,101.75,72.78,"economic_score",120.93
"53104","zcta",2023,121.12,96.74,99.65,78.35,"economic_score",111.68
"53105","zcta",2023,121.19,99.57,98.87,99.55,"economic_score",113.4
"53108","zcta",2023,111.91,96.05,108.63,81.48,"economic_score",105.11
"53110","zcta",2023,97.83,110.6,90.94,97.81,"economic_score",106.94
"53114","zcta",2023,111.06,96.64,90.66,98.67,"economic_score",108
"53115","zcta",2023,113.78,97.83,103.7,100.96,"economic_score",105.59
"53118","zcta",2023,124.89,104.13,99.11,79.73,"economic_score",114.77
"53119","zcta",2023,125.86,102.13,87.33,87.39,"economic_score",122.99
"53120","zcta",2023,120.99,102.49,93.85,94.67,"economic_score",117.04
"53121","zcta",2023,123.36,100.22,93.78,97.37,"economic_score",116.13
"53122","zcta",2023,144.45,114.01,81.09,88.82,"economic_score",136.19
"53125","zcta",2023,136.56,105.1,105.37,109.9,"economic_score",122.85
"53126","zcta",2023,109.41,116.32,95.39,97.16,"economic_score",115.51
"53128","zcta",2023,111.21,102.03,79.56,79.63,"economic_score",110.72
"53129","zcta",2023,105.62,114.51,90.76,95.2,"economic_score",114.85
"53130","zcta",2023,106.08,112.02,89.43,93.71,"economic_score",113.36
"53132","zcta",2023,110.23,115.89,90.19,97.9,"economic_score",117.17
"53137","zcta",2023,126.82,102.31,84.86,75.75,"economic_score",119.02
"53139","zcta",2023,117.59,104.43,94.94,78.24,"economic_score",113.75
"53140","zcta",2023,95.91,102.63,91.12,87.59,"economic_score",98.82
"53142","zcta",2023,113.29,103.24,83.75,78.7,"economic_score",112.23
"53143","zcta",2023,100.11,103.17,85.44,81.62,"economic_score",102.89
"53144","zcta",2023,105.06,103.1,79.06,85.34,"economic_score",107.6
"53146","zcta",2023,139.92,105.83,103.49,90.82,"economic_score",122.84
"53147","zcta",2023,122.66,99.91,105.71,104.54,"economic_score",112.8
"53149","zcta",2023,139.42,106.82,79.79,83.65,"economic_score",129.08
"53150","zcta",2023,118.32,103.44,88.67,79.67,"economic_score",117.69
"53151","zcta",2023,140.78,102.08,87.72,84.87,"economic_score",126.66
"53153","zcta",2023,141.51,109.52,74.7,71.25,"economic_score",136.37
"53154","zcta",2023,108.29,111.05,83.19,95.32,"economic_score",115.5
"53156","zcta",2023,116.69,96.13,92.85,77.9,"economic_score",109.05
"53158","zcta",2023,118.06,101.25,83.99,77.5,"economic_score",116.2
"53167","zcta",2023,105.99,111.94,120.54,72.52,"economic_score",92.56
"53168","zcta",2023,118.19,99.03,85.85,79.52,"economic_score",114.07
"53170","zcta",2023,114.94,98.61,91.36,79.33,"economic_score",106.9
"53172","zcta",2023,99.31,112.28,92.58,95.42,"economic_score",107.72
"53177","zcta",2023,108.12,92.79,90.36,78.7,"economic_score",102.63
"53178","zcta",2023,122.34,92.44,100.7,80.66,"economic_score",109.12
"53179","zcta",2023,112.17,98.04,78.84,79.87,"economic_score",108.42
"53181","zcta",2023,116.84,100.62,89.88,76.21,"economic_score",112.21
"53182","zcta",2023,107.68,94.84,87.71,80.88,"economic_score",107.6
"53183","zcta",2023,138.84,105.11,73.45,84.23,"economic_score",129.36
"53184","zcta",2023,108.73,96.13,96.43,104.1,"economic_score",104.84
"53185","zcta",2023,137.8,107.11,82.08,84.68,"economic_score",127.1
"53186","zcta",2023,127.96,107.4,79.24,88,"economic_score",121.23
"53188","zcta",2023,130.24,111.29,76.32,86.12,"economic_score",125.13
"53189","zcta",2023,136.46,105.17,76.91,83.87,"economic_score",129.25
"53190","zcta",2023,103.7,104.15,85.65,92.38,"economic_score",102.21
"53191","zcta",2023,116.26,101.53,113.14,106.71,"economic_score",111.8
"53192","zcta",2023,137.02,89.1,37.87,75.92,"economic_score",122.04
"53195","zcta",2023,109.6,83.86,99.44,73.98,"economic_score",99.05
"53202","zcta",2023,105.93,125.53,62.8,109.38,"economic_score",125.22
"53203","zcta",2023,114.23,114.83,47.73,100.03,"economic_score",130.38
"53204","zcta",2023,66.93,109,79.25,114.56,"economic_score",84.94
"53205","zcta",2023,63.69,109.32,85.17,121.28,"economic_score",85.16
"53206","zcta",2023,53.97,110.12,98.19,119.14,"economic_score",75.02
"53207","zcta",2023,103.23,112.53,77.13,97.02,"economic_score",115.16
"53208","zcta",2023,80.33,111.89,72.83,110.12,"economic_score",102.08
"53209","zcta",2023,78.94,116.81,92.38,108.49,"economic_score",95.95
"53210","zcta",2023,68.84,122.92,77.89,105.94,"economic_score",97.81
"53211","zcta",2023,103.34,120.91,71.4,110.63,"economic_score",121.76
"53212","zcta",2023,78.5,121.41,72.43,109.71,"economic_score",102.99
"53213","zcta",2023,111.81,112.46,74.25,100.87,"economic_score",122.51
"53214","zcta",2023,95.02,112.22,81.64,100.33,"economic_score",107.48
"53215","zcta",2023,74.23,115.74,79.66,111.11,"economic_score",92.24
"53216","zcta",2023,74.21,114.29,86.04,102.68,"economic_score",94.88
"53217","zcta",2023,144.13,108.69,75.76,104.5,"economic_score",137.94
"53218","zcta",2023,72.66,116.91,86.05,108.21,"economic_score",92.53
"53219","zcta",2023,95.03,113.02,86.39,97.24,"economic_score",106.45
"53220","zcta",2023,99.88,109.08,90.72,97.29,"economic_score",107.24
"53221","zcta",2023,93.45,112.64,90.07,101.21,"economic_score",103.58
"53222","zcta",2023,99.14,110.8,76.79,96.75,"economic_score",112.07
"53223","zcta",2023,89.31,115.47,85.61,100.93,"economic_score",105.84
"53224","zcta",2023,84.76,112.88,72.14,101.21,"economic_score",105.86
"53225","zcta",2023,106.87,108.63,72.4,87.94,"economic_score",111.35
"53226","zcta",2023,110.53,113.36,82.65,100.59,"economic_score",119.19
"53227","zcta",2023,101.35,109.47,82.74,101.99,"economic_score",110.69
"53228","zcta",2023,106.05,112.88,97.33,97.64,"economic_score",111.5
"53233","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"53235","zcta",2023,101.12,106.55,98.39,105.05,"economic_score",106.24
"53295","zcta",2023,NA,NA,NA,NA,"economic_score",NA
"53402","zcta",2023,106.54,101.72,94,87.83,"economic_score",106.17
"53403","zcta",2023,95.37,99.63,84.24,87.59,"economic_score",98.48
"53404","zcta",2023,87,102.46,83.49,88.79,"economic_score",93.71
"53405","zcta",2023,101.84,99.21,94.1,82.13,"economic_score",102.18
"53406","zcta",2023,107.7,100.68,95.66,85.14,"economic_score",107.16
"53501","zcta",2023,95.45,89.05,80.71,42.65,"economic_score",107.11
"53502","zcta",2023,115.09,98.33,91,81.24,"economic_score",109.19
